q,a
"Среднегодовая многолетняя температура воздуха составляет +3,6 — +3,8 °С.",Среднегодовая многолетняя температура воздуха составляет три целых шесть десятых — три целых восемь десятых °С.
"Среднегодовая скорость ветра составляет 3,6 м/с.",Среднегодовая скорость ветра составляет трёх целых шести десятых м/с.
"Сооружение не имело внутренних подпорок, его вес должен был сдержать каркас из фермовых конструкций шириной 2,5 метра.","Сооружение не имело внутренних подпорок, его вес должен был сдержать каркас из фермовых конструкций шириной двух целых пяти десятых метра."
"Досудебным расследованием было установлено, что на счёт ООО «Вести Масс-Медиа» от фиктивной фирмы поступили средства на сумму 93,6 млн гривен, которые потом были легализованы.","Досудебным расследованием было установлено, что на счёт ООО «Вести Масс-Медиа» от фиктивной фирмы поступили средства на сумму девяносто три целых шесть десятых млн гривен, которые потом были легализованы."
"Появилась возможность более широкого сбыта продуктов маслоделия и к концу XIX века уезд становится крупнейшим производителем масла в губернии, хотя по своим размерам он занимал в ней предпоследнее место (1,9 % от площади губернии).","Появилась возможность более широкого сбыта продуктов маслоделия и к концу XIX века уезд становится крупнейшим производителем масла в губернии, хотя по своим размерам он занимал в ней предпоследнее место (одна целая девять десятых % от площади губернии)."
"Возраст звезды определён как около 4,585 млрд лет.",Возраст звезды определён как около четыре целых пятьсот восемьдесят пять тысячных млрд лет.
"Орбитальный период — около 0,4215 суток (10,117 часа).",Орбитальный период — около ноля целых четырёх тысячи двухсот пятнадцати десятитысячных суток (десять целых сто семнадцать тысячных часа).
"Масса — около 1,2 солнечной, радиус — около 1,4 солнечного, светимость — около 3,02 солнечной.","Масса — около одна целая две десятых солнечной, радиус — около одна целая четыре десятых солнечного, светимость — около три целых две сотых солнечной."
"Масса — около 0,34 солнечной, радиус — около 0,8 солнечного, светимость — около 0,82 солнечной.","Масса — около ноль целых тридцать четыре сотых солнечной, радиус — около ноль целых восемь десятых солнечного, светимость — около ноль целых восемь десятых2 солнечной."
"Третий компонент — красный карлик спектрального класса M. Масса — около 0,15 солнечной*.",Третий компонент — красный карлик спектрального класса M. Масса — около ноля целых пятнадцати сотых солнечной*.
"Орбитальный период — около 71,28 года*.",Орбитальный период — около семидесяти одной целой двадцати восьми сотых года*.
"Радиус — около 0,73 солнечного, светимость — около 0,274 солнечной.","Радиус — около ноль целых семьдесят три сотых солнечного, светимость — около ноля целых двухсот семидесяти четырёх тысячных солнечной."
"Ближайшие населённые пункты — Орешки в 0,5 км на юг и Редькино — в 1,5 км восточнее.",Ближайшие населённые пункты — Орешки в ноль целых пять десятых км на юг и Редькино — в одну целую пять десятых км восточнее.
"68,63% населения составляют сельские жители, а городское население составляет 31,37%.","шестьдесят восемь целых шестьдесят три сотых% населения составляют сельские жители, а городское население составляет тридцать одна целая тридцать семь сотых%."
"Занимает площадь 1,52 км².",Занимает площадь одной целой пятидесяти двух сотых км².
"Занимает площадь 1113,774 км².",Занимает площадь одной тысячи сто тринадцати целых семисот семидесяти четырёх тысячных км².
"Плотность населения — 12,7 чел./км².",Плотность населения — двенадцать целых семь десятых чел./км².
"Социалисты в этот раз сильнее выступили в Ломбардии (41,9 %), чем в своих традиционных оплотах, Пьемонте (28,6 %), Эмилии-Романье (33,4 %) и Тоскане (31,0 %), где у них много голосов отобрали коммунисты (соответственно 11,9, 5,2 и 10,5 %).","Социалисты в этот раз сильнее выступили в Ломбардии (сорок одна целая девять десятых %), чем в своих традиционных оплотах, Пьемонте (двадцать восемь целых шесть десятых %), Эмилии-Романье (тридцать три целых четыре десятых %) и Тоскане (тридцать одна целая ноль десятых %), где у них много голосов отобрали коммунисты (соответственно одиннадцать целых девять десятых, пять целых две десятых и десять целых пять десятых %)."
"Народная партия подтвердила свой статус крупнейшей партии Венеции (36,5 %), а либеральные демократы как и прежде преуспели в большинстве южных регионов Италии.","Народная партия подтвердила свой статус крупнейшей партии Венеции (тридцать шесть целых пять десятых %), а либеральные демократы как и прежде преуспели в большинстве южных регионов Италии."
"Среднегодовая температура воздуха — 3,2 °C.",Среднегодовая температура воздуха — три целых две десятых °C.
"Средняя температура воздуха самого холодного месяца (января) — −10,7 °C, средняя температура самого тёплого (июля) — 17,8 °С.","Средняя температура воздуха самого холодного месяца (января) — −десять целых семь десятых °C, средняя температура самого тёплого (июля) — семнадцать целых восемь десятых °С."
"Занимает площадь 2369,098 км².",Занимает площадь двух тысячи трёхсот шестидесяти девяти целых девяноста восьми тысячных км².
"Плотность населения — 7,72 чел./км².",Плотность населения — семь целых семьдесят две сотых чел./км².
"Занимает площадь 43,98 км².",Занимает площадь сорока трёх целых девяноста восьми сотых км².
"Занимает площадь 14,06 км².",Занимает площадь четырнадцати целых шести сотых км².
"4,05 кг.",четыре целых пять сотых кг.
"3,4 мм",три целых четыре десятых мм
"179,4 мм",сто семьдесят девять целых четыре десятых мм
"3,8 кг.",три целых восемь десятых кг.
"8,1 кг",восемь целых одна десятая кг
"5,1 кг",пять целых одна десятая кг
"1,6 кг",одна целая шесть десятых кг
"14,8 кг",четырнадцать целых восемь десятых кг
"12,5 мм",двенадцать целых пять десятых мм
"2,2 мм",две целых две десятых мм
"Во время сюжета Спектромансера, через тысячу лет мира, главный герой, юный маг, ученик одного из Хранителей (по умолчанию — Ротванг, мастер механики, в версии 1.1 — Акаболи, хранительницы Иллюзии, в версиях до 1.1 — Флоры, Хранительницы Святости) получает приказ от богини Селестии победить всех Хранителей (попавших под пагубное влияние призмы, стремящейся к воссозданию прежнего мирового порядка) и передать Осколки ей.","Во время сюжета Спектромансера, через тысячу лет мира, главный герой, юный маг, ученик одного из Хранителей (по умолчанию — Ротванг, мастер механики, в версии одну целую одну десятую — Акаболи, хранительницы Иллюзии, в версиях до одну целую одну десятую — Флоры, Хранительницы Святости) получает приказ от богини Селестии победить всех Хранителей (попавших под пагубное влияние призмы, стремящейся к воссозданию прежнего мирового порядка) и передать Осколки ей."
"Среднегодовая температура воздуха — 3,1 °C.",Среднегодовая температура воздуха — три целых одна десятая °C.
"Из заметных в публичном пространстве активов Сергею Бидашу принадлежит таганрогский Торговый центр «Парус» общей площадью 10,5 тыс. кв. метров.",Из заметных в публичном пространстве активов Сергею Бидашу принадлежит таганрогский Торговый центр «Парус» общей площадью десять целых пять десятых тыс. кв. метров.
"Среднегодовая многолетняя температура воздуха составляет 4,1 — 4,7 °С.",Среднегодовая многолетняя температура воздуха составляет четыре целых одна десятая — четыре целых семь десятых °С.
"Занимает площадь 1,316 км².",Занимает площадь одной целой трёхсот шестнадцати тысячных км².
"КПД двигателя не превышал 4,65 %.",КПД двигателя не превышал четыре целых шестьдесят пять сотых %.
"Ширина головы рабочих от 0,97 до 1,16 мм, длина головы от 1,13 до 1,34 мм.","Ширина головы рабочих от ноля целых девяноста семи сотых до одной целой шестнадцати сотых мм, длина головы от одной целой тринадцати сотых до одной целой тридцати четырёх сотых мм."
"SASAC (8,99 %), LSV Asset Management (8,03 %), Fidelity International (7,69 %) и Nordea (4,54 %).","SASAC (восемь целых девяносто девять сотых %), LSV Asset Management (восемь целых три сотых %), Fidelity International (семь целых шестьдесят девять сотых %) и Nordea (четыре целых пятьдесят четыре сотых %)."
"Среднегодовая температура воздуха — 2,7 °C.",Среднегодовая температура воздуха — две целых семь десятых °C.
"Занимает площадь 76,921 км².",Занимает площадь семидесяти шести целых девятисот двадцати одной тысячной км².
"Плотность населения — 1693,6 чел./км².",Плотность населения — одна тысяча шестьсот девяносто три целых шесть десятых чел./км².
"Общая площадь этих островов составляет 10,1 км², площадь самого острова Абрука — 8,78 км², что составляет 0,89 % от общей площади островов, площадь остальных островов — 1,3 км².","Общая площадь этих островов составляет десяти целых одной десятой км², площадь самого острова Абрука — восемь целых семьдесят восемь сотых км², что составляет ноль целых восемьдесят девять сотых % от общей площади островов, площадь остальных островов — одна целая три десятых км²."
"Вытянут с севера на юг, имеет длину 6,45 км, в ширину 3,8 км.","Вытянут с севера на юг, имеет длину шести целых сорока пяти сотых км, в ширину трёх целых восьми десятых км."
"Мелкие сеноеды, длина тела 2,5–3,5 мм.","Мелкие сеноеды, длина тела две целых пять десятых–три целых пять десятых мм."
"Площадь занимаемой территории — 204,7 км².",Площадь занимаемой территории — двести четыре целых семь десятых км².
"Занимает площадь 19,52 км².",Занимает площадь девятнадцати целых пятидесяти двух сотых км².
(CC BY-SA 3.0),(CC BY-SA три целых ноль десятых)
"· Интернет — 48,8 млрд руб.;",· Интернет — сорок восемь целых восемь десятых млрд руб.;
"· печатные СМИ — 26,5 млрд руб.;",· печатные СМИ — двадцать шесть целых пять десятых млрд руб.;
"· прочие медиа — 2,9 млрд руб.",· прочие медиа — две целых девять десятых млрд руб.
"Одна из крупнейших медиакомпаний на рынке — „Яндекс“, с оборотом 28,8 млрд; свои медиаактивы имеют РБК, „Национальная Медиа Группа“, ProfMediaBusinessSolutions и государственный холдинг „ВГТРК“.","Одна из крупнейших медиакомпаний на рынке — „Яндекс“, с оборотом двадцать восемь целых восемь десятых млрд; свои медиаактивы имеют РБК, „Национальная Медиа Группа“, ProfMediaBusinessSolutions и государственный холдинг „ВГТРК“."
"Тогда журнал оценил Mail.Ru Group в $4,7 млрд, а „Яндекс“ — в $4,3 млрд.","Тогда журнал оценил Mail.Ru Group в $четыре целых семь десятых млрд, а „Яндекс“ — в $четыре целых три десятых млрд."
"Было упразднено более 3,5 тысяч городских и районных аппаратов, объединены некоторые оперативные и следственные подразделения, ликвидированы и объединены в единые следственные аппараты следственные отделы и отделения в оперативных подразделениях.","Было упразднено более три целых пять десятых тысяч городских и районных аппаратов, объединены некоторые оперативные и следственные подразделения, ликвидированы и объединены в единые следственные аппараты следственные отделы и отделения в оперативных подразделениях."
"Устье реки находится в 7,8 км по левому берегу реки Баскаковка.",Устье реки находится в семь целых восемь десятых км по левому берегу реки Баскаковка.
"По данным Бюро переписи населения США площадь тауншипа составляет 94,9 км², из которых 83,0 км² занимает суша, а 11,9 км² — вода (12,56 %).","По данным Бюро переписи населения США площадь тауншипа составляет девяноста четырёх целых девяти десятых км², из которых восьмидесяти трёх целых ноля десятых км² занимает суша, а одиннадцать целых девять десятых км² — вода (двенадцать целых пятьдесят шесть сотых %)."
"Плотность населения —  3,0 чел./км².",Плотность населения —  три целых ноль десятых чел./км².
"Расовый состав населения: 98,81 % белых, 0,40 % c Тихоокеанских островов, 0,79 % — других рас США.","Расовый состав населения: девяносто восемь целых восемьдесят одна сотая % белых, ноль целых сорок сотых % c Тихоокеанских островов, ноль целых семьдесят девять сотых % — других рас США."
"Средний размер домохозяйства — 2,34, а семьи — 2,78 человека.","Средний размер домохозяйства — две целых тридцать четыре сотых, а семьи — две целых семьдесят восемь сотых человека."
"В условиях Ростовской области сумма эффективных температур для начала цветения составляет 46,6 ± 2,0 °С, а для окончания цветения — 120,3 ± 2,1 °С.","В условиях Ростовской области сумма эффективных температур для начала цветения составляет сорок шесть целых шесть десятых ± две целых ноль десятых °С, а для окончания цветения — сто двадцать целых три десятых ± двух целых одной десятой °С."
"Один цветок выделяет 0,302 мг сахара в нектаре.",Один цветок выделяет ноля целых трёхсот двух тысячных мг сахара в нектаре.
"В насаждениях лесостепи Украины и в лесном насаждении Молдавии кизил даёт от 0,132 до 0,316 мг сахара в нектаре.",В насаждениях лесостепи Украины и в лесном насаждении Молдавии кизил даёт от ноля целых сто тридцати двух тысячных до ноля целых трёхсот шестнадцати тысячных мг сахара в нектаре.
"Наконец, в версию 1.0 были добавлены функция автоперезарядки (по умолчанию, включена), несколько новых и полные переработки старых карт (например, Анцио (dod_anzio)).","Наконец, в версию одну целую ноль десятых были добавлены функция автоперезарядки (по умолчанию, включена), несколько новых и полные переработки старых карт (например, Анцио (dod_anzio))."
"Американская Базука, Немецкий Панцершрек и Британский PIAT стали отдельными классами с версии 1.2, кроме того, разрабатывался класс «Миномётчик», но он так и не появился.","Американская Базука, Немецкий Панцершрек и Британский PIAT стали отдельными классами с версии одной целой двумя десятых, кроме того, разрабатывался класс «Миномётчик», но он так и не появился."
"Ёмкость для пожертвований представляет собой стальной контейнер глубиной 91,44 см и диаметром 50,8 см.",Ёмкость для пожертвований представляет собой стальной контейнер глубиной девяноста одной целой сорока четырёх сотых см и диаметром пятидесяти целых восьми десятых см.
"Когда монета проходит сквозь щель крышки, звучат голоса персонажей из известной сказки про «Бременских музыкантов» братьев Гримм — лай собаки, крик петуха, мяуканье кота или рёв осла.","Когда монета проходит сквозь щель крышки, звучат голоса персонажей из известной сказки про «Бременских музыкантов» братьев Гримм — лай собаки, крик петуха, мяуканье кота или рёв осла."
"Самый высокий уровень заболеваемости в стране - г. Баку, 54,2%.","Самый высокий уровень заболеваемости в стране - г. Баку, пятьдесят четыре целых две десятых%."
"49,9% инфицированных приходится на г. Баку.",сорок девять целых девять десятых% инфицированных приходится на г. Баку.
"Занимает площадь 10,51 км².",Занимает площадь десяти целых пятидесяти одной сотой км².
"Верховое болото вытянуто в субмеридиональном направлении, имеет слабовыпуклый профиль поверхности и отличается большим количеством форм биогенного нанорельефа — болотными кочками (диаметром 0,3—0,4 м; высотой до 0,4 м).","Верховое болото вытянуто в субмеридиональном направлении, имеет слабовыпуклый профиль поверхности и отличается большим количеством форм биогенного нанорельефа — болотными кочками (диаметром 0,3—ноля целых четырёх десятых м; высотой до ноля целых четырёх десятых м)."
"Вдоль восточной окраины верхового болота протягивается старая мелиоративная канава (шириной 0,5 м; глубиной 0,2 м).",Вдоль восточной окраины верхового болота протягивается старая мелиоративная канава (шириной ноля целых пяти десятых м; глубиной ноля целых двух десятых м).
"Длина 7,3 м.",Длина семи целых трёх десятых м.
"Данные кассетные элементы являются частично управляемыми, сбрасываются с высоты около 0,9—1,4 км и планируют, ориентируясь по командам дистанционного взрывателя 9Э156 «Зонт», который работает по встроенному радиовысотомеру, и вращающегося за счёт расположения сбоку боевого элемента лазерного дальномера, сканирующего поверхность.","Данные кассетные элементы являются частично управляемыми, сбрасываются с высоты около ноля целых девяти десятых—одной целой четырёх десятых км и планируют, ориентируясь по командам дистанционного взрывателя 9Э156 «Зонт», который работает по встроенному радиовысотомеру, и вращающегося за счёт расположения сбоку боевого элемента лазерного дальномера, сканирующего поверхность."
"За счёт практически вертикального захода ракеты на цель возможен ранний их сброс с высоты до 1,4 км до цели, что делает неэффективным применение против 9М723 зенитной ракеты комплекса ПВО с фугасной боевой частью, т.к. даже в случае ""успешного"" перехвата (поражения атакующей БР осколками противоракеты) сама ракета, в т.ч. её боевая часть, продолжат лететь вниз по баллистической траектории.","За счёт практически вертикального захода ракеты на цель возможен ранний их сброс с высоты до одной целой четырёх десятых км до цели, что делает неэффективным применение против 9М723 зенитной ракеты комплекса ПВО с фугасной боевой частью, т.к. даже в случае ""успешного"" перехвата (поражения атакующей БР осколками противоракеты) сама ракета, в т.ч. её боевая часть, продолжат лететь вниз по баллистической траектории."
"ниже по течению на расстоянии в 1,5 км расположено село Ходино.",ниже по течению на расстоянии в одну целую пять десятых км расположено село Ходино.
"Рядом проходит железная дорога, станция Гудово в 1,5 км.","Рядом проходит железная дорога, станция Гудово в одну целую пять десятых км."
"В 1,5 км проходит граница с Россией.",В одной целой пяти десятых км проходит граница с Россией.
"Занимает площадь 22,37 км².",Занимает площадь двадцати двух целых тридцати семи сотых км².
"Ночью в 01.00 Министерство обороны Азербайджана сообщило об уничтожении подразделениями азербайджанской армии ряда военных колонн противника, передвигающихся в различных направлениях.","Ночью в одна целая ноль сотых Министерство обороны Азербайджана сообщило об уничтожении подразделениями азербайджанской армии ряда военных колонн противника, передвигающихся в различных направлениях."
"Окаменелости обнаружены в верхнемеловых отложениях (83,5—70,6 млн лет назад) штата Юта, США.","Окаменелости обнаружены в верхнемеловых отложениях (восемьдесят три целых пять десятых—семьдесят целых шесть десятых млн лет назад) штата Юта, США."
"Занимает площадь 23,56 км².",Занимает площадь двадцати трёх целых пятидесяти шести сотых км².
"Занимает площадь 4,67 км².",Занимает площадь четырёх целых шестидесяти семи сотых км².
"МИД ДНР сообщило, что за время конфликта украинские власти задолжали жителям ДНР пенсионные выплаты на общую сумму 71,6 млрд гривен (2,6 млрд долларов).","МИД ДНР сообщило, что за время конфликта украинские власти задолжали жителям ДНР пенсионные выплаты на общую сумму семьдесят одна целая шесть десятых млрд гривен (две целых шесть десятых млрд долларов)."
"Численность населения обеих республик, согласно официальной статистике, составляет 3,7 млн человек.","Численность населения обеих республик, согласно официальной статистике, составляет три целых семь десятых млн человек."
"Занимает площадь 75,09 км².",Занимает площадь семидесяти пяти целых девяти сотых км².
"Занимает площадь 4,30 км².",Занимает площадь четырёх целых тридцати сотых км².
"Среднегодовая температура воздуха — 7,7 °C.",Среднегодовая температура воздуха — семь целых семь десятых °C.
"К западной части озера проложена автомобильная дорога, со всех сторон оно окружено пешеходной тропой длиной 1,5 км.","К западной части озера проложена автомобильная дорога, со всех сторон оно окружено пешеходной тропой длиной одной целой пяти десятых км."
"Плотность населения составляет 429,5 чел./км².",Плотность населения составляет четырёхсот двадцати девяти целых пяти десятых чел./км².
"Friendica, открытое программное обеспечение для социальных сетей с внедрённым ActivityPub (добавлено в версии 2019.01).","Friendica, открытое программное обеспечение для социальных сетей с внедрённым ActivityPub (добавлено в версии две тысячу девятнадцать целых одну сотую)."
// «Известия» 17.05.1995,// «Известия» 17.05.1995
— arXiv:1707.00139.,— arXiv:одна тысяча семьсот семь целых сто тридцать девять стотысячных.
"Zeta — операционная система, являвшаяся развитием операционной системы BeOS R5.1d0 (рабочее название Dano/Dan0).","Zeta — операционная система, являвшаяся развитием операционной системы BeOS R5.1d0 (рабочее название Dano/Dan0)."
"В то же время только сборные грузы смогли сохранить положительную динамику и вырасти на 2,1%.",В то же время только сборные грузы смогли сохранить положительную динамику и вырасти на две целых одна десятая%.
"Длина: 30,91 м",Длина: тридцать целых девяносто одна сотая м
"Размах крыла: 28,08 м",Размах крыла: двадцать восемь целых восемь сотых м
"Высота: 8,51 м",Высота: восемь целых пятьдесят одна сотая м
"Максимальная ширина фюзеляжа: 3,3 м",Максимальная ширина фюзеляжа: три целых три десятых м
"Площадь крыла: 93,5 м²",Площадь крыла: девяносто три целых пять десятых м²
Длина: 27.88 м,Длина: двадцать семь целых восемьдесят восемь сотых м
"Максимальная ширина: 3,1 м",Максимальная ширина: три целых одна десятая м
"ниже по течению на расстоянии в 0,5 км расположено село Песчаное (Покровский район),","ниже по течению на расстоянии в ноль целых пять десятых км расположено село Песчаное (Покровский район),"
Занимает площадь 29.65 км².,Занимает площадь двадцати девяти целых шестидесяти пяти сотых км².
"При этом результаты хирургического лечения пациентов отвечают уровню лучших медицинских центров мира (количество послеоперационных осложнений — 2,7 %, летальность — 1,5 %).","При этом результаты хирургического лечения пациентов отвечают уровню лучших медицинских центров мира (количество послеоперационных осложнений — две целых семь десятых %, летальность — одна целая пять десятых %)."
"Средняя температура воздуха самого холодного месяца (января) — −11,3 °C; самого тёплого месяца (июля) — 20,4 °C.",Средняя температура воздуха самого холодного месяца (января) — −одиннадцать целых три десятых °C; самого тёплого месяца (июля) — двадцать целых четыре десятых °C.
"Судьи выставили оценки 5,8-5,9, кроме одной 5,5 от судьи М. Затса, рефери Б. Райт тут же вызвал судью и в присутствии возмущенных зрителей долго отчитывал его за несправедливую оценку.","Судьи выставили оценки пять целых восемь десятых-пять целых девять десятых, кроме одной пяти целых пяти десятых от судьи М. Затса, рефери Б. Райт тут же вызвал судью и в присутствии возмущенных зрителей долго отчитывал его за несправедливую оценку."
"сельское хозяйство — 0,0 %",сельское хозяйство — ноль целых ноль десятых %
"промышленность — 25,3 %",промышленность — двадцать пять целых три десятых %
"строительство — 2,5 %",строительство — две целых пять десятых %
"торговля, транспорт и сфера услуг — 44,8 %","торговля, транспорт и сфера услуг — сорок четыре целых восемь десятых %"
"Занимает площадь 6,18 км².",Занимает площадь шести целых восемнадцати сотых км².
"Среднегодовая температура воздуха — 1,8 °C.",Среднегодовая температура воздуха — одна целая восемь десятых °C.
Пять знаковых имен белорусского кино.,Пять знаковых имен белорусского кино.
Сериал по повести И. Пташникова бьет рейтинги просмотров.,Сериал по повести И. Пташникова бьет рейтинги просмотров.
Студенты академии искусств снимают фильм о войне в Афганистане.,Студенты академии искусств снимают фильм о войне в Афганистане.
"Геном: 1,33—1,37 пг (C-value).",Геном: одна целая тридцать три сотых—одна целая тридцать семь сотых пг (C-value).
"Поддержка протоколов TLS 1.1, TLS 1.0 и SSL 3.0","Поддержка протоколов TLS одна целая одна десятая, TLS одна целая ноль десятых и SSL три целых ноль десятых"
SSL 2.0 не поддерживается в силу своей небезопасности.,SSL две целых ноль десятых не поддерживается в силу своей небезопасности.
"TLS 1.2 поддерживается, но по умолчанию выключен.","TLS одна целая две десятых поддерживается, но по умолчанию выключен."
"Площадь земель относящихся к деревне — 5,8 га.",Площадь земель относящихся к деревне — пять целых восемь десятых га.
"34.69, диаметр 9,8 км, глубина 2,34 км.","тридцать четыре целых шестьдесят девять сотых, диаметр девяти целых восьми десятых км, глубина двух целых тридцати четырёх сотых км."
"Управлению строительства, ремонта и реконструкции Департамента строительства и дорожного хозяйства городским советом предоставлены 9,9 га парка для строительства автодороги, гостиничного комплекса и апартаментов.","Управлению строительства, ремонта и реконструкции Департамента строительства и дорожного хозяйства городским советом предоставлены девять целых девять десятых га парка для строительства автодороги, гостиничного комплекса и апартаментов."
"Ещё 12,8 га парка был предоставлен статус земли жилой и общественной застройки.",Ещё двенадцать целых восемь десятых га парка был предоставлен статус земли жилой и общественной застройки.
"Русло реки (отметки уреза воды) в среднем течении (пруд южнее Новопавловки) находится на высоте 98,5 м над уровнем моря.",Русло реки (отметки уреза воды) в среднем течении (пруд южнее Новопавловки) находится на высоте девяноста восьми целых пяти десятых м над уровнем моря.
"Среднегодовая температура воздуха — 4,6 °C.",Среднегодовая температура воздуха — четыре целых шесть десятых °C.
"Было объявлено о начале судопроизводства NURNBERG 2.0 в связи с искусственной программой мероприятий и ограничений по инфекции, которую организаторы назвали антинаучной, антимедицинской и противозаконной.","Было объявлено о начале судопроизводства NURNBERG две целых ноль десятых в связи с искусственной программой мероприятий и ограничений по инфекции, которую организаторы назвали антинаучной, антимедицинской и противозаконной."
"Среднегодовая температура воздуха — 2,6 °C.",Среднегодовая температура воздуха — две целых шесть десятых °C.
"Средняя температура воздуха самого холодного месяца (января) — −12,7 °C; самого тёплого месяца (июля) — 17,9 °C.",Средняя температура воздуха самого холодного месяца (января) — −двенадцать целых семь десятых °C; самого тёплого месяца (июля) — семнадцать целых девять десятых °C.
"{\displaystyle (t=0,1,2,...)}","{\displaystyle (t=0,1,2,...)}"
"Раскопками были открыты помещения только нижнего этажа, которые сохранились почти всюду на их полную высоту — около 3,6 метров.","Раскопками были открыты помещения только нижнего этажа, которые сохранились почти всюду на их полную высоту — около трёх целых шести десятых метров."
"Задние стены ниш, шириной 1,6 метров, были прорезаны парными ложными бойницами.","Задние стены ниш, шириной одной целой шести десятых метров, были прорезаны парными ложными бойницами."
"Среднегодовая температура воздуха — 4,1 °C.",Среднегодовая температура воздуха — четыре целых одна десятая °C.
"Абсолютный минимум температуры воздуха самого холодного месяца (января) составляет −30,2 °C; абсолютный максимум самого тёплого месяца (июля) — 36,9 °C.",Абсолютный минимум температуры воздуха самого холодного месяца (января) составляет −тридцати целых двух десятых °C; абсолютный максимум самого тёплого месяца (июля) — тридцать шесть целых девять десятых °C.
"Плотность населения — 	47,82	 чел./км².",Плотность населения — 	сорок семь целых восемьдесят две сотых	 чел./км².
"Площадь города составляет 16,3 км², из которых 16,2 км² — суша и 0,1 км² (0,64 %) — открытые водные пространства.","Площадь города составляет шестнадцати целых трёх десятых км², из которых шестнадцать целых две десятых км² — суша и ноль целых одна десятая км² (ноль целых шестьдесят четыре сотых %) — открытые водные пространства."
"Плотность населения — 6,2 чел/км².",Плотность населения — шесть целых две десятых чел/км².
"Расовый состав: коренные американцы — 91,09 %; белые — 8,91 %.",Расовый состав: коренные американцы — девяносто одна целая девять сотых %; белые — восемь целых девяносто одна сотая %.
