q,a
"Расстояние до районного центра Грязовца по автодороге — 31,5 км.",Расстояние до районного центра Грязовца по автодороге — тридцать одна целая пять десятых км.
"Средняя годовая температура +1,3 °С.",Средняя годовая температура одна целая три десятых °С.
"Когда вселенский цикл подходит к концу, Вишну становится пылающим солнцем, бушующим ветром и проливным дождём («Матсья-пурана», текст 1.67).","Когда вселенский цикл подходит к концу, Вишну становится пылающим солнцем, бушующим ветром и проливным дождём («Матсья-пурана», текст одна целая шестьдесят семь сотых)."
"Среднегодовая температура воздуха — +1,8 °C.",Среднегодовая температура воздуха — одна целая восемь десятых °C.
"Вербезины белой травы — 12,5 мг",Вербезины белой травы — двенадцать целых пять десятых мг
"Пикрорризы курроа корней и корневищ — 5,0 мг",Пикрорризы курроа корней и корневищ — пять целых ноль десятых мг
"Паслёна чёрного плодов — 7,5 мг",Паслёна чёрного плодов — семь целых пять десятых мг
"Цикория обыкновенного семян — 8,75 мг",Цикория обыкновенного семян — восемь целых семьдесят пять сотых мг
"Солодки голой корней — 10,0 мг",Солодки голой корней — десять целых ноль десятых мг
"Тамарикса гребенщика плодов — 5,0 мг",Тамарикса гребенщика плодов — пять целых ноль десятых мг
"Редьки посевной семян — 2,5 мг",Редьки посевной семян — две целых пять десятых мг
"Барбариса остистого плодов — 7,5 мг",Барбариса остистого плодов — семь целых пять десятых мг
"Расторопши пятнистой плодов — 10,0 мг",Расторопши пятнистой плодов — десять целых ноль десятых мг
"Сферантуса индийского плодов — 2,5 мг",Сферантуса индийского плодов — две целых пять десятых мг
"Берхавии раскидистой травы — 5,0 мг",Берхавии раскидистой травы — пять целых ноль десятых мг
"Среднегодовая температура воздуха — 5,4 °C.",Среднегодовая температура воздуха — пять целых четыре десятых °C.
"Среднегодовая температура — +8,3 C°.",Среднегодовая температура — восемь целых три десятых C°.
"Среднегодовая скорость ветра — 2,4 м/с",Среднегодовая скорость ветра — две целых четыре десятых м/с
"(из них трансферты составили 87,1 млн грн.), расходы — 284,6 млн грн.","(из них трансферты составили восемьдесят семь целых одна десятая млн грн.), расходы — двести восемьдесят четыре целых шесть десятых млн грн."
"Финансовый результат от следующих видов деятельности: промышленность — 232,7 млн грн.; торговля и услуги — 45,8 млн грн.; транспорт и связь — 8,69 млн грн.; строительство — 7,9 млн грн.; другие — 4,66 млн грн..",Финансовый результат от следующих видов деятельности: промышленность — двести тридцать две целых семь десятых млн грн.; торговля и услуги — сорок пять целых восемь десятых млн грн.; транспорт и связь — восемь целых шестьдесят девять сотых млн грн.; строительство — семь целых девять десятых млн грн.; другие — четыре целых шестьдесят шесть сотых млн грн..
"Иностранные инвестиции составили 138,71 млн долларов США, то есть 1698,1 доллара на одного жителя.","Иностранные инвестиции составили сто тридцать восемь целых семьдесят одна сотая млн долларов США, то есть одна тысяча шестьсот девяносто восемь целых одна десятая доллара на одного жителя."
"Приватизированное жильё 4508,9, частный сектор 481,1.","Приватизированное жильё четыре тысяча пятьсот восемь целых девять десятых, частный сектор четыреста восемьдесят одна целая одна десятая."
"Государственный жилищный фонд 98,1 тыс. м², фонд местных советов — 2486,5.","Государственный жилищный фонд девяносто восемь целых одна десятая тыс. м², фонд местных советов — две тысяча четыреста восемьдесят шесть целых пять десятых."
"На одного жителя в среднем приходилось 14,1 м² жилой площади.",На одного жителя в среднем приходилось четырнадцать целых одна десятая м² жилой площади.
"Мини-альбом дебютировал на вершине японского еженедельного цифрового чарта Oricon с 3,915 загрузками.",Мини-альбом дебютировал на вершине японского еженедельного цифрового чарта Oricon с тремя целых девятьюстами пятнадцатью тысячных загрузками.
"Среднегодовая многолетняя температура воздуха составляет 4,4 °С.",Среднегодовая многолетняя температура воздуха составляет четыре целых четыре десятых °С.
"Занимает площадь 1,9 км².",Занимает площадь одной целой девяти десятых км².
"Среднегодовая многолетняя температура воздуха составляет +3,8 — +4,5 °С.",Среднегодовая многолетняя температура воздуха составляет три целых восемь десятых — четыре целых пять десятых °С.
"Среднегодовая температура — 3,6 °C.",Среднегодовая температура — три целых шесть десятых °C.
«Бог в помощь банк»:,«Бог в помощь банк»:
21.0﻿ (юго-восточный конец).,двадцать одна целая ноль десятых﻿ (юго-восточный конец).
"Диацетилен (1,3-бутадиин) — органическое соединение, непредельный углеводород, алкадиин.","Диацетилен (одна целая три десятых-бутадиин) — органическое соединение, непредельный углеводород, алкадиин."
"В Тамбовской области расположены девять электростанций общей мощностью 90,2 МВт, обеспечивающих энергоснабжение отдельных предприятий (преимущественно, сахарных заводов).","В Тамбовской области расположены девять электростанций общей мощностью девяноста целых двух десятых МВт, обеспечивающих энергоснабжение отдельных предприятий (преимущественно, сахарных заводов)."
"Мощность станции — 2,4 МВт.",Мощность станции — две целых четыре десятых МВт.
"Мощность станции — 0,6 МВт, тепловая мощность — 4,6 Гкал/ч.","Мощность станции — ноль целых шесть десятых МВт, тепловая мощность — четыре целых шесть десятых Гкал/ч."
Параллельно энергосистеме не работает.,Параллельно энергосистеме не работает.
"Среднегодовая температура воздуха — 4,6 °С.",Среднегодовая температура воздуха — четыре целых шесть десятых °С.
"Средняя многолетняя температура самого холодного месяца (января) составляет −7,8 °С, средняя температура самого тёплого (июля) — +17,4 °С.","Средняя многолетняя температура самого холодного месяца (января) составляет −семь целых восемь десятых °С, средняя температура самого тёплого (июля) — семнадцать целых четыре десятых °С."
"Госдеп США через Генеральное консульство США во Владивостоке уведомил Кашина о готовности выплатить ему в качестве компенсации за причиненные страдания 2,4 млн рублей.",Госдеп США через Генеральное консульство США во Владивостоке уведомил Кашина о готовности выплатить ему в качестве компенсации за причиненные страдания две целых четыре десятых млн рублей.
"Александр проживает с престарелыми родителями; получает пенсию по инвалидности в размере 5,4 тыс. руб.",Александр проживает с престарелыми родителями; получает пенсию по инвалидности в размере пять целых четыре десятых тыс. руб.
"Это почти 1,5 тысячи километров, на сотни километров трасса безлюдная.","Это почти одна целая пять десятых тысячи километров, на сотни километров трасса безлюдная."
"Я уже в Москве, приехал сегодня в 24.00 ночи.","Я уже в Москве, приехал сегодня в двадцати четырёх целых ноля сотых ночи."
"Этою работою я занимался три года сряду, в течение летних месяцев, и потребовал 30,000 человек работников, но никогда не мог получить и половины этого числа, а в последний год не было прислано в мое распоряжение даже и 10,000 человек, не говоря о том, что всегда чувствовался недостаток в хороших мастерах и необходимом количестве материала.","Этою работою я занимался три года сряду, в течение летних месяцев, и потребовал тридцати целых ноля тысячных человек работников, но никогда не мог получить и половины этого числа, а в последний год не было прислано в мое распоряжение даже и десять целых ноль тысячных человек, не говоря о том, что всегда чувствовался недостаток в хороших мастерах и необходимом количестве материала."
"Район занимает площадь 2476,2 км².",Район занимает площадь двух тысячи четырёхсот семидесяти шести целых двух десятых км².
"Конечно, нашим крупнейшим предприятием является Калининская АЭС: её удельный вес в общем объёме выпуска продукции района составляет 95,7 %.","Конечно, нашим крупнейшим предприятием является Калининская АЭС: её удельный вес в общем объёме выпуска продукции района составляет девяносто пять целых семь десятых %."
"Площадь 302,5 км2.",Площадь трёхсот двух целых пяти десятых км2.
"Среднегодовая температура воздуха — 4,1 °C.",Среднегодовая температура воздуха — четыре целых одна десятая °C.
"Примерно в 4,5 км к востоку от деревни проходит автомобильная дорога Пермь — Кунгур.",Примерно в четыре целых пять десятых км к востоку от деревни проходит автомобильная дорога Пермь — Кунгур.
"Среднегодовая температура воздуха — 4,4 °С.",Среднегодовая температура воздуха — четыре целых четыре десятых °С.
"Среднегодовая температура воздуха: + 4,3 °C;",Среднегодовая температура воздуха: + четыре целых три десятых °C;
"Относительная влажность воздуха: 67,2 %;",Относительная влажность воздуха: шестьдесят семь целых две десятых %;
"Средняя скорость ветра: 3,6 м/с;",Средняя скорость ветра: три целых шесть десятых м/с;
"70,28 МГц — Радио России / ГТРК Башкортостан (Молчит);",семьдесят целых двадцать восемь сотых МГц — Радио России / ГТРК Башкортостан (Молчит);
"90,6 МГц — Радио России / ГТРК Башкортостан;",девяносто целых шесть десятых МГц — Радио России / ГТРК Башкортостан;
"92,7 МГц — Радио Маяк;",девяносто две целых семь десятых МГц — Радио Маяк;
"94,5 МГц — Вести FM;",девяносто четыре целых пять десятых МГц — Вести FM;
"102,0 МГц — Милицейская волна;",сто две целых ноль десятых МГц — Милицейская волна;
"102,7 МГц — Радио Юлдаш;",сто две целых семь десятых МГц — Радио Юлдаш;
"103,5 МГц — Европа Плюс;",сто три целых пять десятых МГц — Европа Плюс;
"103,9 МГц — DFM;",сто три целых девять десятых МГц — DFM;
"105,7 МГц — Спутник FM;",сто пять целых семь десятых МГц — Спутник FM;
"106,3 МГц — Авторадио;",сто шесть целых три десятых МГц — Авторадио;
"106,9 МГц — Дорожное радио.",сто шесть целых девять десятых МГц — Дорожное радио.
"Занимает площадь 122,617 км².",Занимает площадь сто двадцати двух целых шестисот семнадцати тысячных км².
"Городская территория занимает площадь 122,56 квадратных километров, что делает Везель вторым по величине городом в округе после Хамминкельна.","Городская территория занимает площадь сто двадцати двух целых пятидесяти шести сотых квадратных километров, что делает Везель вторым по величине городом в округе после Хамминкельна."
"Общая протяженность границ города составляет 61,8 километра.",Общая протяженность границ города составляет шестьдесят одна целая восемь десятых километра.
"В целом, общая доля застроенных территорий и транспортных коридоров в городской местности составляет 24,6%, что немного выше среднего показателя по Северному Рейну-Вестфалии в 22,9%.","В целом, общая доля застроенных территорий и транспортных коридоров в городской местности составляет двадцать четыре целых шесть десятых%, что немного выше среднего показателя по Северному Рейну-Вестфалии в двадцать две целых девять десятых%."
"Леса занимают 14,6% территории, что ниже среднего значения по административному округу Дюссельдорф (15,6%).","Леса занимают четырнадцать целых шесть десятых% территории, что ниже среднего значения по административному округу Дюссельдорф (пятнадцать целых шесть десятых%)."
"Среднегодовая температура воздуха составляет −4,3 — −2,5 °С.",Среднегодовая температура воздуха составляет −четыре целых три десятых — −две целых пять десятых °С.
Осуждённый Мейланов сознательно не желает становиться на путь исправления».,Осуждённый Мейланов сознательно не желает становиться на путь исправления».
"Шаг нарезов: 715,5 мм",Шаг нарезов: семьсот пятнадцать целых пять десятых мм
"Щеки очень длинные (у самок длина щёк превосходит ширину основания жвал в 1,8 раза).",Щеки очень длинные (у самок длина щёк превосходит ширину основания жвал в одну целую восемь десятых раза).
"Этот неф, высотой 41,41 метра, является третьим по величине во Франции.","Этот неф, высотой сорока одной целой сорока одной сотой метра, является третьим по величине во Франции."
"Ближайшие населённые пункты — Акишево на противоположном берегу реки и Женаткино в 1,3 км на север.",Ближайшие населённые пункты — Акишево на противоположном берегу реки и Женаткино в одну целую три десятых км на север.
"Занимает площадь 32,68 км².",Занимает площадь тридцати двух целых шестидесяти восьми сотых км².
"Среднегодовая температура воздуха — 4,9 °C.",Среднегодовая температура воздуха — четыре целых девять десятых °C.
ПКТС-6281.00 «Адмирал» (базовая модель) — с транзисторной системой управления на IGBT-модулях и двигателем переменного тока.,ПКТС-шесть тысячи двести восемьдесят одна целая ноль сотых «Адмирал» (базовая модель) — с транзисторной системой управления на IGBT-модулях и двигателем переменного тока.
В серийном производстве находится переработанная версия модификации троллейбуса Тролза-5265.02 «Мегаполис».,В серийном производстве находится переработанная версия модификации троллейбуса Тролза-пять тысячи двести шестьдесят пять целых две сотых «Мегаполис».
ПКТС-6281.01 «Генерал» — с транзисторной системой управления на IGBT-модулях и двигателем переменного тока.,ПКТС-шесть тысячи двести восемьдесят одна целая одна сотая «Генерал» — с транзисторной системой управления на IGBT-модулях и двигателем переменного тока.
"Призовые Медведева за турнир составили 1,9 млн долларов.",Призовые Медведева за турнир составили одна целая девять десятых млн долларов.
"Все матчи на турнире Даниил выиграл быстрее, чем за 2,5 часа.","Все матчи на турнире Даниил выиграл быстрее, чем за две целых пять десятых часа."
"Медведев за победу заработал 2,5 млн долларов призовых.",Медведев за победу заработал две целых пять десятых млн долларов призовых.
"Призовые Медведева за турнир составили 1,17 млн долларов США.",Призовые Медведева за турнир составили одна целая семнадцать сотых млн долларов США.
"Плотность населения составляет 67,6 чел./км².",Плотность населения составляет шестидесяти семи целых шести десятых чел./км².
"Максимальная длина тела достигает 6,4 см.",Максимальная длина тела достигает шести целых четырёх десятых см.
При этом самцы меньше самок.,При этом самцы меньше самок.
"Головастики достигают длины тела 4,6 см.",Головастики достигают длины тела четырёх целых шести десятых см.
"Хвост при этом в почти в 1,5 раза длиннее туловища, с округлым окончанием.","Хвост при этом в почти в одну целую пять десятых раза длиннее туловища, с округлым окончанием."
"Сеголетки достигают длины от 1,4 до 2,2 мм.",Сеголетки достигают длины от одной целой четырёх десятых до двух целых двух десятых мм.
"Брачные мозоли начинают появляться у самцов при длине тела от 3,2 см.",Брачные мозоли начинают появляться у самцов при длине тела от трёх целых двух десятых см.
// © Сайт Русского центра флаговедения и геральдики =Russian Centre of Vexillology and Heraldry= (www.vexillographia.ru),// © Сайт Русского центра флаговедения и геральдики =Russian Centre of Vexillology and Heraldry= (www.vexillographia.ru)
"По приблизительным оценкам, сделанным РАО ЕЭС, перевод часов позволял экономить ежегодно около 4,4 млрд кВт·ч электроэнергии.","По приблизительным оценкам, сделанным РАО ЕЭС, перевод часов позволял экономить ежегодно около четырёх целых четырёх десятых млрд кВт·ч электроэнергии."
"Согласно опросу, проведённому Национальным центром проблем формирования здорового образа жизни, 51,6 % населения отрицательно реагирует на перевод времени.","Согласно опросу, проведённому Национальным центром проблем формирования здорового образа жизни, пятьдесят одна целая шесть десятых % населения отрицательно реагирует на перевод времени."
"При наблюдении в инфракрасном диапазоне ​​было обнаружено второе ядро в 3,8 угловых секундах к северо-западу от активного ядра.",При наблюдении в инфракрасном диапазоне ​​было обнаружено второе ядро в три целых восемь десятых угловых секундах к северо-западу от активного ядра.
"В этом же году добавился 1,4 L двигатель с турбонаддувом.",В этом же году добавился одна целая четыре десятых L двигатель с турбонаддувом.
Седан выделился в отдельную модель и получил название Renault Fluence.,Седан выделился в отдельную модель и получил название Renault Fluence.
Mégane GT является высоко-производительной версией с 1.6 I4 дизельным или бензиновым силовым агрегатом.,Mégane GT является высоко-производительной версией с одной целой шестью десятых I4 дизельным или бензиновым силовым агрегатом.
"Суммарные продажи сингла в Великобритании составляют 150,000 экземпляров.",Суммарные продажи сингла в Великобритании составляют сто пятидесяти целых ноля тысячных экземпляров.
"Продажи составили 935,000 единиц в США.",Продажи составили девятисот тридцати пяти целых ноля тысячных единиц в США.
"Среднегодовая температура воздуха — 4,2 °C.",Среднегодовая температура воздуха — четыре целых две десятых °C.
"Среднегодовая скорость ветра — 4,5 м/с, варьирует от 5,3 м/с в ноябре до 3,4 м/с в августе.","Среднегодовая скорость ветра — четыре целых пять десятых м/с, варьирует от пяти целых трёх десятых м/с в ноябре до трёх целых четырёх десятых м/с в августе."
"Занимает площадь 5,72 км².",Занимает площадь пяти целых семидесяти двух сотых км².
"Длина тела 15,5 см.",Длина тела пятнадцати целых пяти десятых см.
"Окраска оперения сверху оливково-зелёная, а снизу жёлтая, с узкой желтой «бровью», размытыми оливковыми прожилками на горле и груди, тусклыми хвостом и крыльями; крылья также имеют рыжие перемычки-«эполеты».","Окраска оперения сверху оливково-зелёная, а снизу жёлтая, с узкой желтой «бровью», размытыми оливковыми прожилками на горле и груди, тусклыми хвостом и крыльями; крылья также имеют рыжие перемычки-«эполеты»."
"Dusky-tailed Flatbill (Ramphotrigon fuscicauda), version 1.0.","Dusky-tailed Flatbill (Ramphotrigon fuscicauda), version одна целая ноль десятых."
"Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.dutfla1.01","Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.dutfla1.01"
"В том же году 39,99 % компании у Шипелова выкупил бывший заместитель гендиректора «Ростеха» Сергей Скворцов.",В том же году тридцать девять целых девяносто девять сотых % компании у Шипелова выкупил бывший заместитель гендиректора «Ростеха» Сергей Скворцов.
"Общая мощность четырех комплексов под управлением «РТ-Инвест» — 1,5 млн тонн отходов в год.",Общая мощность четырех комплексов под управлением «РТ-Инвест» — одна целая пять десятых млн тонн отходов в год.
"В итоге совокупная мощность всех комплексов составит 3,3 млн тонн отходов в год.",В итоге совокупная мощность всех комплексов составит три целых три десятых млн тонн отходов в год.
"Мощность новых станций составит 1,5 ГВт.",Мощность новых станций составит одной целой пяти десятых ГВт.
"Минпромторг оценил строительство девяти заводов в 342,46 млрд руб, в состав которых входит всего 37,55 млрд руб. бюджетных денежных средств, каким образом компания добудет остальные деньги, в обращении указано не было.","Минпромторг оценил строительство девяти заводов в триста сорок две целых сорок шесть сотых млрд руб, в состав которых входит всего тридцать семь целых пятьдесят пять сотых млрд руб. бюджетных денежных средств, каким образом компания добудет остальные деньги, в обращении указано не было."
"Линейная скорость вращения Земли (на экваторе) — 465,1013 м/с (1674,365 км/ч).",Линейная скорость вращения Земли (на экваторе) — четыреста шестьдесят пять целых одна тысяча тринадцать десятитысячных м/с (одна тысяча шестьсот семьдесят четыре целых триста шестьдесят пять тысячных км/ч).
"= 6378,1 км — экваториальный радиус,","= шесть тысячи триста семьдесят восемь целых одна десятая км — экваториальный радиус,"
"= 6356,8 км — полярный радиус.",= шесть тысячи триста пятьдесят шесть целых восемь десятых км — полярный радиус.
"Существует также свободная нутация, то есть свободное движение географических полюсов по кривой, близкой к окружности, с периодом 1,2 года, обусловленное тем, что Земля как целое смещается в пространстве относительно оси вращения.","Существует также свободная нутация, то есть свободное движение географических полюсов по кривой, близкой к окружности, с периодом одной целой двух десятых года, обусловленное тем, что Земля как целое смещается в пространстве относительно оси вращения."
"Большая полуось составляет около 20,6 миллиона километров.",Большая полуось составляет около двадцать целых шесть десятых миллиона километров.
"По итогам Олимпиады, по оценкам Международной профессиональной ассоциацией журналистов (AIPS), Россия наградила своих спортсменов бонусами на общую сумму 5,802 млн долларов.","По итогам Олимпиады, по оценкам Международной профессиональной ассоциацией журналистов (AIPS), Россия наградила своих спортсменов бонусами на общую сумму пять целых восемьсот две тысячных млн долларов."
"Общая площадь города — 87,8 км², из которых 5,99 км² составляют открытые водные пространства.","Общая площадь города — восемьдесят семь целых восемь десятых км², из которых пяти целых девяноста девяти сотых км² составляют открытые водные пространства."
"азиаты — 5,5 %",азиаты — пять целых пять десятых %
"негры и афроамериканцы — 1,2 %",негры и афроамериканцы — одна целая две десятых %
"коренные американцы — 0,7 %",коренные американцы — ноль целых семь десятых %
"уроженцы Гавайев и тихоокеанских островов — 0,1 %",уроженцы Гавайев и тихоокеанских островов — ноль целых одна десятая %
"прочие расы — 5,5 %",прочие расы — пять целых пять десятых %
"смешанные расы — 2,8 %",смешанные расы — две целых восемь десятых %
"латиноамериканцы (любой расы) — 15,2 %",латиноамериканцы (любой расы) — пятнадцать целых две десятых %
"Илья «Пруль» Вымениц — перкуссия (12,18)",Илья «Пруль» Вымениц — перкуссия (двенадцать целых восемнадцать сотых)
"Количество домохозяйств, смотревших премьеру, оценивается в 5,1 миллиона, что стало (и осталось) рекордно низким результатом за всю историю сериала.","Количество домохозяйств, смотревших премьеру, оценивается в пять целых одну десятую миллиона, что стало (и осталось) рекордно низким результатом за всю историю сериала."
"Среднегодовая температура воздуха +2,9…",Среднегодовая температура воздуха две целых девять десятых…
"+3,5 °C.",три целых пять десятых °C.
"Занимает площадь 1,42 км².",Занимает площадь одной целой сорока двух сотых км².
"Для Егошихи это: пересечения с автодорогами, район спорткомплекса и конечный участок реки длиной примерно 0,5 км до устья.","Для Егошихи это: пересечения с автодорогами, район спорткомплекса и конечный участок реки длиной примерно ноля целых пяти десятых км до устья."
"Река образуется на высоте 764,2 метра над уровнем моря слиянием рек Левая Киренга и Правая Киренга, берущих начало на западных склонах Байкальского хребта, на территории Байкало-Ленского заповедника.","Река образуется на высоте семисот шестидесяти четырёх целых двух десятых метра над уровнем моря слиянием рек Левая Киренга и Правая Киренга, берущих начало на западных склонах Байкальского хребта, на территории Байкало-Ленского заповедника."
"Занимает площадь 126,58 км².",Занимает площадь сто двадцати шести целых пятидесяти восьми сотых км².
"— Т. 1,2.",— Т. одна целая две десятых.
"Общая предполагаемая стоимость составила 3,5 миллиона фунтов стерлингов, из которых 1,8 миллиона фунтов стерлингов были необходимы для возобновления работы театра.","Общая предполагаемая стоимость составила три целых пять десятых миллиона фунтов стерлингов, из которых одна целая восемь десятых миллиона фунтов стерлингов были необходимы для возобновления работы театра."
"В то же время лишь 3,1 % населения страны говорят дома на тамильском.",В то же время лишь три целых одна десятая % населения страны говорят дома на тамильском.
"Среди индийского населения страны это число достигает 38,8 %, что всё же меньше доли тамилов.","Среди индийского населения страны это число достигает тридцать восемь целых восемь десятых %, что всё же меньше доли тамилов."
"Индийцы — крупнейшая этническая группа в Гайане (43,45 % от общего населения), Суринаме и Тринидаде и Тобаго (40,3 %).","Индийцы — крупнейшая этническая группа в Гайане (сорок три целых сорок пять сотых % от общего населения), Суринаме и Тринидаде и Тобаго (сорок целых три десятых %)."
"Категория: XX-я (средний рейтинг 2729,5)",Категория: XX-я (средний рейтинг две тысяча семьсот двадцать девять целых пять десятых)
"Кроме того, в фондах хранятся 17,7 миллионов рукописей, 1,2 миллиона (общественных) документов и десятки тысяч фильмов и видеозаписей.","Кроме того, в фондах хранятся семнадцать целых семь десятых миллионов рукописей, одна целая две десятых миллиона (общественных) документов и десятки тысяч фильмов и видеозаписей."
Ежегодный бюджет превышает 2.5 млн долларов.,Ежегодный бюджет превышает две целых пять десятых млн долларов.
К рассвету автоматчики подошли к мельнице в 1.5 км западнее Романова Села и по лощине на Киданцы.,К рассвету автоматчики подошли к мельнице в одной целой пяти десятых км западнее Романова Села и по лощине на Киданцы.
