q,a
"пашня — 0,5 млн га,","пашня — ноль целых пять десятых млн га,"
"железных дорог — 0,87 тыс. км,","железных дорог — ноль целых восемьдесят семь сотых тыс. км,"
"автодорог — 7,6 тыс. км (в том числе с твёрдым покрытием — 7,3 тыс. км).Газопроводы из Азербайджанской ССР и Северного Кавказа (через Тбилиси).",автодорог — семь целых шесть десятых тыс. км (в том числе с твёрдым покрытием — семь целых три десятых тыс. км).Газопроводы из Азербайджанской ССР и Северного Кавказа (через Тбилиси).
"«Сотбис» не установил начальную цену Alfa Romeo G1, но поскольку это единственный из известных сохранившихся экземпляров, эксперты полагают, что он может уйти за 1,5 миллиона долларов.","«Сотбис» не установил начальную цену Alfa Romeo G1, но поскольку это единственный из известных сохранившихся экземпляров, эксперты полагают, что он может уйти за одна целая пять десятых миллиона долларов."
"На летнем чемпионате СССР в Киеве превзошла всех своих соперниц и завоевала золотую медаль, при этом стала второй советской прыгуньей после Галины Филатовой, сумевшей взять планку в 1,90 метра.","На летнем чемпионате СССР в Киеве превзошла всех своих соперниц и завоевала золотую медаль, при этом стала второй советской прыгуньей после Галины Филатовой, сумевшей взять планку в одну целую девяносто сотых метра."
"Благодаря череде удачных выступлений удостоилась права защищать честь страны на летних Олимпийских играх в Монреале — благополучно преодолела предварительный квалификационный этап прыжков в высоту, тогда как в финале с результатом 1,87 метра разместилась на шестой позиции.","Благодаря череде удачных выступлений удостоилась права защищать честь страны на летних Олимпийских играх в Монреале — благополучно преодолела предварительный квалификационный этап прыжков в высоту, тогда как в финале с результатом одной целой восьмидесяти семи сотых метра разместилась на шестой позиции."
"Будучи студенткой, представляла Советский Союз на Универсиаде в Софии, откуда привезла награду бронзового достоинства (1,86).","Будучи студенткой, представляла Советский Союз на Универсиаде в Софии, откуда привезла награду бронзового достоинства (одна целая восемьдесят шесть сотых)."
Объем её крымских сборов составляет 10.800 листов.,Объем её крымских сборов составляет десяти целых восьмисот тысячных листов.
"Занимает площадь 132,445 км².",Занимает площадь сто тридцати двух целых четырёхсот сорока пяти тысячных км².
"Плотность населения — 86,1 чел./км².",Плотность населения — восемьдесят шесть целых одна десятая чел./км².
"Состав (%): 56,42 — SrO;",Состав (%): пятьдесят шесть целых сорок две сотых — SrO;
"43,58 — SO3.",сорок три целых пятьдесят восемь сотых — SO3.
"Максимальный зарегистрированный размер 71,1 см.",Максимальный зарегистрированный размер семидесяти одной целой одной десятой см.
Размножается яйцеживорождением.,Размножается яйцеживорождением.
"Максимальный зарегистрированный размер составляет 71,1 см.",Максимальный зарегистрированный размер составляет семидесяти одной целой одной десятой см.
"Тело удлинённое, его высота составляет 10,1—12,6 % от длины тела.","Тело удлинённое, его высота составляет десять целых одна десятая—двенадцать целых шесть десятых % от длины тела."
"Расстояние от кончика рыла до рта в 1,54—1,77 раз меньше ширины рта.",Расстояние от кончика рыла до рта в одну целую пятьдесят четыре сотых—одну целую семьдесят семь сотых раз меньше ширины рта.
"Первый спинной плавник крупнее второго, он имеет прямой постав, его высота достигает 6,3—7,2 % длины тела.","Первый спинной плавник крупнее второго, он имеет прямой постав, его высота достигает шесть целых три десятых—семь целых две десятых % длины тела."
"Расстояние от кончика рыла до первого спинного плавника составляет 28,9—31,3 %, а до второго — 60,2—62,7 %.","Расстояние от кончика рыла до первого спинного плавника составляет двадцать восемь целых девять десятых—тридцать одна целая три десятых %, а до второго — шестьдесят целых две десятых—шестьдесят две целых семь десятых %."
"Дистанция между спинными плавниками равна 22,3—24,7 % длины тела.",Дистанция между спинными плавниками равна двадцать две целых три десятых—двадцать четыре целых семь десятых % длины тела.
"Длина внешнего края грудных плавников невелика и составляет 7,1—7,8 % длины тела.","Длина внешнего края грудных плавников невелика и составляет 7,1—семь целых восемь десятых % длины тела."
"После столкновения с Луной «Центавра» поднялось облако пара, температура которого составляла 826,85 °C.","После столкновения с Луной «Центавра» поднялось облако пара, температура которого составляла восьмисот двадцати шести целых восьмидесяти пяти сотых °C."
Вслед за ним поднялось облако пыли.,Вслед за ним поднялось облако пыли.
"Это позволило оценить массовую долю льда в реголите примерно в 2,7—8,5 %.",Это позволило оценить массовую долю льда в реголите примерно в две целых семь десятых—восемь целых пять десятых %.
Цензоры занесли в списки 262.321 человек (по эпитоме кн.10 Т.Ливия — 272.320).,Цензоры занесли в списки двухсот шестидесяти двух целых трёхсот двадцати одной тысячной человек (по эпитоме кн.10 Т.Ливия — двести семьдесят две целых триста двадцать тысячных).
"Из них подавляющее большинство (83,7 %) относилось к бедным слоям.",Из них подавляющее большинство (восемьдесят три целых семь десятых %) относилось к бедным слоям.
"По другим данным, 61,15 % населения проголосовали за присоединение к США, 33,31 % — за придание архипелагу статуса суверенного ассоциированного государства в союзе с США, и 5,53 % проголосовали за независимость.","По другим данным, шестьдесят одна целая пятнадцать сотых % населения проголосовали за присоединение к США, тридцать три целых тридцать одна сотая % — за придание архипелагу статуса суверенного ассоциированного государства в союзе с США, и пять целых пятьдесят три сотых % проголосовали за независимость."
"Туризм является важным компонентом пуэрто-риканской экономики и приносит примерно $1,8 млрд в год.",Туризм является важным компонентом пуэрто-риканской экономики и приносит примерно $одна целая восемь десятых млрд в год.
"Эти показатели стоят на шестом месте с конца по сравнению с основной территорией США, где средний национальный уровень составляет 80,4 % и 24,4 % соответственно.","Эти показатели стоят на шестом месте с конца по сравнению с основной территорией США, где средний национальный уровень составляет восемьдесят целых четыре десятых % и двадцать четыре целых четыре десятых % соответственно."
"Средняя температура января −15,0 °С.",Средняя температура января −пятнадцать целых ноль десятых °С.
Лето умеренно-теплое.,Лето умеренно-теплое.
"Средняя температура июля +17,7 °С.",Средняя температура июля семнадцати целых семи десятых °С.
"Среднегодовая температура — 1,5 °C.",Среднегодовая температура — одна целая пять десятых °C.
"Среднегодовая температура воздуха — 4,6 °C.",Среднегодовая температура воздуха — четыре целых шесть десятых °C.
"Длина Исаковки составляет 8,4 км.",Длина Исаковки составляет восьми целых четырёх десятых км.
"Занимает площадь 60,94 км².",Занимает площадь шестидесяти целых девяноста четырёх сотых км².
"Залежи на глубине 3,1 — 3,7 км.",Залежи на глубине трёх целых одной десятой — трёх целых семи десятых км.
"Занимает площадь 0,528 км².",Занимает площадь ноля целых пятисот двадцати восьми тысячных км².
"Площадь озера — 1,2 км².",Площадь озера — одна целая две десятых км².
"Располагается на высоте 13,0 метров над уровнем моря.",Располагается на высоте тринадцати целых ноля десятых метров над уровнем моря.
"Для борьбы с муравьями используют инсектициды и отравленные приманки на основе гидраметилнона (5,5-диметилпергидропиримидин-2-он 4-трифлуорометил-α-(4-трифлуорометилстирил)циннамилиденегидразон;",Для борьбы с муравьями используют инсектициды и отравленные приманки на основе гидраметилнона (пять целых пять десятых-диметилпергидропиримидин-2-он 4-трифлуорометил-α-(4-трифлуорометилстирил)циннамилиденегидразон;
"Культурный слой на поселении достигает 1,2 — 1,3 м, имеет хорошую сохранность и большую насыщенность материалом.","Культурный слой на поселении достигает одна целая две десятых — одна целая три десятых м, имеет хорошую сохранность и большую насыщенность материалом."
"Предложение омичей, по которому Овечкин получил бы 1,8 миллионов долларов за сезон, было значительно выгодней, чем аналогичное предложение от «Динамо».","Предложение омичей, по которому Овечкин получил бы одна целая восемь десятых миллионов долларов за сезон, было значительно выгодней, чем аналогичное предложение от «Динамо»."
"Хоккеисту предложили максимально возможную для новичка зарплату — с учётом бонусов он мог бы заработать за сезон $3,85 млн.",Хоккеисту предложили максимально возможную для новичка зарплату — с учётом бонусов он мог бы заработать за сезон $три целых восемьдесят пять сотых млн.
"Но, хотя забивать стало значительно труднее, по среднему количеству забитых голов за игру (0.61) Овечкин занимает седьмое место за всю историю НХЛ.","Но, хотя забивать стало значительно труднее, по среднему количеству забитых голов за игру (ноль целых шестьдесят одну сотую) Овечкин занимает седьмое место за всю историю НХЛ."
"Его доход составил $ 14,5 млн.",Его доход составил $ четырнадцать целых пять десятых млн.
"Северо-западнее — вершина 206,7 м.",Северо-западнее — вершина двухсот шести целых семи десятых м.
"Занимает площадь 21,97 км².",Занимает площадь двадцати одной целой девяноста семи сотых км².
"К шедеврам он относит «Убийство Роджера Экройда», «Десять негритят», «Убийство в „Восточном экспрессе“», «Убийство в Месопотамии», «Смерть на Ниле», «4.50 из Паддингтона», «Отель „Бертрам“» и «Объявлено убийство».","К шедеврам он относит «Убийство Роджера Экройда», «Десять негритят», «Убийство в „Восточном экспрессе“», «Убийство в Месопотамии», «Смерть на Ниле», «четырёх целых пятидесяти сотых из Паддингтона», «Отель „Бертрам“» и «Объявлено убийство»."
"Масса Луны в 81,5 раз меньше массы Земли.",Масса Луны в восемьдесят одну целую пять десятых раз меньше массы Земли.
"Луна удаляется от Земли со скоростью примерно 3,8 сантиметра в год, длительность суток на Земле постепенно увеличивается.","Луна удаляется от Земли со скоростью примерно трёх целых восьми десятых сантиметра в год, длительность суток на Земле постепенно увеличивается."
"Этот механизм работает в течение 4,5 миллиардов лет, с тех пор, как на Земле сформировались океаны.","Этот механизм работает в течение четыре целых пять десятых миллиардов лет, с тех пор, как на Земле сформировались океаны."
"+3,814 ± 0,07 м/столетие — по радиусу орбиты",три целых восемьсот четырнадцать тысячных ± ноль целых семь сотых м/столетие — по радиусу орбиты
"+2,3 мс/столетие",две целых три десятых мс/столетие
"+1,70 ± 0,05 мс/столетие",одна целая семьдесят сотых ± ноля целых пяти сотых мс/столетие
"Что составило 85,55 % от общего количества домохозяйств владеющих телевизором.",Что составило восемьдесят пять целых пятьдесят пять сотых % от общего количества домохозяйств владеющих телевизором.
"Этот вид — один из немногих среди газелей, у которого часто (40,5 %) рождаются двойни.","Этот вид — один из немногих среди газелей, у которого часто (сорок целых пять десятых %) рождаются двойни."
"При рождении одного детёныша средний вес новорожденного — 2,99 кг, при рождении двойни — 2,85 кг.","При рождении одного детёныша средний вес новорожденного — две целых девяносто девять сотых кг, при рождении двойни — две целых восемьдесят пять сотых кг."
"Село Судановка находится в 1,5 км от левого берега реки Тритузная,","Село Судановка находится в одну целую пять десятых км от левого берега реки Тритузная,"
"Максимальная ширина пронотума у основания 1,28 мм, а у надкрылий она равна 1,71 мм.","Максимальная ширина пронотума у основания одной целой двадцати восьми сотых мм, а у надкрылий она равна одной целой семидесяти одной сотой мм."
DAEMON Tools Ultra — начиная с версии 2.2 поддерживается формат VMDK,DAEMON Tools Ultra — начиная с версии двумя целых двумя десятых поддерживается формат VMDK
"Её длина в настоящий момент составляет 335,5 км, построенный участок соединяет Тайбэй и Гаосюн.","Её длина в настоящий момент составляет трёхсот тридцати пяти целых пяти десятых км, построенный участок соединяет Тайбэй и Гаосюн."
2.31.,две целых тридцать одна сотая.
"Занимает площадь 760,36 км².",Занимает площадь семисот шестидесяти целых тридцати шести сотых км².
"Длина карапакса равна ширине и достигает 2,3 см.",Длина карапакса равна ширине и достигает двух целых трёх десятых см.
"1943,1951 — таджикские танцы",одна тысяча девятьсот сорок три целых одна тысяча девятьсот пятьдесят одна десятитысячная — таджикские танцы
"Первый компонент — жёлтый гигант спектрального класса G7IIIBa0,3.","Первый компонент — жёлтый гигант спектрального класса G7IIIBa0,3."
"Радиус — около 18,88 солнечных, светимость — около 323,05 солнечных.","Радиус — около восемнадцать целых восемьдесят восемь сотых солнечных, светимость — около триста двадцать три целых пять сотых солнечных."
"Сумма трансфера составила 1,5 млн. евро.",Сумма трансфера составила одна целая пять десятых млн. евро.
"Станция расположена в 33,8 километра от конечной станции линий Одакю — Синдзюку.",Станция расположена в тридцать три целых восемь десятых километра от конечной станции линий Одакю — Синдзюку.
Oxford Research Encyclopedia of International Studies URL:http://internationalstudies.oxfordre.com/view/10.1093/acrefore/9780190846626.001.0001/acrefore-9780190846626-e-98,Oxford Research Encyclopedia of International Studies URL:http://internationalstudies.oxfordre.com/view/10.1093/acrefore/9780190846626.001.0001/acrefore-9780190846626-e-98
"Примем наиболее употребительную сейчас величину коми — 6,5 очков.",Примем наиболее употребительную сейчас величину коми — шесть целых пять десятых очков.
"Итог: при любом способе подсчёта белые победили с перевесом в 3,5 очка.",Итог: при любом способе подсчёта белые победили с перевесом в три целых пять десятых очка.
"В настоящее время, как правило, используется нецелая величина коми (обычно 6,5 очков), чтобы исключить возможность ничейного результата в партии.","В настоящее время, как правило, используется нецелая величина коми (обычно шесть целых пять десятых очков), чтобы исключить возможность ничейного результата в партии."
"Коми в этом случае составляет 0,5 очка (то есть даётся просто для того, чтобы исключить ничью).","Коми в этом случае составляет ноль целых пять десятых очка (то есть даётся просто для того, чтобы исключить ничью)."
"Обычно фора начинается с двух камней, один камень просто соответствует первому ходу чёрных, то есть при разнице в один ранг более сильный игрок просто играет белыми без коми, либо с коми в 0,5 очка, если желательно исключить ничью.","Обычно фора начинается с двух камней, один камень просто соответствует первому ходу чёрных, то есть при разнице в один ранг более сильный игрок просто играет белыми без коми, либо с коми в ноль целых пять десятых очка, если желательно исключить ничью."
"Abaqlı, Абакълы) — исчезнувшее село в Джанкойском районе Республики Крым, располагавшееся на западе района, в степной части Крыма, примерно в 2,5 км к востоку от современного села Снегирёвка Первомайского района.","Abaqlı, Абакълы) — исчезнувшее село в Джанкойском районе Республики Крым, располагавшееся на западе района, в степной части Крыма, примерно в две целых пять десятых км к востоку от современного села Снегирёвка Первомайского района."
"Занимает площадь 1,75 км².",Занимает площадь одной целой семидесяти пяти сотых км².
"Macintosh поставлялся с самым первой версией System and Finder, известным широкой публике как «System 1.0».","Macintosh поставлялся с самым первой версией System and Finder, известным широкой публике как «System одна целая ноль десятых»."
"Высшая точка острова — гора Приморская (43,3 м).",Высшая точка острова — гора Приморская (сорок три целых три десятых м).
"Курган «Филинский II» — в 1,3 км к юго-западу от хутора.",Курган «Филинский II» — в одну целую три десятых км к юго-западу от хутора.
"Расстояние по автодороге до районного центра Бабаево — 120,3 км, до центра муниципального образования посёлка Пяжелка — 19,3 км.","Расстояние по автодороге до районного центра Бабаево — сто двадцать целых три десятых км, до центра муниципального образования посёлка Пяжелка — девятнадцать целых три десятых км."
"Разгром войска лиги был полным; ломбардцы потеряли несколько тысяч убитыми (только миланцы 2,5 тысячи), до пяти тысяч было взято в плен, в их числе Пьетро Тьеполо.","Разгром войска лиги был полным; ломбардцы потеряли несколько тысяч убитыми (только миланцы двух целых пяти десятых тысячи), до пяти тысяч было взято в плен, в их числе Пьетро Тьеполо."
"Среднегодовая температура воздуха — 4,3 °C.",Среднегодовая температура воздуха — четыре целых три десятых °C.
"Орбитальный период — около 676,85 суток.",Орбитальный период — около шестисот семидесяти шести целых восьмидесяти пяти сотых суток.
"Площадь парка составляет более 912,8 км² (из которых 421,6 км² составляют континентальные суши и более 491,2 км² — морскую часть) и включает в себя перешеек Меданос и прибрежную пустыню, включающую также солончаки.","Площадь парка составляет более девятисот двенадцати целых восьми десятых км² (из которых четырёхсот двадцати одной целой шести десятых км² составляют континентальные суши и более четырёхсот девяноста одной целой двух десятых км² — морскую часть) и включает в себя перешеек Меданос и прибрежную пустыню, включающую также солончаки."
"Среднегодовая температура воздуха — 4,4 °С.",Среднегодовая температура воздуха — четыре целых четыре десятых °С.
"Для кондитерских изделий дозировка составляет от 0,03 г/кг до 0,5 г/кг.",Для кондитерских изделий дозировка составляет от ноля целых трёх сотых г/кг до ноля целых пяти десятых г/кг.
"Хуэ Расход воды — 60,6 м³/с",Хуэ Расход воды — шестьдесят целых шесть десятых м³/с
"Общая заболоченность бассейна около 7,4 %.",Общая заболоченность бассейна около семь целых четыре десятых %.
"Речная сеть хорошо развита в верхней части бассейна, где коэффициент её густоты достигает 0,9-1,0 км/км², в пределах Даубихинской впадины его величина уменьшается до 0,6-0,7 км/км².","Речная сеть хорошо развита в верхней части бассейна, где коэффициент её густоты достигает ноль целых девять десятых-одна целая ноль десятых км/км², в пределах Даубихинской впадины его величина уменьшается до ноля целых шести десятых-ноля целых семи десятых км/км²."
"Среднегодовая температура — 1,5 °C.",Среднегодовая температура — одна целая пять десятых °C.
"Занимает площадь 0,015 км².",Занимает площадь ноля целых пятнадцати тысячных км².
"Площадь бассейна реки составляет 4,771 км².",Площадь бассейна реки составляет четырёх целых семисот семидесяти одной тысячной км².
"Общая длина реки 3,957 км.",Общая длина реки трёх целых девятисот пятидесяти семи тысячных км.
"(96,7 %),","(девяносто шесть целых семь десятых %),"
"(1,1 %),","(одна целая одна десятая %),"
"(2,2 %).",(две целых две десятых %).
"(98,9 %),","(девяносто восемь целых девять десятых %),"
"(0,6 %),","(ноль целых шесть десятых %),"
"(0,5 %).",(ноль целых пять десятых %).
Удельный вес — 3.28—3.46.,Удельный вес — три целых двадцать восемь сотых—три целых сорок шесть сотых.
"Состав: до 13,4 % ВеО и 51,4 % FeO, а также Mn, Zn, Аl до 4,2 %.","Состав: до тринадцать целых четыре десятых % ВеО и пятьдесят одна целая четыре десятых % FeO, а также Mn, Zn, Аl до четыре целых две десятых %."
"Площадь острова — 8,28 км2.",Площадь острова — восемь целых двадцать восемь сотых км2.
"На острове организован заказник «Папа-Стаур» площадью 5,69 км2.",На острове организован заказник «Папа-Стаур» площадью пяти целых шестидесяти девяти сотых км2.
"По ходу сезона Эдуардо одержал три победы при семи поражениях и показателе пропускаемости ERA 4,79.",По ходу сезона Эдуардо одержал три победы при семи поражениях и показателе пропускаемости ERA четырёх целых семидесяти девяти сотых.
"Восстановившись к началу чемпионата, Эдуардо сильно провёл начало сезона, в двенадцати играх одержав семь побед при одном поражении с ERA 3,68, а его команда выиграла одиннадцать из этих матчей.","Восстановившись к началу чемпионата, Эдуардо сильно провёл начало сезона, в двенадцати играх одержав семь побед при одном поражении с ERA три целых шестьдесят восемь сотых, а его команда выиграла одиннадцать из этих матчей."
"Занимает площадь 1,149 км².",Занимает площадь одной целой сто сорока девяти тысячных км².
"Четырёхугольное фланкирующее сооружение высотой 12,5 м имело три этажа и основание трапециевидной формы.",Четырёхугольное фланкирующее сооружение высотой двенадцати целых пяти десятых м имело три этажа и основание трапециевидной формы.
"Стоимость её реконструкция составила почти 1,2 миллиона евро.",Стоимость её реконструкция составила почти одна целая две десятых миллиона евро.
"Село Нове Життя находится в 1,5 км от левого берега реки Клевень и в 1,5 км от правого берега реки Берюшка.",Село Нове Життя находится в одну целую пять десятых км от левого берега реки Клевень и в одну целую пять десятых км от правого берега реки Берюшка.
"На расстоянии в 1,5 км расположены сёла Ховзовка, Руднево и  Шулешовка.","На расстоянии в одну целую пять десятых км расположены сёла Ховзовка, Руднево и  Шулешовка."
