q,a
"{\displaystyle f_{j}(\lambda _{1},\lambda _{2},...,\lambda _{j-1}),j\in \left\{2,3,...,k\right\}}","{\displaystyle f_{j}(\lambda _{1},\lambda _{2},...,\lambda _{j-1}),j\in \left\{2,3,...,k\right\}}"
"{\displaystyle j\in \left\{2,3,...,k\right\}}","{\displaystyle j\in \left\{2,3,...,k\right\}}"
"Занимает площадь 17,27 км².",Занимает площадь семнадцати целых двадцати семи сотых км².
"После премьеры фильма были показаны два спецвыпуска о Брауне и Хьюстон, которые собрали 4,1 и 3,2 миллиона соответственно.","После премьеры фильма были показаны два спецвыпуска о Брауне и Хьюстон, которые собрали четыре целых одна десятая и три целых две десятых миллиона соответственно."
"Среднегодовая температура воздуха — 4,2 °C.",Среднегодовая температура воздуха — четыре целых две десятых °C.
"Среднегодовая скорость ветра — 4,5 м/с, варьирует от 5,3 м/с в ноябре до 3,4 м/с в августе.","Среднегодовая скорость ветра — четыре целых пять десятых м/с, варьирует от пяти целых трёх десятых м/с в ноябре до трёх целых четырёх десятых м/с в августе."
"Среднегодовая температура воздуха составляет −1,4 °С.",Среднегодовая температура воздуха составляет −одна целая четыре десятых °С.
"Абсолютный максимум температуры воздуха — 39,2 °С; абсолютный минимум — −45,5 °С.",Абсолютный максимум температуры воздуха — тридцать девять целых две десятых °С; абсолютный минимум — −сорок пять целых пять десятых °С.
"Среднегодовая температура воздуха — +3,6 °C.",Среднегодовая температура воздуха — три целых шесть десятых °C.
"Среднегодовая скорость ветра — 3,6 м/с.",Среднегодовая скорость ветра — три целых шесть десятых м/с.
Позже Т-26Ф.,Позже Т-26Ф.
"Занимает площадь 72,71 км².",Занимает площадь семидесяти двух целых семидесяти одной сотой км².
"Занимает площадь 629,108 км².",Занимает площадь шестисот двадцати девяти целых сто восьми тысячных км².
"Плотность населения — 105,4 чел./км².",Плотность населения — сто пять целых четыре десятых чел./км².
"Площадь территории относящейся к селу — 52,832 км².",Площадь территории относящейся к селу — пятьдесят две целых восемьсот тридцать две тысячных км².
"Альбом был продан тиражом более 1,1 миллиона копий и получил платиновый сертификат Американской ассоциации звукозаписывающей индустрии (RIAA).",Альбом был продан тиражом более одна целая одна десятая миллиона копий и получил платиновый сертификат Американской ассоциации звукозаписывающей индустрии (RIAA).
"Выборы выиграла крупнейшая оппозиционная партия «Право и справедливость» с долей 37,6 % голосов, тогда как правящая «Гражданская платформа» набрала 24,1% голосов.","Выборы выиграла крупнейшая оппозиционная партия «Право и справедливость» с долей тридцать семь целых шесть десятых % голосов, тогда как правящая «Гражданская платформа» набрала двадцать четыре целых одна десятая% голосов."
"Средняя температура января −8,5 °C, средняя температура июля +18,5 °C.","Средняя температура января −восемь целых пять десятых °C, средняя температура июля +1восемь целых пять десятых °C."
"Среднегодовая температура воздуха составляет +4,6 °C.",Среднегодовая температура воздуха составляет четыре целых шесть десятых °C.
"сельское хозяйство — 1,0 %",сельское хозяйство — одна целая ноль десятых %
"промышленность — 14,8 %",промышленность — четырнадцать целых восемь десятых %
"строительство — 5,3 %",строительство — пять целых три десятых %
"торговля, транспорт и сфера услуг — 45,7 %","торговля, транспорт и сфера услуг — сорок пять целых семь десятых %"
"Он вновь стал самым большим в классе D. Благодаря опционному складывающимся переднему пассажирскому креслу, в салоне можно укладывать по диагонали предметы длиной до 3,1 м.","Он вновь стал самым большим в классе D. Благодаря опционному складывающимся переднему пассажирскому креслу, в салоне можно укладывать по диагонали предметы длиной до трёх целых одной десятой м."
"Площадь поверхности 3,72 км².",Площадь поверхности три целых семьдесят две сотых км².
"Наибольшая глубина 12,2 м, средняя — 4,8 м.","Наибольшая глубина двенадцати целых двух десятых м, средняя — четыре целых восемь десятых м."
"Объём воды 17,8 млн м³.",Объём воды семнадцать целых восемь десятых млн м³.
"Это на 1,9 млрд больше, чем на прошлых выборах.","Это на одной целой девяти десятых млрд больше, чем на прошлых выборах."
"Из них на организацию видеонаблюдения ушло 2,7 млрд рублей.",Из них на организацию видеонаблюдения ушло две целых семь десятых млрд рублей.
Жириновский намеревался подать заявление на оппонентку за «мелкое хулиганство» (ст. 20.1 КоАП РФ).,Жириновский намеревался подать заявление на оппонентку за «мелкое хулиганство» (ст. двадцать целых одна десятая КоАП РФ).
"Всего в ходе кампании собралось около 1,6 млн подписей.",Всего в ходе кампании собралось около одной целой шести десятых млн подписей.
"От общего количества избирателей, включённых в списки, он по официальным данным получил 51,77 % голосов.","От общего количества избирателей, включённых в списки, он по официальным данным получил пятьдесят одна целая семьдесят семь сотых % голосов."
"Явка избирателей по регионам РФ составила от 55,70 % (Иркутская область) до 93,66 % (Тыва), за рубежом России явка составила 98,07 %.","Явка избирателей по регионам РФ составила от пятьдесят пять целых семьдесят сотых % (Иркутская область) до девяносто три целых шестьдесят шесть сотых % (Тыва), за рубежом России явка составила девяносто восемь целых семь сотых %."
"Его результат колебался от 64,38 % (Якутия) до 93,38 % (Кабардино-Балкария).",Его результат колебался от шестьдесят четыре целых тридцать восемь сотых % (Якутия) до девяносто три целых тридцать восемь сотых % (Кабардино-Балкария).
"Его результат колебался от 2,20 % (Республика Крым) до 27,25 % (Якутия).",Его результат колебался от две целых двадцать сотых % (Республика Крым) до двадцать семь целых двадцать пять сотых % (Якутия).
"Его результат в регионах колебался от 0,25 % (Чечня) до 10,24 % (Республика Коми).",Его результат в регионах колебался от ноль целых двадцать пять сотых % (Чечня) до десять целых двадцать четыре сотых % (Республика Коми).
"Её результат колебался от 0,22 % (Северная Осетия) до 4,33 % (Санкт-Петербург).",Её результат колебался от ноль целых двадцать две сотых % (Северная Осетия) до четыре целых тридцать три сотых % (Санкт-Петербург).
"Показатель недействительных бюллетеней по стране колебался от 0,13 % (Кабардино-Балкария) до 1,72 % (Сахалинская область).",Показатель недействительных бюллетеней по стране колебался от ноль целых тринадцать сотых % (Кабардино-Балкария) до одна целая семьдесят две сотых % (Сахалинская область).
Карты результатов кандидатов по субъектам федерации,Карты результатов кандидатов по субъектам федерации
"Там он получил 61,10 %, в то время как Путин — 33,69 % голосов.","Там он получил шестьдесят одна целая десять сотых %, в то время как Путин — тридцать три целых шестьдесят девять сотых % голосов."
"Поправки к Конституции была одобрены 59,4% голосов избирателей и большинством кантонов.",Поправки к Конституции была одобрены пятьдесят девять целых четыре десятых% голосов избирателей и большинством кантонов.
"Устье реки находится в 0,3 км по правому берегу реки Ямозерская.",Устье реки находится в ноль целых три десятых км по правому берегу реки Ямозерская.
"Занимает площадь 237,195 км².",Занимает площадь двухсот тридцати семи целых сто девяноста пяти тысячных км².
"Плотность населения — 16,8 чел./км².",Плотность населения — шестнадцать целых восемь десятых чел./км².
"NX Водолея — жёлтый карлик, вращающаяся переменная звезда типа BY Дракона (BY:) спектрального класса G5V или G5IV-V.","NX Водолея — жёлтый карлик, вращающаяся переменная звезда типа BY Дракона (BY:) спектрального класса G5V или G5IV-V."
"Радиус — около 0,87 солнечного, светимость — около 0,734 солнечной.","Радиус — около ноль целых восемьдесят семь сотых солнечного, светимость — около ноля целых семисот тридцати четырёх тысячных солнечной."
Протяжённость — 1.2 километра.,Протяжённость — одна целая две десятых километра.
"Среднегодовая температура воздуха — от 1,5 до 2,0 °С.",Среднегодовая температура воздуха — от одна целая пять десятых до двух целых ноля десятых °С.
"Поля были по гористой местности, до 2,5 вёрст от селения.","Поля были по гористой местности, до двух целых пяти десятых вёрст от селения."
"Посевная площадь составляла 357,31 десятины, из неё 171,74 десятины занимала рожь, 79,62 — овёс, 32,98 — просо, 31,25 — греча, 23,35 — горох, 15,25 — пшеница, остальные культуры (полба и конопля) занимали 3,12 десятины.","Посевная площадь составляла триста пятьдесят семь целых тридцать одна сотая десятины, из неё сто семьдесят одна целая семьдесят четыре сотых десятины занимала рожь, семьдесят девять целых шестьдесят две сотых — овёс, тридцать две целых девяносто восемь сотых — просо, тридцать одна целая двадцать пять сотых — греча, двадцать три целых тридцать пять сотых — горох, пятнадцать целых двадцать пять сотых — пшеница, остальные культуры (полба и конопля) занимали три целых двенадцать сотых десятины."
"Село электрифицировано и газифицировано, есть водопровод (протяжённость сетей — 0,60 км), магазин и кладбище.","Село электрифицировано и газифицировано, есть водопровод (протяжённость сетей — ноль целых шестьдесят сотых км), магазин и кладбище."
"В селе одна улица — Центральная, протяжённость улично-дорожной сети составляет 1,46 км.","В селе одна улица — Центральная, протяжённость улично-дорожной сети составляет одной целой сорока шести сотых км."
"Чайко, Александр Юрьевич, гвардии полковник — (11.2007 — 05.2009);","Чайко, Александр Юрьевич, гвардии полковник — (одиннадцать целых две тысяча семь десятитысячных — пять целых две тысяча девять десятитысячных);"
"Пятаев, Андрей Юрьевич, гвардии генерал-майор — (09.2015 — 01.2018);","Пятаев, Андрей Юрьевич, гвардии генерал-майор — (девять целых две тысяча пятнадцать десятитысячных — одна целая две тысяча восемнадцать десятитысячных);"
"Никитин Евгений Валентинович, гвардии генерал-майор — (01.2018 — 07.2020).","Никитин Евгений Валентинович, гвардии генерал-майор — (одна целая две тысяча восемнадцать десятитысячных — семь целых две тысяча двадцать десятитысячных)."
"Медведев Сергей Викторович, гвардии полковник — (07.2020 — н.в.)","Медведев Сергей Викторович, гвардии полковник — (семь целых две тысяча двадцать десятитысячных — н.в.)"
"Занимает площадь 340,338 км².",Занимает площадь трёхсот сорока целых трёхсот тридцати восьми тысячных км².
"Плотность населения — 27,8 чел./км².",Плотность населения — двадцать семь целых восемь десятых чел./км².
"Занимает площадь 11,98 км².",Занимает площадь одиннадцати целых девяноста восьми сотых км².
"Плотность населения — 98,13 чел/кв.км.",Плотность населения — девяносто восемь целых тринадцать сотых чел/кв.км.
"Занимает площадь 4,61 км².",Занимает площадь четырёх целых шестидесяти одной сотой км².
Прошивка содержит в себе ОС Android версии 4.4 KitKat.,Прошивка содержит в себе ОС Android версии четырёх целых четырёх десятых KitKat.
"словаки — 97,05 %",словаки — девяносто семь целых пять сотых %
"украинцы — 0,92 %",украинцы — ноль целых девяносто две сотых %
"русины — 0,55 %",русины — ноль целых пятьдесят пять сотых %
"римо-католики — 89,50 %",римо-католики — восемьдесят девять целых пятьдесят сотых %
"греко-католики — 6,45 %",греко-католики — шесть целых сорок пять сотых %
"православные — 0,37 %",православные — ноль целых тридцать семь сотых %
"протестанты — 0,18 %",протестанты — ноль целых восемнадцать сотых %
"не считают себя верующими или не принадлежат к одной вышеупомянутой конфессии — 3,50 %",не считают себя верующими или не принадлежат к одной вышеупомянутой конфессии — три целых пятьдесят сотых %
(CC BY-SA 3.0),(CC BY-SA три целых ноль десятых)
"Высота над уровнем моря — 331,4 м.",Высота над уровнем моря — триста тридцать одна целая четыре десятых м.
"Площадь — 4,76 (по другим данным — 4,56) км².",Площадь — четыре целых семьдесят шесть сотых (по другим данным — четыре целых пятьдесят шесть сотых) км².
"Среднегодовая температура воздуха — 4,7 — 4,9 °C.",Среднегодовая температура воздуха — четыре целых семь десятых — четыре целых девять десятых °C.
"6,3 км: река Чальца (пр)",шесть целых три десятых км: река Чальца (пр)
"Ширина корпуса обычно не превышала 3,2 метра, высота в носовой части — 1,4 метра, а высота по центру — 1,2 метра.","Ширина корпуса обычно не превышала три целых две десятых метра, высота в носовой части — одна целая четыре десятых метра, а высота по центру — одна целая две десятых метра."
"параметры ячейки a = 0,9593 нм, Z = 14,5,","параметры ячейки a = ноля целых девяти тысяч пятисот девяноста трёх десятитысячных нм, Z = четырнадцать целых пять десятых,"
"Скульптура высотой в 2,5 метра была отлита на Каслинском заводе архитектурно-художественного литья.",Скульптура высотой в две целых пять десятых метра была отлита на Каслинском заводе архитектурно-художественного литья.
"Длина: 22,94 м",Длина: двадцать две целых девяносто четыре сотых м
"Размах крыла: 32,54 м",Размах крыла: тридцать две целых пятьдесят четыре сотых м
"Площадь крыла: 112,00 м²",Площадь крыла: сто двенадцать целых ноль сотых м²
"По другим данным — 24,5 тыс. человек.",По другим данным — двадцать четыре целых пять десятых тыс. человек.
"Под общим командованием Айгустова находилось 3,8 тыс. человек.",Под общим командованием Айгустова находилось три целых восемь десятых тыс. человек.
"Участие 2,6 тысяч вооружённых горожан Полтавы в отражении осады не подтверждается ни русскими, ни шведскими источниками и также, скорее всего, является плодом фантазии Крёкшина.","Участие две целых шесть десятых тысяч вооружённых горожан Полтавы в отражении осады не подтверждается ни русскими, ни шведскими источниками и также, скорее всего, является плодом фантазии Крёкшина."
По пути (расстояние составляло примерно 3.5 км) все дети погибли от отравления.,По пути (расстояние составляло примерно трёх целых пяти десятых км) все дети погибли от отравления.
"Масса звезды равна 1,21 солнечной, а радиус — 1,22 солнечного.","Масса звезды равна одна целая двадцать одна сотая солнечной, а радиус — одна целая двадцать две сотых солнечного."
"Её масса и радиус равны 6,8 и 0,38 юпитерианских.",Её масса и радиус равны шесть целых восемь десятых и ноль целых тридцать восемь сотых юпитерианских.
"Вдоль берега Днепра предусмотрен пляж протяжённостью 1,5 км.",Вдоль берега Днепра предусмотрен пляж протяжённостью одной целой пяти десятых км.
"Мощность станции по электричеству — 2,5 МВт, по теплу — 16,4 Гкал/час.","Мощность станции по электричеству — две целых пять десятых МВт, по теплу — шестнадцать целых четыре десятых Гкал/час."
"Средняя многолетняя температура самого холодного месяца (января) составляет −15,3 — −14,7 °С, температура самого тёплого (июля) — 17,4 — 18,2 °С.","Средняя многолетняя температура самого холодного месяца (января) составляет −пятнадцать целых три десятых — −четырнадцать целых семь десятых °С, температура самого тёплого (июля) — семнадцать целых четыре десятых — восемнадцать целых две десятых °С."
Звук составлен в формате 5.1 surround sound.,Звук составлен в формате 5.1 surround sound.
"Площадь составляет 1380,82 км².",Площадь составляет одной тысячи трёхсот восьмидесяти целых восьмидесяти двух сотых км².
"Плотность населения — 66,66 чел./км².",Плотность населения — шестьдесят шесть целых шестьдесят шесть сотых чел./км².
"Средний возраст населения составляет 18,9 лет.",Средний возраст населения составляет восемнадцати целых девяти десятых лет.
"Для сравнения, в среднем по стране этот показатель составляет 6,99 детей.","Для сравнения, в среднем по стране этот показатель составляет шести целых девяноста девяти сотых детей."
"37,5 % населения владеют языком тетум (включая тех, для которых он является вторым и третьим языками);","тридцать семь целых пять десятых % населения владеют языком тетум (включая тех, для которых он является вторым и третьим языками);"
"31,0 % владеют индонезийским и 10,7 % — португальским.",тридцать одна целая ноль десятых % владеют индонезийским и десять целых семь десятых % — португальским.
"64,1 % населения неграмотны (68,1 % женщин и 60,0 % мужчин).",шестьдесят четыре целых одна десятая % населения неграмотны (шестьдесят восемь целых одна десятая % женщин и шестьдесят целых ноль десятых % мужчин).
"0,2 % — приверженцы традиционных анимистических верований;",ноль целых две десятых % — приверженцы традиционных анимистических верований;
"0,1 % — протестанты и 0,2 % — мусульмане.",ноль целых одна десятая % — протестанты и ноль целых две десятых % — мусульмане.
"Плотность населения — 18,52 чел./км².",Плотность населения — восемнадцать целых пятьдесят две сотых чел./км².
"Среднегодовая многолетняя температура воздуха составляет 5,5 °С.",Среднегодовая многолетняя температура воздуха составляет пять целых пять десятых °С.
(Яджурведа 26.2),(Яджурведа двадцать шесть целых две десятых)
(Шантипарва 329.44),(Шантипарва триста двадцать девять целых сорок четыре сотых)
(Шантипарва 240.34),(Шантипарва двести сорок целых тридцать четыре сотых)
(Ману-смрити 2.20),(Ману-смрити две целых двадцать сотых)
"Занимает площадь 99,6 км².",Занимает площадь девяноста девяти целых шести десятых км².
"Средняя температура января: −11,6 °C, июля: +16,5 °C.","Средняя температура января: −одиннадцать целых шесть десятых °C, июля: шестнадцать целых пять десятых °C."
"Среднегодовая температура: +1,9 °C.",Среднегодовая температура: одна целая девять десятых °C.
"Гендерный составМужчин — 45,0 %, женщин — 55,0 %.","Гендерный составМужчин — сорок пять целых ноль десятых %, женщин — пятьдесят пять целых ноль десятых %."
"Всего весь проект оценивается в 2,8 млрд руб.",Всего весь проект оценивается в две целых восемь десятых млрд руб.
"87,9 FM — (ПЛАН) Радио За Облаками",восемьдесят семь целых девять десятых FM — (ПЛАН) Радио За Облаками
"89,6 FM — Радио Русский Хит",восемьдесят девять целых шесть десятых FM — Радио Русский Хит
