q,a
"Средняя плотность населения — 3,9 чел./км².",Средняя плотность населения — три целых девять десятых чел./км².
"Занимает площадь 43,29 км².",Занимает площадь сорока трёх целых двадцати девяти сотых км².
"Мономорфные, длина головы рабочих от 1,11 до 1,24 мм, ширина HW от 0,97 до 1,13 мм, длина скапуса усиков SL 0,84 мм до 0,95 мм.","Мономорфные, длина головы рабочих от одной целой одиннадцати сотых до одной целой двадцати четырёх сотых мм, ширина HW от ноля целых девяноста семи сотых до одной целой тринадцати сотых мм, длина скапуса усиков SL ноля целых восьмидесяти четырёх сотых мм до ноля целых девяноста пяти сотых мм."
"Имеют выпуклый клипеус, недоразвитый псаммофор, гладкий верх петиоля и постпетиоля, формула щупиков 5,4.","Имеют выпуклый клипеус, недоразвитый псаммофор, гладкий верх петиоля и постпетиоля, формула щупиков пяти целых четырёх десятых."
"Среднегодовая температура положительная и составляет + 7,1 С, средняя температура самого холодного месяца января -9,6 С, самого жаркого месяца июля +23,1 С.","Среднегодовая температура положительная и составляет + семь целых одна десятая С, средняя температура самого холодного месяца января -девять целых шесть десятых С, самого жаркого месяца июля двадцать три целых одна десятая С."
"Энтальпия плавления ΔHпл: 5,69 кДж/моль",Энтальпия плавления ΔHпл: пять целых шестьдесят девять сотых кДж/моль
"Энтальпия кипения ΔHкип: 29,1 кДж/моль",Энтальпия кипения ΔHкип: двадцать девять целых одна десятая кДж/моль
"Теплота сгорания Qp: 1829,4 кДж/моль",Теплота сгорания Qp: одна тысяча восемьсот двадцать девять целых четыре десятых кДж/моль
"Критическое давление: 4,7 МПа",Критическое давление: четыре целых семь десятых МПа
"Критическая плотность: 0,273 г/см3",Критическая плотность: ноль целых двести семьдесят три тысячных г/см3
"Пределы взрывоопасных концентраций: 2,6-12,8 %Прочие свойства:",Пределы взрывоопасных концентраций: две целых шесть десятых-двенадцать целых восемь десятых %Прочие свойства:
"Предел обнаружения — 0,1 мг ацетона в пробе.",Предел обнаружения — ноль целых одна десятая мг ацетона в пробе.
"По предварительным данным прокатчиков, в премьерный день кинолента режиссёра Феликса Фуксштайнера заработала в России 2,5 миллионов рублей (81,64 тысяч долларов) и заняла седьмое место в прокатном рейтинге этого уик-энда.","По предварительным данным прокатчиков, в премьерный день кинолента режиссёра Феликса Фуксштайнера заработала в России две целых пять десятых миллионов рублей (восемьдесят одна целая шестьдесят четыре сотых тысяч долларов) и заняла седьмое место в прокатном рейтинге этого уик-энда."
"Площадь зеркала водохранилища — 3,3 км², длина — 3,5 км, ширина: максимальная — 1,5 км, средняя — 0,96 км.","Площадь зеркала водохранилища — три целых три десятых км², длина — три целых пять десятых км, ширина: максимальная — одна целая пять десятых км, средняя — ноль целых девяносто шесть сотых км."
"Средняя глубина — 0,7 метра.",Средняя глубина — ноль целых семь десятых метра.
"Объем полный — 2,1 млн м³.",Объем полный — две целых одна десятая млн м³.
"Разность отметок нормального подпорного уровня (НПУ) и уровня минимального объёма (УМО) — 0,4 метра.",Разность отметок нормального подпорного уровня (НПУ) и уровня минимального объёма (УМО) — ноль целых четыре десятых метра.
"Средний годовой сток за многолетний период 6,6 млн м³, в том числе в половодье (с марта по май) 3,3 млн м³.","Средний годовой сток за многолетний период шесть целых шесть десятых млн м³, в том числе в половодье (с марта по май) три целых три десятых млн м³."
"Если счёт также ничейный, победитель определяется в серии пенальти без проведения дополнительного времени (Статья 12.7 регламента);","Если счёт также ничейный, победитель определяется в серии пенальти без проведения дополнительного времени (Статья двенадцать целых семь десятых регламента);"
"В случае если по окончании дополнительного времени счёт всё ещё ничейный, победитель определяется в серии пенальти (Статья 12.8 регламента).","В случае если по окончании дополнительного времени счёт всё ещё ничейный, победитель определяется в серии пенальти (Статья двенадцать целых восемь десятых регламента)."
В галактике вспыхнула сверхновая SN 1961L.,В галактике вспыхнула сверхновая SN 1961L.
"Её пиковая видимая звёздная величина составила 17,5",Её пиковая видимая звёздная величина составила семнадцать целых пять десятых
"Её длина составляет 1,18 км.",Её длина составляет одной целой восемнадцати сотых км.
"Плотность населения составляла 4,47 чел./км².",Плотность населения составляла четырёх целых сорока семи сотых чел./км².
плотность населения — 97.42 чел./км²;,плотность населения — девяносто семь целых сорок две сотых чел./км²;
"По площади водосбора к месту слияния рек больше Волга (658,9 тыс. км² против 536,9 тыс. км²).",По площади водосбора к месту слияния рек больше Волга (шестьсот пятьдесят восемь целых девять десятых тыс. км² против пятьсот тридцать шесть целых девять десятых тыс. км²).
"Однако на этой территории Волга объединяет меньшее количество рек и уступает Камскому бассейну (66,5 тыс. рек против 73,7 тыс.).",Однако на этой территории Волга объединяет меньшее количество рек и уступает Камскому бассейну (шестьдесят шесть целых пять десятых тыс. рек против семьдесят три целых семь десятых тыс.).
"Скульптура высотой 17,4 метра установлена на входе в шлюзы со стороны Рыбинского водохранилища и приветствует проходящие мимо корабли.",Скульптура высотой семнадцати целых четырёх десятых метра установлена на входе в шлюзы со стороны Рыбинского водохранилища и приветствует проходящие мимо корабли.
"Zeitschrift für Allgemeine Erdkunde 15,551",Zeitschrift für Allgemeine Erdkunde пятнадцать целых пятьсот пятьдесят одна тысячная
"Zeitschrift für Allgemeine Erdkunde 16,463",Zeitschrift für Allgemeine Erdkunde шестнадцать целых четыреста шестьдесят три тысячных
"Jahrbücher der Deutschen Malakozoologischen Gesellschaft 1,56",Jahrbücher der Deutschen Malakozoologischen Gesellschaft одна целая пятьдесят шесть сотых
"Malakozoologische Blätter 21,122",Malakozoologische Blätter двадцать одна целая сто двадцать две тысячных
"Malakozoologische Blätter 21,157",Malakozoologische Blätter двадцать одна целая сто пятьдесят семь тысячных
"Jahrbücher der Deutschen Malakozoologischen Gesellschaft 2,136",Jahrbücher der Deutschen Malakozoologischen Gesellschaft две целых сто тридцать шесть тысячных
"Jahrbücher der Deutschen Malakozoologischen Gesellschaft 2,214",Jahrbücher der Deutschen Malakozoologischen Gesellschaft две целых двести четырнадцать тысячных
"Jahrbücher der Deutschen Malakozoologischen Gesellschaft 4,368",Jahrbücher der Deutschen Malakozoologischen Gesellschaft четыре целых триста шестьдесят восемь тысячных
"1,72",одна целая семьдесят две сотых
"Conchologische Mittheilungen 3,10",Conchologische Mittheilungen три целых десять сотых
"Nachrichtenblatt der Deutschen Malakozoologischen Gesellschaft 32,187",Nachrichtenblatt der Deutschen Malakozoologischen Gesellschaft тридцать две целых сто восемьдесят семь тысячных
"Площадь 46,63 тыс. км².",Площадь сорок шесть целых шестьдесят три сотых тыс. км².
"Занимает площадь 24,1 км².",Занимает площадь двадцати четырёх целых одной десятой км².
"Занимает площадь 0,648 км².",Занимает площадь ноля целых шестисот сорока восьми тысячных км².
"Исток в 2,5 км к северу от деревни Старая Казанковка.",Исток в две целых пять десятых км к северу от деревни Старая Казанковка.
"Занимает площадь 40,81 км².",Занимает площадь сорока целых восьмидесяти одной сотой км².
"Принятые депозиты составили 2,46 трлн батов.",Принятые депозиты составили две целых сорок шесть сотых трлн батов.
"Занимает площадь 3,03 км².",Занимает площадь трёх целых трёх сотых км².
Сергеев С. Загадочный метеорит из ЦК // «Известия» 30.11.2006,Сергеев С. Загадочный метеорит из ЦК // «Известия» 30.11.2006
"Протяжённость этого подъёма по сравнению с предыдущими годами организаторы увеличили на 1,8 км и она составила 7,5 км со средним градиентом 10,7 %.",Протяжённость этого подъёма по сравнению с предыдущими годами организаторы увеличили на одной целой восьми десятых км и она составила семи целых пяти десятых км со средним градиентом десять целых семь десятых %.
"Пыльцепродуктивность одной сережки 6,2—10,1 мг.",Пыльцепродуктивность одной сережки шесть целых две десятых—десять целых одна десятая мг.
"Бело-голубая звезда, слабо видна невооружённым глазом, обладает видимой звёздной величиной около 4,22.","Бело-голубая звезда, слабо видна невооружённым глазом, обладает видимой звёздной величиной около четырёх целых двадцати двух сотых."
"Представляет собой переменную звезду типа Гаммы Кассиопеи или оболочечную звезду, которая в какой-то момент увеличила блеск до 4,0.","Представляет собой переменную звезду типа Гаммы Кассиопеи или оболочечную звезду, которая в какой-то момент увеличила блеск до четырёх целых ноля десятых."
"Среднегодовая многолетняя температура воздуха составляет 4,7 — 6,3 °С.",Среднегодовая многолетняя температура воздуха составляет четыре целых семь десятых — шесть целых три десятых °С.
"Моррис несколько раз толкнула Ле Кама, прежде чем он бросился на неё, достала револьвер калибра 7,65 мм и произвела четыре выстрела, первые два — в воздух, следующие два — в Ле Кама.","Моррис несколько раз толкнула Ле Кама, прежде чем он бросился на неё, достала револьвер калибра семи целых шестидесяти пяти сотых мм и произвела четыре выстрела, первые два — в воздух, следующие два — в Ле Кама."
"Занимает площадь 14,06 км².",Занимает площадь четырнадцати целых шести сотых км².
"Наибольшая длина озера — 2,8 км, наибольшая ширина — 2,5 км.","Наибольшая длина озера — две целых восемь десятых км, наибольшая ширина — две целых пять десятых км."
"Длина береговой линии составляет 8,2 км, развитие береговой линии — 1,01.","Длина береговой линии составляет восьми целых двух десятых км, развитие береговой линии — одна целая одна сотая."
"Озеро расположено на высоте 187,2 м над уровнем моря.",Озеро расположено на высоте сто восьмидесяти семи целых двух десятых м над уровнем моря.
"Максимальная глубина — 2,2 м, объём водной массы — 8,2 млн м³, общая площадь водосбора — 36,2 км².","Максимальная глубина — две целых две десятых м, объём водной массы — восемь целых две десятых млн м³, общая площадь водосбора — тридцать шесть целых две десятых км²."
"55.704413, 37.503361","пятьдесят пять целых семьсот четыре тысяча четыреста тринадцать миллионных, тридцать семь целых пятьсот три тысяча триста шестьдесят одна миллионная"
"Занимает площадь 8,81 км².",Занимает площадь восьми целых восьмидесяти одной сотой км².
"ниже по течению на расстоянии в 2,5 км расположено село Червоное.",ниже по течению на расстоянии в две целых пять десятых км расположено село Червоное.
"Среднегодовая температура — 4,7 — 5,7 °C.",Среднегодовая температура — четыре целых семь десятых — пять целых семь десятых °C.
"Кроме этого, в состав обхода естественным образом вошёл начальный участок дороги Челябинск—Екатеринбург длиной 4,4 км.","Кроме этого, в состав обхода естественным образом вошёл начальный участок дороги Челябинск—Екатеринбург длиной четырёх целых четырёх десятых км."
"На этом этапе в состав обхода естественным образом вошёл также и участок автотрассы М36 длиной 4,5 км.",На этом этапе в состав обхода естественным образом вошёл также и участок автотрассы М36 длиной четырёх целых пяти десятых км.
"Суммарная длина автодороги достигла 151,5 км.",Суммарная длина автодороги достигла сто пятидесяти одной целой пяти десятых км.
"Длина стопы 7,8 см (3,1 дюйма), а уха 4,6 см (1,8 дюйма).","Длина стопы семь целых восемь десятых см (три целых одна десятая дюйма), а уха четыре целых шесть десятых см (одна целая восемь десятых дюйма)."
"Ширина полосок 2,2 мм.",Ширина полосок двух целых двух десятых мм.
"Расстояние между полосками 2,2 мм.",Расстояние между полосками двух целых двух десятых мм.
"Занимает площадь 152,97 км².",Занимает площадь сто пятидесяти двух целых девяноста семи сотых км².
"Броневой пояс простирался по всей длине ватерлинии и состоял из сталежелезных плит высотой 2,59 м; по проекту над водой он возвышался на 1,06 м.",Броневой пояс простирался по всей длине ватерлинии и состоял из сталежелезных плит высотой двух целых пятидесяти девяти сотых м; по проекту над водой он возвышался на одной целой шести сотых м.
"Люки бронепалубы закрывались железными бронекрышками толщиной 63,5 мм, а по периметру этих люков были сооружены броневые комингсы толщиной 50,8 мм.","Люки бронепалубы закрывались железными бронекрышками толщиной шестидесяти трёх целых пяти десятых мм, а по периметру этих люков были сооружены броневые комингсы толщиной пятидесяти целых восьми десятых мм."
"Половая зрелость наступает в 1,5 года.",Половая зрелость наступает в одну целую пять десятых года.
"Общая длина проспекта, протянувшегося от площади Свободы до площади Руставели, составляет около 1,5 км.","Общая длина проспекта, протянувшегося от площади Свободы до площади Руставели, составляет около одной целой пяти десятых км."
"Среднегодовая скорость ветра 3,5—4,2 метра в секунду.",Среднегодовая скорость ветра трёх целых пяти десятых—четырёх целых двух десятых метра в секунду.
"венгры — 1,7 тыс. (5.3 %)",венгры — одна целая семь десятых тыс. (пять целых три десятых %)
"русские — 1,2 тыс. (3.8 %)",русские — одна целая две десятых тыс. (три целых восемь десятых %)
"цыгане — 0,1 тыс. (0.3 %)",цыгане — ноль целых одна десятая тыс. (ноль целых три десятых %)
"За время войны выпущено свыше 2,8 млн авиабомб.",За время войны выпущено свыше две целых восемь десятых млн авиабомб.
RSA Laboratories - 7.6 What is a group signature?,RSA Laboratories - семь целых шесть десятых What is a group signature?
"Среднегодовая температура — 2,5 — 2,8 °C.",Среднегодовая температура — две целых пять десятых — две целых восемь десятых °C.
"Фильм посмотрело 1,5 млн зрителей, а сборы картины превысили 8,5 млн долларов.","Фильм посмотрело одна целая пять десятых млн зрителей, а сборы картины превысили восемь целых пять десятых млн долларов."
"Плотность населения составляет 22,00 человека на км2.",Плотность населения составляет двадцать две целых ноль сотых человека на км2.
"Расовый состав населения: белые — 73,48 %, афроамериканцы — 25,36 %, коренные американцы (индейцы) — 0,26 %, азиаты — 0,18 %, гавайцы — 0,01 %, представители других рас — 0,17 %, представители двух или более рас — 0,54 %.","Расовый состав населения: белые — семьдесят три целых сорок восемь сотых %, афроамериканцы — двадцать пять целых тридцать шесть сотых %, коренные американцы (индейцы) — ноль целых двадцать шесть сотых %, азиаты — ноль целых восемнадцать сотых %, гавайцы — ноль целых одна сотая %, представители других рас — ноль целых семнадцать сотых %, представители двух или более рас — ноль целых пятьдесят четыре сотых %."
"Испаноязычные составляли 0,58 % населения независимо от расы.",Испаноязычные составляли ноль целых пятьдесят восемь сотых % населения независимо от расы.
"Средний размер домашнего хозяйства составляет 2,44 человека, и средний размер семьи 2,94 человека.","Средний размер домашнего хозяйства составляет две целых сорок четыре сотых человека, и средний размер семьи две целых девяносто четыре сотых человека."
"Уровень грамотности взрослого населения составлял 37,6 %, что выше среднеиндийского уровня (59,5 %).","Уровень грамотности взрослого населения составлял тридцать семь целых шесть десятых %, что выше среднеиндийского уровня (пятьдесят девять целых пять десятых %)."
"Доля городского населения составляла 10,6 %.",Доля городского населения составляла десять целых шесть десятых %.
"Гребные винты диаметром 3,12 м изготавливались из бронзы.",Гребные винты диаметром трёх целых двенадцати сотых м изготавливались из бронзы.
"Среднегодовая температура воздуха — +3,2 °C.",Среднегодовая температура воздуха — три целых две десятых °C.
"Wilson, Colin J. N. The 26.5 ka Oruanui eruption, New Zealand: an introduction and overview (англ.)","Wilson, Colin J. N. The двадцать шесть целых пять десятых ka Oruanui eruption, New Zealand: an introduction and overview (англ.)"
"Manville, Vern & Wilson, Colin J. N. The 26.5 ka Oruanui eruption, New Zealand: a review of the roles of volcanism and climate in the post-eruptive sedimentary response (англ.)","Manville, Vern & Wilson, Colin J. N. The двадцать шесть целых пять десятых ka Oruanui eruption, New Zealand: a review of the roles of volcanism and climate in the post-eruptive sedimentary response (англ.)"
"The 26.5 ka Oruanui Eruption, Taupo Volcano, New Zealand: Development, Characteristics and Evacuation of a Large Rhyolitic Magma Body (англ.)","The двадцать шесть целых пять десятых ka Oruanui Eruption, Taupo Volcano, New Zealand: Development, Characteristics and Evacuation of a Large Rhyolitic Magma Body (англ.)"
"Приставка пласто- означает пластид или хлоропласт, подразумевая его локализацию в клетке.","Приставка пласто- означает пластид или хлоропласт, подразумевая его локализацию в клетке."
"Структурно пластохинон представляет собой 2,3-диметил-1,4-бензохинон — молекулу с боковой цепью из девяти изопреновых единиц.","Структурно пластохинон представляет собой 2,3-диметил-1,4-бензохинон — молекулу с боковой цепью из девяти изопреновых единиц."
"Мелкие ископаемые термиты, длина тела без крыльев около 3,5 мм.","Мелкие ископаемые термиты, длина тела без крыльев около трёх целых пяти десятых мм."
"Длина головы 0,9 мм.",Длина головы ноля целых девяти десятых мм.
"В общей сложности 424,799 синглов распродано в Великобритании, выручкаот продаж пошла на благотворительные нужды больным раком груди.","В общей сложности четыреста двадцать четыре целых семьсот девяносто девять тысячных синглов распродано в Великобритании, выручкаот продаж пошла на благотворительные нужды больным раком груди."
«Lady Marmalade» 4.04,«Lady Marmalade» четыре целых четыре сотых
«No More Lies» 4.08,«No More Lies» четыре целых восемь сотых
«Lady Marmalade» (Thunderpuss Tribe-A-Pella) — 7.42,«Lady Marmalade» (Thunderpuss Tribe-A-Pella) — семь целых сорок две сотых
"Занимает площадь 13,91 км².",Занимает площадь тринадцати целых девяноста одной сотой км².
"Активы Hokuriku Bank составили 8,11 трлн, Hokkaido Bank — 5,5 трлн.","Активы Hokuriku Bank составили восемь целых одиннадцать сотых трлн, Hokkaido Bank — пять целых пять десятых трлн."
"Занимает площадь 613,349 км².",Занимает площадь шестисот тринадцати целых трёхсот сорока девяти тысячных км².
"Плотность населения — 73,4 чел./км².",Плотность населения — семьдесят три целых четыре десятых чел./км².
"электрификация: 94,5 %;",электрификация: девяносто четыре целых пять десятых %;
"водоснабжение: 52,3 %;",водоснабжение: пятьдесят две целых три десятых %;
"Занимает площадь 4,97 км².",Занимает площадь четырёх целых девяноста семи сотых км².
"Место в межконтинентальных стыковых матчах считается как 0,5.",Место в межконтинентальных стыковых матчах считается как ноль целых пять десятых.
"1,1 миллиарда смотрели финальный матч этого турнира.",одна целая одна десятая миллиарда смотрели финальный матч этого турнира.
"Занимает площадь 0,196 км².",Занимает площадь ноля целых сто девяноста шести тысячных км².
"Вторая половина Ганы, в которой жили африканцы-анимисты и располагался царский дворец, находилась в 9,5 км от мусульманской части города.","Вторая половина Ганы, в которой жили африканцы-анимисты и располагался царский дворец, находилась в девять целых пять десятых км от мусульманской части города."
"Масса — около 3,499 солнечных, радиус — около 2,846 солнечных, светимость — около 37,154 солнечных.","Масса — около три целых четыреста девяносто девять тысячных солнечных, радиус — около две целых восемьсот сорок шесть тысячных солнечных, светимость — около тридцать семь целых сто пятьдесят четыре тысячных солнечных."
"Второй компонент — красный карлик спектрального класса M. Масса — около 255,05 юпитерианских (0,2435 солнечной).",Второй компонент — красный карлик спектрального класса M. Масса — около двести пятьдесят пять целых пять сотых юпитерианских (ноль целых две тысяча четыреста тридцать пять десятитысячных солнечной).
"Удалён на 2,271 а.е..",Удалён на две целых двести семьдесят одна тысячная а.е..
"Занимает площадь 6,88 км².",Занимает площадь шести целых восьмидесяти восьми сотых км².
"Занимает площадь 12,51 км².",Занимает площадь двенадцати целых пятидесяти одной сотой км².
"Средний расход воды у Заводоуковска — 1,8 м³/с.",Средний расход воды у Заводоуковска — одна целая восемь десятых м³/с.
"Остаток гонки он провёл в упорной борьбе за третье место с Михаэлем Шумахером и смог опередить его, финишировав третьим с разницей в 0,3 секунды.","Остаток гонки он провёл в упорной борьбе за третье место с Михаэлем Шумахером и смог опередить его, финишировав третьим с разницей в ноль целых три десятых секунды."
"В следующем Гран-при Италии Райкконен снова сошёл из-за проблем с электроникой, затем был третьим в Китае, отстав от победителя Рубенса Баррикелло всего на 1,4 секунды.","В следующем Гран-при Италии Райкконен снова сошёл из-за проблем с электроникой, затем был третьим в Китае, отстав от победителя Рубенса Баррикелло всего на одна целая четыре десятых секунды."
"В Канаде Райкконен квалифицировался третьим позади Хэмилтона и Кубицы, притом, что на первых двух секторах решающего круга шёл с опережением графика лучшего времени, а на третьем проиграл целую секунду (опередив Алонсо всего на 0,011 с).","В Канаде Райкконен квалифицировался третьим позади Хэмилтона и Кубицы, притом, что на первых двух секторах решающего круга шёл с опережением графика лучшего времени, а на третьем проиграл целую секунду (опередив Алонсо всего на ноль целых одиннадцать тысячных с)."
"На Гран-при Монако Райкконен боролся с Дженсоном Баттоном за поул, но проиграл всего 0,025 с.","На Гран-при Монако Райкконен боролся с Дженсоном Баттоном за поул, но проиграл всего ноль целых двадцать пять тысячных с."
На старте он пропустил вперёд Баррикелло и пришёл к финишу третьим.,На старте он пропустил вперёд Баррикелло и пришёл к финишу третьим.
"На Гран-при Испании занял третье место и уступил пришедшему вторым Фернандо Алонсо всего 0,6 секунды.",На Гран-при Испании занял третье место и уступил пришедшему вторым Фернандо Алонсо всего ноль целых шесть десятых секунды.
"В квалификации попал в трафик и не смог улучшить в финальной попытке своё время, уступив времени поула Себастьяна Феттеля 0,143 секунды.","В квалификации попал в трафик и не смог улучшить в финальной попытке своё время, уступив времени поула Себастьяна Феттеля ноль целых сто сорок три тысячных секунды."
"pH водного раствора составляет 5,5—6,5.",pH водного раствора составляет пять целых пять десятых—шесть целых пять десятых.
"Активный ярко-голубой КХ получают взаимодействием бромаминовой кислоты и 2,4-диаминобензолсульфокислоты с последующим ацилированием полученного продукта цианурхлоридом.",Активный ярко-голубой КХ получают взаимодействием бромаминовой кислоты и две целых четыре десятых-диаминобензолсульфокислоты с последующим ацилированием полученного продукта цианурхлоридом.
"Активный ярко-голубой КХ в СССР для крашения выпускался в порошковой форме, содержащей 79,2 % красителя, остальное — смесь одно- и двузамещённого фосфатов калия.","Активный ярко-голубой КХ в СССР для крашения выпускался в порошковой форме, содержащей семьдесят девять целых две десятых % красителя, остальное — смесь одно- и двузамещённого фосфатов калия."
"Мелкие бракониды (от 8,7 до 9,5 мм).",Мелкие бракониды (от восьми целых семи десятых до девяти целых пяти десятых мм).
"От близких видов отличается следующими признаками: жгутики усиков черновато-коричневые, скапус и педицель с чёрной и коричневой полосой на внешней стороне соответственно (у сходного вида Campyloneurus kirbyi антенны полностью черные); ножны яйцеклада 0.3-0.4 × длины переднего крыла (у C. kirbyi в 0.6-0.8 ×);","От близких видов отличается следующими признаками: жгутики усиков черновато-коричневые, скапус и педицель с чёрной и коричневой полосой на внешней стороне соответственно (у сходного вида Campyloneurus kirbyi антенны полностью черные); ножны яйцеклада ноль целых три десятых-ноль целых четыре десятых × длины переднего крыла (у C. kirbyi в ноль целых шесть десятых-ноль целых восемь десятых ×);"
"Большая часть клубов переехала на «Алехандро Понсе Нобоа», который вмещает 3,5 тыс. зрителей.","Большая часть клубов переехала на «Алехандро Понсе Нобоа», который вмещает три целых пять десятых тыс. зрителей."
"Расстояние до ближайшей железнодорожной станции Тихвин — 27,5 км.",Расстояние до ближайшей железнодорожной станции Тихвин — двадцать семь целых пять десятых км.
"В настоящее время более 3,1 миллиона человек ежегодно посещает город, чтобы побывать на его фестивалях и в местах отдыха, а особенно на калгарийском Стампиде.","В настоящее время более три целых одна десятая миллиона человек ежегодно посещает город, чтобы побывать на его фестивалях и в местах отдыха, а особенно на калгарийском Стампиде."
"В Международном аэропорту Калгари в северо-восточной части города в среднем в год выпадает 412,6 мм осадков, 320,6 мм осадков в виде дождя и 126,7 мм — в виде снега.","В Международном аэропорту Калгари в северо-восточной части города в среднем в год выпадает четыреста двенадцать целых шесть десятых мм осадков, триста двадцать целых шесть десятых мм осадков в виде дождя и сто двадцать шесть целых семь десятых мм — в виде снега."
