q,a
"Деревня расположена в 3,5 км к востоку от федеральной автомобильной дороги Р104 на участке Рыбинск — Пошехонье, между деревнями Соловьёвское и Волково.","Деревня расположена в три целых пять десятых км к востоку от федеральной автомобильной дороги Р104 на участке Рыбинск — Пошехонье, между деревнями Соловьёвское и Волково."
"Исландия является третьим по величине потребителем — 25,4 кг на человека.",Исландия является третьим по величине потребителем — двадцать пять целых четыре десятых кг на человека.
"11.12 GALLERY (Москва), Zedes gallery (Брюссель, Бельгия), Frédéric Storme gallery (Лиль, Франция), A & V галерея (Минск, Беларусь).","одиннадцать целых двенадцать сотых GALLERY (Москва), Zedes gallery (Брюссель, Бельгия), Frédéric Storme gallery (Лиль, Франция), A & V галерея (Минск, Беларусь)."
"«Рай» 11.12 GALLERY, Винзавод.","«Рай» одиннадцать целых двенадцать сотых GALLERY, Винзавод."
Страница Игоря Тишина на сайте 11.12 GALLERY,Страница Игоря Тишина на сайте 11.12 GALLERY
"= 15,2 млн км).",= пятнадцать целых две десятых млн км).
"Расстояние между кометой и Солнцем в то время составляло 0,23 а. е.После прохождения перигелия комета Хякутакэ быстро теряла яркость, и к концу мая стала недоступной невооружённому глазу.","Расстояние между кометой и Солнцем в то время составляло ноль целых двадцать три сотых а. е.После прохождения перигелия комета Хякутакэ быстро теряла яркость, и к концу мая стала недоступной невооружённому глазу."
"(или 0,072 св. г.).",(или ноль целых семьдесят две тысячных св. г.).
"Было отмечено, что, проходя мимо Земли, комета выбрасывала большую массу вещества с периодом в 6,23 часа.","Было отмечено, что, проходя мимо Земли, комета выбрасывала большую массу вещества с периодом в шесть целых двадцать три сотых часа."
"Общая площадь: 187,5 км²",Общая площадь: сто восемьдесят семь целых пять десятых км²
"Верхнечетвертичные покрывные отложения представлены бурыми суглинками полутвердой консистенции, содержат прослои и линзы очень влажного песка, мощностью от 0,7 до .","Верхнечетвертичные покрывные отложения представлены бурыми суглинками полутвердой консистенции, содержат прослои и линзы очень влажного песка, мощностью от ноля целых семи десятых до ."
"Непосредственно под насыпью и почвенно-растительным слоем, а также под суглинками залегает горизонт мелких песков, которые прослеживаются до глубины 1,7- и вскрываются вновь с глубины .","Непосредственно под насыпью и почвенно-растительным слоем, а также под суглинками залегает горизонт мелких песков, которые прослеживаются до глубины одной целой семи десятых- и вскрываются вновь с глубины ."
"Пылевые пески белого цвета выделяются на глубине 3,5-, их мощность от 0,6 до .","Пылевые пески белого цвета выделяются на глубине трёх целых пяти десятых-, их мощность от ноля целых шести десятых до ."
"Глубина залегания водоносного горизонта 6,0-.",Глубина залегания водоносного горизонта шести целых ноля десятых-.
"Средняя многолетняя годовая температура воздуха равна +3,1°.",Средняя многолетняя годовая температура воздуха равна три целых одна десятая°.
"Самый тёплый месяц — июль (+18,2°).",Самый тёплый месяц — июль (восемнадцать целых две десятых°).
"Средняя годовая скорость ветра колеблется в пределах 3,5—3,8 м/сек.",Средняя годовая скорость ветра колеблется в пределах трёх целых пяти десятых—трёх целых восьми десятых м/сек.
"Изредка на болотах можно встретить березу приземистую — кустарник или деревца всего 1,5 метра высотой.",Изредка на болотах можно встретить березу приземистую — кустарник или деревца всего одной целой пяти десятых метра высотой.
"60,000 eggs a day (англ.)",шестьдесят целых ноль тысячных eggs a day (англ.)
"Сегодня их обозначение буквенное — A, B и C. Терминал рассчитан на пассажиропоток не более 7,5 млн. в год.","Сегодня их обозначение буквенное — A, B и C. Терминал рассчитан на пассажиропоток не более семи целых пяти десятых млн. в год."
"Александр Майстровой Как возникла Евроарабия, «Новости недели» 12.09.2006","Александр Майстровой Как возникла Евроарабия, «Новости недели» 12.09.2006"
"Занимает площадь 17,35 км².",Занимает площадь семнадцати целых тридцати пяти сотых км².
"У некоторых видов формула 5,3  (Technomyrmex pratensis и Technomyrmex lasiops) или 4,3 (Technomyrmex lujae и Technomyrmex reductus).",У некоторых видов формула пять целых три десятых  (Technomyrmex pratensis и Technomyrmex lasiops) или четыре целых три десятых (Technomyrmex lujae и Technomyrmex reductus).
"Наилучшего результата среди его соперников добилась лейбористка Шейла Карлсон (Sheila Carlson) — 15,5 %.",Наилучшего результата среди его соперников добилась лейбористка Шейла Карлсон (Sheila Carlson) — пятнадцать целых пять десятых %.
"Тогда же он, в Остраве, повторил мировой рекорд на соревнованиях с ручной фиксацией результата (9.9).","Тогда же он, в Остраве, повторил мировой рекорд на соревнованиях с ручной фиксацией результата (девять целых девять десятых)."
"Высота 3,5 метра (высота вычислялась исходя из пропорций всего архитектурного ансамбля театра), вес — около тонны.","Высота трёх целых пяти десятых метра (высота вычислялась исходя из пропорций всего архитектурного ансамбля театра), вес — около тонны."
"В Овручском и Острожском уездах немцы составляли 1,2-1,5.",В Овручском и Острожском уездах немцы составляли одна целая две десятых-одна целая пять десятых.
"Римокатоликов среди немцев Волыни насчитывалось 1,5 тыс. (0,89 %), православных 0,5 тыс. (0,33 %).","Римокатоликов среди немцев Волыни насчитывалось одна целая пять десятых тыс. (ноль целых восемьдесят девять сотых %), православных ноль целых пять десятых тыс. (ноль целых тридцать три сотых %)."
"Уровень грамотности взрослого населения составлял 41,3 %, что значительно ниже среднеиндийского уровня (59,5 %).","Уровень грамотности взрослого населения составлял сорок одна целая три десятых %, что значительно ниже среднеиндийского уровня (пятьдесят девять целых пять десятых %)."
"Доля городского населения составляла 10,2 %.",Доля городского населения составляла десять целых две десятых %.
"выше по течению на расстоянии в 1,5 км расположено село Дерезовка,","выше по течению на расстоянии в одну целую пять десятых км расположено село Дерезовка,"
Классификация вязкости».,Классификация вязкости».
"Среднегодовая температура воздуха положительная и составляет + 9,3 °C.",Среднегодовая температура воздуха положительная и составляет + девять целых три десятых °C.
"Средняя температура самого холодного месяца января - 6,3 °C, самого жаркого месяца июля + 25,1 °C.","Средняя температура самого холодного месяца января - шесть целых три десятых °C, самого жаркого месяца июля + двадцать пять целых одна десятая °C."
"Среднегодовая температура воздуха — 3,1 °C.",Среднегодовая температура воздуха — три целых одна десятая °C.
"Занимает площадь 46,51 км².",Занимает площадь сорока шести целых пятидесяти одной сотой км².
"3,6 млн клиентов, выручка $13,3 млрд.","три целых шесть десятых млн клиентов, выручка $тринадцать целых три десятых млрд."
"Уклон реки равен 1,4 м/км.",Уклон реки равен одной целой четырёх десятых м/км.
"В среднем течении русло реки канализировано, скорость течения воды 0,3 м/с.","В среднем течении русло реки канализировано, скорость течения воды ноль целых три десятых м/с."
В нижнем течении протекает мимо Клевани.,В нижнем течении протекает мимо Клевани.
"58,114",пятьдесят восемь целых сто четырнадцать тысячных
"39,291",тридцать девять целых двести девяносто одна тысячная
"2,232",две целых двести тридцать две тысячных
"2,176",две целых сто семьдесят шесть тысячных
"Остальные части сезона собрали 1,285 млн зрителей.",Остальные части сезона собрали одна целая двести восемьдесят пять тысячных млн зрителей.
"Среднегодовая многолетняя температура воздуха составляет 3,9 °С.",Среднегодовая многолетняя температура воздуха составляет три целых девять десятых °С.
"В качестве носителя информации используется магнитная лента шириной 19,05 мм и толщиной 0,055 мм.",В качестве носителя информации используется магнитная лента шириной девятнадцати целых пяти сотых мм и толщиной ноля целых пятидесяти пяти тысячных мм.
"Скорость протяжки ленты составляет 2,67 мм/с.",Скорость протяжки ленты составляет двух целых шестидесяти семи сотых мм/с.
"В расовом отношении белые и метисы составляли 99,8 % от населения города; индейцы — 0,1 %; негры, мулаты и райсальцы — 0,1 %.","В расовом отношении белые и метисы составляли девяносто девять целых восемь десятых % от населения города; индейцы — ноль целых одна десятая %; негры, мулаты и райсальцы — ноль целых одна десятая %."
"Уровень грамотности среди всего населения составлял 68,2 %.",Уровень грамотности среди всего населения составлял шестьдесят восемь целых две десятых %.
"85,1 % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, 14,9 % — предприятия сферы обслуживания.","восемьдесят пять целых одна десятая % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, четырнадцать целых девять десятых % — предприятия сферы обслуживания."
"— С. 96,97.",— С. девяносто шесть целых девяносто семь сотых.
—,—
"Устье реки находится в 3,9 км от устья Каменки по левому берегу.",Устье реки находится в три целых девять десятых км от устья Каменки по левому берегу.
"У берегов Коста-Рики произошло мощное землетрясение магнитудой 7,6.",У берегов Коста-Рики произошло мощное землетрясение магнитудой семи целых шести десятых.
"Инфляция в еврозоне в сентябре достигла 2,7 %.",Инфляция в еврозоне в сентябре достигла две целых семь десятых %.
"По итогам аудита банкам Испании необходима рекапитализация на сумму 59,3 миллиарда евро.",По итогам аудита банкам Испании необходима рекапитализация на сумму пятьдесят девять целых три десятых миллиарда евро.
"Картографическая проекция Хобо — Дайера (Hobo–Dyer map projection) — цилиндрическая равноплощадная проекция со стандартными параллелями (то есть без долготных и широтных искажений) на 37,5° северной и южной широты.",Картографическая проекция Хобо — Дайера (Hobo–Dyer map projection) — цилиндрическая равноплощадная проекция со стандартными параллелями (то есть без долготных и широтных искажений) на тридцать семь целых пять десятых° северной и южной широты.
"В матче против «Феникса-Ильичевца» полузащитник Роман Войнаровский забил один из самых быстрых голов в истории футбола на 3,5 секунде.",В матче против «Феникса-Ильичевца» полузащитник Роман Войнаровский забил один из самых быстрых голов в истории футбола на трёх целых пяти десятых секунде.
"Радиус — около 5,56 солнечных, светимость — около 485,12 солнечных.","Радиус — около пять целых пятьдесят шесть сотых солнечных, светимость — около четыреста восемьдесят пять целых двенадцать сотых солнечных."
"Другие кандидаты — это миллиардер Альваро Нобоа (кандидат в вице-президенты Аннабелла Азин), представитель социалистической партии Марта Рольдос Букарам, социал-демократ Карлос Гонсалес, Диего Дельгадо от левых сил и независимые кандидаты Карлос Сагньай и Мельба Хакоме.","Другие кандидаты — это миллиардер Альваро Нобоа (кандидат в вице-президенты Аннабелла Азин), представитель социалистической партии Марта Рольдос Букарам, социал-демократ Карлос Гонсалес, Диего Дельгадо от левых сил и независимые кандидаты Карлос Сагньай и Мельба Хакоме."
"LQ Волопаса — жёлто-белая пульсирующая переменная звезда типа RR Лиры (RRAB) спектрального класса F. Радиус — около 6,56 солнечных, светимость — около 62,119 солнечных.","LQ Волопаса — жёлто-белая пульсирующая переменная звезда типа RR Лиры (RRAB) спектрального класса F. Радиус — около шесть целых пятьдесят шесть сотых солнечных, светимость — около шестьдесят две целых сто девятнадцать тысячных солнечных."
"78,9 % евангелическо-лютеранских церквей страны принадлежит государственной Церкви Норвегии.",семьдесят восемь целых девять десятых % евангелическо-лютеранских церквей страны принадлежит государственной Церкви Норвегии.
"Среднегодовая температура воздуха — 1,3 °С.",Среднегодовая температура воздуха — одна целая три десятых °С.
"Средняя многолетняя температура самого холодного месяца (января) составляет −15,6 °С, температура самого тёплого (июля) — 17,8 °С.","Средняя многолетняя температура самого холодного месяца (января) составляет −пятнадцать целых шесть десятых °С, температура самого тёплого (июля) — семнадцать целых восемь десятых °С."
Поддержка XHTML 1.0 Strict спецификации,Поддержка XHTML 1.0 Strict спецификации
"Среднегодовая температура положительная и составляет +1,3°",Среднегодовая температура положительная и составляет одна целая три десятых°
"С, средняя температура самого холодного месяца января −17,5°","С, средняя температура самого холодного месяца января −семнадцать целых пять десятых°"
"С, самого жаркого месяца июля +19,6° С.","С, самого жаркого месяца июля девятнадцать целых шесть десятых° С."
"Банковская система является одним из основных бенефициаров наркоденег: только 0,5 % средств, полученных от реализации наркотиков, конфискуются.","Банковская система является одним из основных бенефициаров наркоденег: только ноль целых пять десятых % средств, полученных от реализации наркотиков, конфискуются."
"В России, по статье 228.1 УК РФ, максимальный срок за наркоторговлю составляет вплоть до пожизненного заключения, если торговля осуществлялась в особо крупном размере.см. также: Федеральная служба Российской Федерации по контролю за оборотом наркотиковВ Белоруссии существует уголовная и административная ответственность за торговлю, хранение, ношение, пересылку и употребление наркотических средств.","В России, по статье двумстам двадцати восьми целых одной десятой УК РФ, максимальный срок за наркоторговлю составляет вплоть до пожизненного заключения, если торговля осуществлялась в особо крупном размере.см. также: Федеральная служба Российской Федерации по контролю за оборотом наркотиковВ Белоруссии существует уголовная и административная ответственность за торговлю, хранение, ношение, пересылку и употребление наркотических средств."
"Площадь рощи составляет 53,7 гектара.",Площадь рощи составляет пятьдесят три целых семь десятых гектара.
"сельское хозяйство и скотоводство — 13,3 %;",сельское хозяйство и скотоводство — тринадцать целых три десятых %;
"производство и строительство — 52,5 %;",производство и строительство — пятьдесят две целых пять десятых %;
"торговля, сферы услуг и туризма — 28,5 %;","торговля, сферы услуг и туризма — двадцать восемь целых пять десятых %;"
"безработные — 5,7 %.",безработные — пять целых семь десятых %.
"электрификация: 91,5 %;",электрификация: девяносто одна целая пять десятых %;
"водоснабжение: 92,8 %;",водоснабжение: девяносто две целых восемь десятых %;
"водоотведение: 91,4 %.",водоотведение: девяносто одна целая четыре десятых %.
"Богатырское волостное правление располагалось в здании у дороги Бахчисарай — Ялта (на месте нынешнего села Аромат), а юридически относилось к деревне Гавро, находящейся в 2,5 км выше по долине.","Богатырское волостное правление располагалось в здании у дороги Бахчисарай — Ялта (на месте нынешнего села Аромат), а юридически относилось к деревне Гавро, находящейся в две целых пять десятых км выше по долине."
"Занимает площадь 0,19 км².",Занимает площадь ноля целых девятнадцати сотых км².
"Плотность населения — 1,07 чел./км².",Плотность населения — одна целая семь сотых чел./км².
"Августа же вместо спокойных родов в кругу приближённых вынуждена была ездить 1,5 часа в дребезжащей карете пока шли схватки.",Августа же вместо спокойных родов в кругу приближённых вынуждена была ездить одна целая пять десятых часа в дребезжащей карете пока шли схватки.
"Завоевал бронзовую медаль в весовой категории до 50,8 кг.",Завоевал бронзовую медаль в весовой категории до пятидесяти целых восьми десятых кг.
"Среднегодовая температура воздуха — 2,5 °C.",Среднегодовая температура воздуха — две целых пять десятых °C.
"Памятник природы «Провальская степь» имеет площадь 1431,96 га, находится в Каменском районе вдоль границы с Провальским отделением Луганского заповедника.","Памятник природы «Провальская степь» имеет площадь одной тысячи четырёхсот тридцати одной целой девяноста шести сотых га, находится в Каменском районе вдоль границы с Провальским отделением Луганского заповедника."
"«Провальская степь» является в настоящее время единственным степным памятником природы на Донецком кряже, поэтому она, занимая 0,2 % территории Донецкого кряжа, имеет большое научное и природоохранное значение.","«Провальская степь» является в настоящее время единственным степным памятником природы на Донецком кряже, поэтому она, занимая ноль целых две десятых % территории Донецкого кряжа, имеет большое научное и природоохранное значение."
"Композиция для купажа могла содержать в себе этиловый спирт в качестве консерванта, содержа небольшой градус спирта (до 0,2-0,3 %).","Композиция для купажа могла содержать в себе этиловый спирт в качестве консерванта, содержа небольшой градус спирта (до ноль целых две десятых-ноль целых три десятых %)."
"Возраст звезды определён как около 2,9 млрд лет.",Возраст звезды определён как около две целых девять десятых млрд лет.
Первый компонент — жёлто-белая звезда спектрального класса F5V.,Первый компонент — жёлто-белая звезда спектрального класса F5V.
"Масса — около 1,3 солнечной, радиус — около 1,5 солнечных, светимость — около 3,09 солнечных.","Масса — около одна целая три десятых солнечной, радиус — около одна целая пять десятых солнечных, светимость — около три целых девять сотых солнечных."
arXiv:2204.09073 [astro-ph.HE].,arXiv:две тысяча двести четыре целых девять тысячи семьдесят три стотысячных [astro-ph.HE].
arXiv:2204.09070.,arXiv:две тысяча двести четыре целых девять тысячи семьдесят стотысячных.
"Абсолютная звездная величина двойной звезды OliV составляет +3,8 m.",Абсолютная звездная величина двойной звезды OliV составляет три целых восемь десятых m.
"Ранее из-за положительной допинг-пробы также был аннулирован результат победительницы, Залины Маргиевой из Молдавии (71,98 м).","Ранее из-за положительной допинг-пробы также был аннулирован результат победительницы, Залины Маргиевой из Молдавии (семьдесят одна целая девяносто восемь сотых м)."
"Длина от 4,2 до 9,5 мм.",Длина от четырёх целых двух десятых до девяти целых пяти десятых мм.
Официальный сайт Учебного комитета РПЦ: «Учебные заведения РПЦ»,Официальный сайт Учебного комитета РПЦ: «Учебные заведения РПЦ»
"Кассовые сборы фильма в Северной Америке составили 2,9 миллиона долларов.",Кассовые сборы фильма в Северной Америке составили две целых девять десятых миллиона долларов.
"Общемировые сборы привесили 12,3 миллиона долларов, включая 1,4 миллиона в Великобритании.","Общемировые сборы привесили двенадцать целых три десятых миллиона долларов, включая одна целая четыре десятых миллиона в Великобритании."
"На итальянской купюре в 10,000 лир размещен портрет Вольты и рисунок вольтова столба.",На итальянской купюре в десять целых ноль тысячных лир размещен портрет Вольты и рисунок вольтова столба.
"Среднегодовая температура воздуха положительная и составляет + 9,5 °C, средняя температура самого холодного месяца января - 4,8 °C, самого жаркого месяца июля + 23,9 °C.","Среднегодовая температура воздуха положительная и составляет + девять целых пять десятых °C, средняя температура самого холодного месяца января - четыре целых восемь десятых °C, самого жаркого месяца июля + двадцать три целых девять десятых °C."
"Населён преимущественно казахами (90,4 %) и урянхайцами (5,19 %), есть тувинцы (1,42 %), остальные — дербеты и халха-монголы.","Населён преимущественно казахами (девяносто целых четыре десятых %) и урянхайцами (пять целых девятнадцать сотых %), есть тувинцы (одна целая сорок две сотых %), остальные — дербеты и халха-монголы."
"4,3 тыс. верблюдов",четыре целых три десятых тыс. верблюдов
"61,8 тыс. лошадей",шестьдесят одна целая восемь десятых тыс. лошадей
"88,8 тыс. крупного рогатого скота (коров, яков или сарлыков и их гибридов хайнаков)","восемьдесят восемь целых восемь десятых тыс. крупного рогатого скота (коров, яков или сарлыков и их гибридов хайнаков)"
"603,0 тыс. овец",шестьсот три целых ноль десятых тыс. овец
"712,4 тыс.",семьсот двенадцать целых четыре десятых тыс.
"Это на 1,9 млрд больше, чем на прошлых выборах.","Это на одной целой девяти десятых млрд больше, чем на прошлых выборах."
"Из них на организацию видеонаблюдения ушло 2,7 млрд рублей.",Из них на организацию видеонаблюдения ушло две целых семь десятых млрд рублей.
Жириновский намеревался подать заявление на оппонентку за «мелкое хулиганство» (ст. 20.1 КоАП РФ).,Жириновский намеревался подать заявление на оппонентку за «мелкое хулиганство» (ст. двадцать целых одна десятая КоАП РФ).
"Всего в ходе кампании собралось около 1,6 млн подписей.",Всего в ходе кампании собралось около одной целой шести десятых млн подписей.
"От общего количества избирателей, включённых в списки, он по официальным данным получил 51,77 % голосов.","От общего количества избирателей, включённых в списки, он по официальным данным получил пятьдесят одна целая семьдесят семь сотых % голосов."
"Явка избирателей по регионам РФ составила от 55,70 % (Иркутская область) до 93,66 % (Тыва), за рубежом России явка составила 98,07 %.","Явка избирателей по регионам РФ составила от пятьдесят пять целых семьдесят сотых % (Иркутская область) до девяносто три целых шестьдесят шесть сотых % (Тыва), за рубежом России явка составила девяносто восемь целых семь сотых %."
"Его результат колебался от 64,38 % (Якутия) до 93,38 % (Кабардино-Балкария).",Его результат колебался от шестьдесят четыре целых тридцать восемь сотых % (Якутия) до девяносто три целых тридцать восемь сотых % (Кабардино-Балкария).
"Его результат колебался от 2,20 % (Республика Крым) до 27,25 % (Якутия).",Его результат колебался от две целых двадцать сотых % (Республика Крым) до двадцать семь целых двадцать пять сотых % (Якутия).
"Его результат в регионах колебался от 0,25 % (Чечня) до 10,24 % (Республика Коми).",Его результат в регионах колебался от ноль целых двадцать пять сотых % (Чечня) до десять целых двадцать четыре сотых % (Республика Коми).
"Её результат колебался от 0,22 % (Северная Осетия) до 4,33 % (Санкт-Петербург).",Её результат колебался от ноль целых двадцать две сотых % (Северная Осетия) до четыре целых тридцать три сотых % (Санкт-Петербург).
"Показатель недействительных бюллетеней по стране колебался от 0,13 % (Кабардино-Балкария) до 1,72 % (Сахалинская область).",Показатель недействительных бюллетеней по стране колебался от ноль целых тринадцать сотых % (Кабардино-Балкария) до одна целая семьдесят две сотых % (Сахалинская область).
Карты результатов кандидатов по субъектам федерации,Карты результатов кандидатов по субъектам федерации
