q,a
"Кинель-Черкасский — 85,53 %",Кинель-Черкасский — восемьдесят пять целых пятьдесят три сотых %
"Безенчукский — 85,52 %",Безенчукский — восемьдесят пять целых пятьдесят две сотых %
"Сызранский — 83,7 %",Сызранский — восемьдесят три целых семь десятых %
"Борский — 83,4 %",Борский — восемьдесят три целых четыре десятых %
"Хворостянский — 82,8 %",Хворостянский — восемьдесят две целых восемь десятых %
"Красноармейский — 82,16 %",Красноармейский — восемьдесят две целых шестнадцать сотых %
"Кинельский — 80,98 %",Кинельский — восемьдесят целых девяносто восемь сотых %
"Красноярский — 80,68 %",Красноярский — восемьдесят целых шестьдесят восемь сотых %
"Большеглушицкий — 80,66 %",Большеглушицкий — восемьдесят целых шестьдесят шесть сотых %
"Волжский — 80,39 %",Волжский — восемьдесят целых тридцать девять сотых %
"Сергиевский — 79,64 %",Сергиевский — семьдесят девять целых шестьдесят четыре сотых %
"Ставропольский — 79,59 %",Ставропольский — семьдесят девять целых пятьдесят девять сотых %
"Шигонский — 77,31 %",Шигонский — семьдесят семь целых тридцать одна сотая %
"Елховский — 70,00 %",Елховский — семьдесят целых ноль сотых %
"Большечерниговский — 62,54 %",Большечерниговский — шестьдесят две целых пятьдесят четыре сотых %
"Кошкинский — 54,5 %",Кошкинский — пятьдесят четыре целых пять десятых %
"Челно-Вершинский — 51,26 %",Челно-Вершинский — пятьдесят одна целая двадцать шесть сотых %
"Исаклинский — 36,61 %",Исаклинский — тридцать шесть целых шестьдесят одна сотая %
"Похвистневский — 34,98 %",Похвистневский — тридцать четыре целых девяносто восемь сотых %
"Клявлинский — 34,5 %",Клявлинский — тридцать четыре целых пять десятых %
"Шенталинский — 25,49 %",Шенталинский — двадцать пять целых сорок девять сотых %
"Камышлинский — 9,4 %",Камышлинский — девять целых четыре десятых %
"Самый высокий процент эрзянского населения в Исаклинском (23,9 %) и Шенталинском (20,9 %) районах (также эрзяне проживают в Клявлинском и Похвистневском районах).",Самый высокий процент эрзянского населения в Исаклинском (двадцать три целых девять десятых %) и Шенталинском (двадцать целых девять десятых %) районах (также эрзяне проживают в Клявлинском и Похвистневском районах).
"Такие браки оформляются с русскими (75,5 %) и дети обычно записаны русскими (78,5 % семей).",Такие браки оформляются с русскими (семьдесят пять целых пять десятых %) и дети обычно записаны русскими (семьдесят восемь целых пять десятых % семей).
"Чуваши компактно проживают в Исаклинском (37,77 % от населения района), Шенталинском (34,69 %), Клявлинском (30,6 %), Челно-Вершинском (29,72 %), Кошкинском (27,69 %), Похвистневском (23,25 %), Шигонском (14,51 %), Сергиевском (9,65 %), Большечерниговском (6,18 %), Камышлинском (5,2 %) районах и г. Похвистнево (13,03 % от населения города).","Чуваши компактно проживают в Исаклинском (тридцать семь целых семьдесят семь сотых % от населения района), Шенталинском (тридцать четыре целых шестьдесят девять сотых %), Клявлинском (тридцать целых шесть десятых %), Челно-Вершинском (двадцать девять целых семьдесят две сотых %), Кошкинском (двадцать семь целых шестьдесят девять сотых %), Похвистневском (двадцать три целых двадцать пять сотых %), Шигонском (четырнадцать целых пятьдесят одна сотая %), Сергиевском (девять целых шестьдесят пять сотых %), Большечерниговском (шесть целых восемнадцать сотых %), Камышлинском (пять целых две десятых %) районах и г. Похвистнево (тринадцать целых три сотых % от населения города)."
"В крови Ставиского было обнаружено 1,29 промилле алкоголя, в то время как предельно допустимым показателем в Болгарии считается 0,5.","В крови Ставиского было обнаружено одна целая двадцать девять сотых промилле алкоголя, в то время как предельно допустимым показателем в Болгарии считается ноль целых пять десятых."
"Прокурор требовал 2,5 года тюремного заключения, адвокаты потерпевших настаивали на более высоких выплатах, в частности, отец пострадавшей девушки, Мануэлы Горсовой, потребовал выплатить около миллиона евро.","Прокурор требовал две целых пять десятых года тюремного заключения, адвокаты потерпевших настаивали на более высоких выплатах, в частности, отец пострадавшей девушки, Мануэлы Горсовой, потребовал выплатить около миллиона евро."
"Среднегодовая температура — 1,6 °C.",Среднегодовая температура — одна целая шесть десятых °C.
"เกาะเสม็ด) — небольшой (13,1 км²) остров в Сиамском заливе, административно относится к провинции Районг в 6,5 км к югу от континента.","เกาะเสม็ด) — небольшой (тринадцать целых одна десятая км²) остров в Сиамском заливе, административно относится к провинции Районг в шесть целых пять десятых км к югу от континента."
"Занимает площадь 0,822 км².",Занимает площадь ноля целых восьмисот двадцати двух тысячных км².
— Версия 3.0.,— Версия три целых ноль десятых.
"Занимает площадь 0,64 км².",Занимает площадь ноля целых шестидесяти четырёх сотых км².
—,—
"В следующей гонке, в Испании, Тито завоевал свой первый поул, опередив своих соперников более чем на 0,4 секунды.","В следующей гонке, в Испании, Тито завоевал свой первый поул, опередив своих соперников более чем на ноль целых четыре десятых секунды."
"Занимает площадь 4,496 км².",Занимает площадь четырёх целых четырёхсот девяноста шести тысячных км².
"Занимает площадь 1,93 км².",Занимает площадь одной целой девяноста трёх сотых км².
"Затем была введена в строй оросительная система, и все 4,5 тысячи гектаров пашни стали поливными.","Затем была введена в строй оросительная система, и все четыре целых пять десятых тысячи гектаров пашни стали поливными."
"Плотность населения — 1,91 чел./км².",Плотность населения — одна целая девяносто одна сотая чел./км².
"На мысе расположены городище Нимфей — античный боспорский город, опорный геодезический пункт (высотой 24,4 метра — максимальная точка местности) и, западнее городища, маяк Нижний Бурунский.","На мысе расположены городище Нимфей — античный боспорский город, опорный геодезический пункт (высотой двадцати четырёх целых четырёх десятых метра — максимальная точка местности) и, западнее городища, маяк Нижний Бурунский."
"Занимает площадь 0,029 км².",Занимает площадь ноля целых двадцати девяти тысячных км².
"Количество получаемого при массаже секрета предстательной железы в обычных условиях составляет 0,5-2,0 мл.",Количество получаемого при массаже секрета предстательной железы в обычных условиях составляет ноль целых пять десятых-две целых ноль десятых мл.
"Высота основных башенных опор 193,5 м.",Высота основных башенных опор сто девяноста трёх целых пяти десятых м.
"Стоимость строительства моста 2,493 млрд юаней.",Стоимость строительства моста две целых четыреста девяносто три тысячных млрд юаней.
"Занимает площадь 1,659 км².",Занимает площадь одной целой шестисот пятидесяти девяти тысячных км².
"Занимает площадь 2,035 км².",Занимает площадь двух целых тридцати пяти тысячных км².
"У Мунэмуры было 7,5 штрафных баллов, столько же у югослава Хорвата.","У Мунэмуры было семь целых пять десятых штрафных баллов, столько же у югослава Хорвата."
"Среднегодовая температура воздуха — 2,6 °C.",Среднегодовая температура воздуха — две целых шесть десятых °C.
"Ближайшие населённые пункты — Кривошеино в 1,3 км южнее и Паново в 2,2 км на юго-запад.",Ближайшие населённые пункты — Кривошеино в одну целую три десятых км южнее и Паново в две целых две десятых км на юго-запад.
Ближайшая метеоролическая станция находится в 3.5 милях к северу от центра города.,Ближайшая метеоролическая станция находится в три целых пять десятых милях к северу от центра города.
"Из четырёх торпед, выпущенных с дистанции 1,1 км, попала только одна.","Из четырёх торпед, выпущенных с дистанции одной целой одной десятой км, попала только одна."
"Главным событием чемпионата был мировой рекорд Стефки Костадиновой в прыжках в высоту — 2,09 м — который и по сей день остаётся непревзойдённым.",Главным событием чемпионата был мировой рекорд Стефки Костадиновой в прыжках в высоту — две целых девять сотых м — который и по сей день остаётся непревзойдённым.
"Среднегодовая температура — 2,7 °C.",Среднегодовая температура — две целых семь десятых °C.
"Река Бахта при впадении образует залив Ягодный, а река Тон — небольшое (до 0,5 км в диаметре) озеро Доцен, соединённое короткой протокой с основной акваторией.","Река Бахта при впадении образует залив Ягодный, а река Тон — небольшое (до ноля целых пяти десятых км в диаметре) озеро Доцен, соединённое короткой протокой с основной акваторией."
"УрбанизацияВ городских условиях (пгт Новоорловск и Орловский) проживают 30,69 % населения муниципального района (без учёта пгт Агинское).",УрбанизацияВ городских условиях (пгт Новоорловск и Орловский) проживают тридцать целых шестьдесят девять сотых % населения муниципального района (без учёта пгт Агинское).
"Sattesele) находился в южной части Гауи (поблизости от Зегевольда), примерно в 48,5 км от Риги.","Sattesele) находился в южной части Гауи (поблизости от Зегевольда), примерно в сорок восемь целых пять десятых км от Риги."
"Автомобиль оснащается бензиновым двигателем внутреннего сгорания с турбонаддувом 4G18TDB объёмом 1,8 литра (экспортные модели оснащаются двигателем JLH-3G15TD объёмом 1,5 литра).",Автомобиль оснащается бензиновым двигателем внутреннего сгорания с турбонаддувом 4G18TDB объёмом одной целой восьми десятых литра (экспортные модели оснащаются двигателем JLH-3G15TD объёмом одной целой пяти десятых литра).
"В среднем температура зимой (январь) составляет -10,1 оС, летом (июль) +18,0 оС.","В среднем температура зимой (январь) составляет -десять целых одна десятая оС, летом (июль) восемнадцать целых ноль десятых оС."
"Средняя многолетняя температура — +4,4 оС.",Средняя многолетняя температура — четыре целых четыре десятых оС.
"Наименьшая зафиксированная — -46,0 оС, наибольшая +36,0 оС.","Наименьшая зафиксированная — -сорок шесть целых ноль десятых оС, наибольшая тридцать шесть целых ноль десятых оС."
"Наиболее обычен юго-западный ветер средней скоростью 3,6 м/сек.",Наиболее обычен юго-западный ветер средней скоростью трёх целых шести десятых м/сек.
Разница: ▲500.000,Разница: ▲пятьсот целых ноль тысячных
"Среднегодовая температура воздуха — +3,5 °C.",Среднегодовая температура воздуха — три целых пять десятых °C.
"Среднегодовая скорость ветра — 4,7 м/с.",Среднегодовая скорость ветра — четыре целых семь десятых м/с.
"Длина — около 2,5 см от кончика носа до стопа.",Длина — около двух целых пяти десятых см от кончика носа до стопа.
"Идеальный вес — 4,5—7,5 кг.",Идеальный вес — четыре целых пять десятых—семь целых пять десятых кг.
"Для поднятия над плоскостью эклиптики аппарату требовалось посредством гравитационного манёвра достичь высокого наклонения орбиты, чтобы увеличить угол относительно эклиптики до 80,2°.","Для поднятия над плоскостью эклиптики аппарату требовалось посредством гравитационного манёвра достичь высокого наклонения орбиты, чтобы увеличить угол относительно эклиптики до восемьдесят целых две десятых°."
"На Каллисто, находящемся дальше от мощного радиационного пояса Юпитера, мощность дозы равна лишь 0,1 мЗв (0,01 бэр) в сутки.","На Каллисто, находящемся дальше от мощного радиационного пояса Юпитера, мощность дозы равна лишь ноля целых одной десятой мЗв (ноль целых одна сотая бэр) в сутки."
