q,a
"При напряжении 37,4 В будут видны два отчётливых свечения: одно посередине между катодом и сеткой, а другое вблизи ускоряющей сетки.","При напряжении тридцати семи целых четырёх десятых В будут видны два отчётливых свечения: одно посередине между катодом и сеткой, а другое вблизи ускоряющей сетки."
"Более высокие потенциалы, расположенные с интервалом 18,7 В, приведут к появлению дополнительных светящихся областей в трубке.","Более высокие потенциалы, расположенные с интервалом восемнадцатью целых семью десятых В, приведут к появлению дополнительных светящихся областей в трубке."
"Однако длина волны видимого излучения намного больше, чем предсказывается соотношением Бора и интервалом 18,7 В. Частичное объяснение оранжевого света включает два атомных уровня, лежащих на 16,6 эВ и 18,7 эВ выше самого нижнего уровня.","Однако длина волны видимого излучения намного больше, чем предсказывается соотношением Бора и интервалом восемнадцатью целых семью десятых В. Частичное объяснение оранжевого света включает два атомных уровня, лежащих на шестнадцати целых шести десятых эВ и восемнадцатью целых семью десятых эВ выше самого нижнего уровня."
"Электроны, возбуждённые до уровня 18,7 эВ, падают до уровня 16,6 эВ с сопутствующим излучением оранжевого света.","Электроны, возбуждённые до уровня восемнадцати целых семи десятых эВ, падают до уровня шестнадцати целых шести десятых эВ с сопутствующим излучением оранжевого света."
Bibcode:2014PhP....16..293G.,Bibcode:2014PhP....16..293G.
Bibcode:2006AmJPh.,Bibcode:2006AmJPh.
"В этой статье отмечается, что расстояние между минимумами и максимумами не равно точно 4,9 В, но увеличивается при более высоких напряжениях и зависит от температуры, а также представлена модель этого эффекта.","В этой статье отмечается, что расстояние между минимумами и максимумами не равно точно четыре целых девять десятых В, но увеличивается при более высоких напряжениях и зависит от температуры, а также представлена модель этого эффекта."
"Занимает площадь 14,20 км².",Занимает площадь четырнадцати целых двадцати сотых км².
"Среднегодовая температура — 3,6 °C.",Среднегодовая температура — три целых шесть десятых °C.
"По данным ВОЗ, в КНР насчитывается 1,7 млн людей больных и инфицированных вирусом иммунодефицита HIV/AIDS.","По данным ВОЗ, в КНР насчитывается одна целая семь десятых млн людей больных и инфицированных вирусом иммунодефицита HIV/AIDS."
"Он приводит расчёты, согласно которым, сотрудник общественной безопасности для того, чтобы задержать проститутку с поличным должен потратить в среднем 7,5 часов.","Он приводит расчёты, согласно которым, сотрудник общественной безопасности для того, чтобы задержать проститутку с поличным должен потратить в среднем семи целых пяти десятых часов."
"Общий объём водохранилища составляет 16,9 миллионов м³, из которых 11,8 миллионов м³ является полезным объёмом.","Общий объём водохранилища составляет шестнадцать целых девять десятых миллионов м³, из которых одиннадцать целых восемь десятых миллионов м³ является полезным объёмом."
"Среднегодовая скорость ветра составляет 3,6 м/с.",Среднегодовая скорость ветра составляет трёх целых шести десятых м/с.
"Паромная переправа открыта летом с 06.15 до 23.00, зимой — с 06.15 до 21.00.","Паромная переправа открыта летом с шесть целых пятнадцать сотых до двадцать три целых ноль сотых, зимой — с шесть целых пятнадцать сотых до двадцатью одной целой нолём сотых."
"Площадь водосборного бассейна — 77,9 км².",Площадь водосборного бассейна — семьдесят семь целых девять десятых км².
"1,839",одна целая восемьсот тридцать девять тысячных
"1,419",одна целая четыреста девятнадцать тысячных
"54,796",пятьдесят четыре целых семьсот девяносто шесть тысячных
"35,630",тридцать пять целых шестьсот тридцать тысячных
"1,950",одна целая девятьсот пятьдесят тысячных
"2,101",две целых сто одна тысячная
"0,782",ноль целых семьсот восемьдесят две тысячных
"1,839",одна целая восемьсот тридцать девять тысячных
"По оценкам Nielsen Media Research трансляция первого эпизода на CBS привлекла порядка 9,5 млн зрителей.",По оценкам Nielsen Media Research трансляция первого эпизода на CBS привлекла порядка девять целых пять десятых млн зрителей.
"Согласно наиболее широко поддерживаемой в научном сообществе теории, Меркурий изначально имел такое же соотношение металла и силикатов, как в обычном метеорите, имея массу в 2,25 раза больше, чем сейчас.","Согласно наиболее широко поддерживаемой в научном сообществе теории, Меркурий изначально имел такое же соотношение металла и силикатов, как в обычном метеорите, имея массу в две целых двадцать пять сотых раза больше, чем сейчас."
"Эта структура, как полагают, появилась в результате фракционной кристаллизации из глобального океана магмы вскоре после образования Луны 4,5 миллиарда лет назад.","Эта структура, как полагают, появилась в результате фракционной кристаллизации из глобального океана магмы вскоре после образования Луны четыре целых пять десятых миллиарда лет назад."
"Выше по течению на расстоянии в 2,5 км расположено село Александровка Первая,","Выше по течению на расстоянии в две целых пять десятых км расположено село Александровка Первая,"
"По данным Бюро переписи населения США площадь тауншипа составляет 38,7 км², из которых 38,7 км² занимает суша, водоёмов нет.","По данным Бюро переписи населения США площадь тауншипа составляет тридцати восьми целых семи десятых км², из которых тридцати восьми целых семи десятых км² занимает суша, водоёмов нет."
"Плотность населения —  7,4 чел./км².",Плотность населения —  семь целых четыре десятых чел./км².
"Расовый состав населения: 97,54 % белых, 0,70 % коренных американцев, 0,35 % азиатов, 1,40 % — других рас США.","Расовый состав населения: девяносто семь целых пятьдесят четыре сотых % белых, ноль целых семьдесят сотых % коренных американцев, ноль целых тридцать пять сотых % азиатов, одна целая сорок сотых % — других рас США."
"Средний размер домохозяйства — 3,10, а семьи — 3,38 человека.","Средний размер домохозяйства — три целых десять сотых, а семьи — три целых тридцать восемь сотых человека."
"Он был найден совместно с раковинами двустворок и в виде отдельных мелких диаметром 2,5 мм сферических, эллипсоидальных и полусферических жемчужин, находящихся в слое перламутра.","Он был найден совместно с раковинами двустворок и в виде отдельных мелких диаметром двух целых пяти десятых мм сферических, эллипсоидальных и полусферических жемчужин, находящихся в слое перламутра."
"Занимает площадь 23,64 км².",Занимает площадь двадцати трёх целых шестидесяти четырёх сотых км².
"К проволоке подключают заземленный генератор импульсов, который генерирует импульсы продолжительностью 0,6 секунды.","К проволоке подключают заземленный генератор импульсов, который генерирует импульсы продолжительностью ноля целых шести десятых секунды."
"Перерыв между импульсами составляет 0,8 секунды.",Перерыв между импульсами составляет ноль целых восемь десятых секунды.
Для кодирования этого расстройства по DSM-III-R использовался код 301.90 «расстройство личности БДУ (самоповреждающее расстройство личности)» (англ. Personality Disorder NOS (Self-defeating Personality Disorder)).,Для кодирования этого расстройства по DSM-III-R использовался код триста одна целая девяносто сотых «расстройство личности БДУ (самоповреждающее расстройство личности)» (англ. Personality Disorder NOS (Self-defeating Personality Disorder)).
"Их рост был около 1,2 м, они покрыты шерстью и жиром, имеют когти для рытья нор, морды были с большими зубами.","Их рост был около одной целой двух десятых м, они покрыты шерстью и жиром, имеют когти для рытья нор, морды были с большими зубами."
"Голова широкая и слегка сплюснутая (ширина — 0,76 мм), длина груди 1,4 мм.","Голова широкая и слегка сплюснутая (ширина — ноль целых семьдесят шесть сотых мм), длина груди одной целой четырёх десятых мм."
"Глаза расположены в задней половине головы, мелкие (их длина 0,21 мм, ширина — 0,13 мм).","Глаза расположены в задней половине головы, мелкие (их длина ноль целых двадцать одна сотая мм, ширина — ноль целых тринадцать сотых мм)."
"Оцеллии крупные (диаметром около 0,06).",Оцеллии крупные (диаметром около ноля целых шести сотых).
"Парк имеет площадь 162,65 км².",Парк имеет площадь сто шестидесяти двух целых шестидесяти пяти сотых км².
"Ближайший более-менее крупный населённый пункт — Мейдена (около 4,5 км по прямой).",Ближайший более-менее крупный населённый пункт — Мейдена (около четырёх целых пяти десятых км по прямой).
"85,17 % населения исповедуют индуизм;",восемьдесят пять целых семнадцать сотых % населения исповедуют индуизм;
"11,73 % — буддизм;",одиннадцать целых семьдесят три сотых % — буддизм;
"1,72 % — христианство и 0,10 % — ислам.",одна целая семьдесят две сотых % — христианство и ноль целых десять сотых % — ислам.
"Среднегодовая температура воздуха — 3,3 °С.",Среднегодовая температура воздуха — три целых три десятых °С.
"Отличаются следующими  признаками: нет гиперзатылочного киля; темя, лоб и среднеспинка гладкие; у самки антенномер A9 едва равен ширине; длина переднего крыла в 2,6 раза длиннее его ширины, краевые реснички едва ли превышают 0,1 ширины крыла; брюшко самок короткое.","Отличаются следующими  признаками: нет гиперзатылочного киля; темя, лоб и среднеспинка гладкие; у самки антенномер A9 едва равен ширине; длина переднего крыла в две целых шесть десятых раза длиннее его ширины, краевые реснички едва ли превышают ноль целых одна десятая ширины крыла; брюшко самок короткое."
"По ложу протекает сезонный водоток, устье которого находится в 4,1 км по правому берегу реки Избуха.","По ложу протекает сезонный водоток, устье которого находится в четыре целых одну десятую км по правому берегу реки Избуха."
"Расстояние до центральной части города составляет более 2,5 км.",Расстояние до центральной части города составляет более двух целых пяти десятых км.
"Для подготовки автотормозов к действию в ТМ создаётся так называемое зарядное давление (обычно — 0,42-0,55 МПа), запасные резервуары заряжаются через ВР-ы, в дальнейшем при движении в ТМ поддерживается зарядное давление.","Для подготовки автотормозов к действию в ТМ создаётся так называемое зарядное давление (обычно — ноль целых сорок две сотых-ноль целых пятьдесят пять сотых МПа), запасные резервуары заряжаются через ВР-ы, в дальнейшем при движении в ТМ поддерживается зарядное давление."
"Площадь — 65,217 км².",Площадь — шестьдесят пять целых двести семнадцать тысячных км².
"69,8 МГц — Радио Маяк (Молчит)",шестьдесят девять целых восемь десятых МГц — Радио Маяк (Молчит)
"90,1 МГц — Радио Рекорд",девяносто целых одна десятая МГц — Радио Рекорд
"100,6 МГц — Радио Шансон",сто целых шесть десятых МГц — Радио Шансон
"101,1 МГц — Радио России / ГТРК Югория",сто одна целая одна десятая МГц — Радио России / ГТРК Югория
"101,6 МГц — Русское радио",сто одна целая шесть десятых МГц — Русское радио
"102,1 МГц — Авторадио",сто две целых одна десятая МГц — Авторадио
"102,5 МГц — Радио Югра",сто две целых пять десятых МГц — Радио Югра
"102,9 МГц — Ретро FM",сто две целых девять десятых МГц — Ретро FM
"104,4 МГц — Радио Дача",сто четыре целых четыре десятых МГц — Радио Дача
"105,8 МГц — Европа Плюс",сто пять целых восемь десятых МГц — Европа Плюс
"106,8 МГц — Норд FM",сто шесть целых восемь десятых МГц — Норд FM
"Самый тёплый месяц июль — средняя температура составляет 17,5 °C, самый холодный месяц январь — средняя температура −16,5 °C.","Самый тёплый месяц июль — средняя температура составляет семнадцати целых пяти десятых °C, самый холодный месяц январь — средняя температура −шестнадцати целых пяти десятых °C."
"Относительная влажность воздуха — 74,7 %",Относительная влажность воздуха — семьдесят четыре целых семь десятых %
"Средняя скорость ветра — 3,1 м/с",Средняя скорость ветра — три целых одна десятая м/с
03.2005 — 09.2005 — помощник и. о. Президента Кыргызской Республики.,три целых две тысяча пять десятитысячных — девять целых две тысяча пять десятитысячных — помощник и. о. Президента Кыргызской Республики.
С 09.2005 — директор Центра конкурентоспособности агробизнеса.,С девять целых две тысяча пять десятитысячных — директор Центра конкурентоспособности агробизнеса.
С 10.2013 по 01.2016 год — руководитель ряда бизнес-структур в Бишкеке КР (в частности Бизнес-Центра «Ала-Тоо»).,С десять целых две тысяча тринадцать десятитысячных по одной целой двум тысяче шестнадцати десятитысячных год — руководитель ряда бизнес-структур в Бишкеке КР (в частности Бизнес-Центра «Ала-Тоо»).
"C 01.2016 по 05.2018 год — Генеральный директор крупной агропромышленной компании «Агро Эко» (Россия, Поволжье)","C одна целая две тысяча шестнадцать десятитысячных по пяти целых двум тысяче восемнадцати десятитысячных год — Генеральный директор крупной агропромышленной компании «Агро Эко» (Россия, Поволжье)"
"Овальная котловина подпрудного типа вытянута с юго-запада на северо-восток на 11,4 км при максимальной ширине 7,8 км.",Овальная котловина подпрудного типа вытянута с юго-запада на северо-восток на одиннадцати целых четырёх десятых км при максимальной ширине семи целых восьми десятых км.
"Береговая линия длиной 33,4 км — плавная, бухт и заливов не образует.","Береговая линия длиной тридцати трёх целых четырёх десятых км — плавная, бухт и заливов не образует."
"ОстроваВ северо-западной части озера находится остров площадью 4,85 км², в древности именовавшийся Дунанем или Ду.","ОстроваВ северо-западной части озера находится остров площадью четырёх целых восьмидесяти пяти сотых км², в древности именовавшийся Дунанем или Ду."
"Средняя плотность населения в крае 1,63 чел./км², в северных и центральных районах региона она не превышает 0,1 — 0,2 чел./км², что соответствует показателям крайнего севера.","Средняя плотность населения в крае одна целая шестьдесят три сотых чел./км², в северных и центральных районах региона она не превышает ноль целых одна десятая — ноль целых две десятых чел./км², что соответствует показателям крайнего севера."
"В лесопромышленном комплексе края занято 15,5 тыс. человек.",В лесопромышленном комплексе края занято пятнадцать целых пять десятых тыс. человек.
"— молока — 25,4 тыс. тонн, в том числе в сельскохозяйственных организациях — 10,2 тыс. тонн;","— молока — двадцать пять целых четыре десятых тыс. тонн, в том числе в сельскохозяйственных организациях — десять целых две десятых тыс. тонн;"
"— мяса скота и птицы — 14,7 тыс. тонн, в том числе в сельскохозяйственных организациях — 2,2 тыс. тонн;","— мяса скота и птицы — четырнадцать целых семь десятых тыс. тонн, в том числе в сельскохозяйственных организациях — две целых две десятых тыс. тонн;"
"— яиц — 307,8 млн штук, в том числе в сельскохозяйственных организациях — 288,2 млн штук.","— яиц — триста семь целых восемь десятых млн штук, в том числе в сельскохозяйственных организациях — двести восемьдесят восемь целых две десятых млн штук."
"— крупного рогатого скота — 17,0 тыс. голов, в том числе в сельхозорганизациях — 7,8 тыс. голов;","— крупного рогатого скота — семнадцать целых ноль десятых тыс. голов, в том числе в сельхозорганизациях — семь целых восемь десятых тыс. голов;"
"— коров −6,7 тыс. голов, в том числе в сельхозорганизациях — 3,2 тыс. голов;","— коров −шесть целых семь десятых тыс. голов, в том числе в сельхозорганизациях — три целых две десятых тыс. голов;"
"— свиней — 16,2 тыс. голов, в том числе в сельхозорганизациях — 2,3 тыс. голов;","— свиней — шестнадцать целых две десятых тыс. голов, в том числе в сельхозорганизациях — две целых три десятых тыс. голов;"
"Из этого объёма на свинину пришлось 61,4 %, на говядину — 16,9 %, на баранину и козлятину — 0,4 %, на мясо птицы — 20,9 % (5,0 тыс. тонн в живом весе, 3,7 тыс. тонн в перерасчёте на убойный вес).","Из этого объёма на свинину пришлось шестьдесят одна целая четыре десятых %, на говядину — шестнадцать целых девять десятых %, на баранину и козлятину — ноль целых четыре десятых %, на мясо птицы — двадцать целых девять десятых % (пять целых ноль десятых тыс. тонн в живом весе, три целых семь десятых тыс. тонн в перерасчёте на убойный вес)."
"— зерновых и зернобобовых культур — 9,3 тыс. тонн;",— зерновых и зернобобовых культур — девять целых три десятых тыс. тонн;
"— сои — 31,6 тыс. тонн;",— сои — тридцать одна целая шесть десятых тыс. тонн;
"— картофеля — 68,7 тыс. тонн;",— картофеля — шестьдесят восемь целых семь десятых тыс. тонн;
"— овощей — 35,5 тыс. тонн.",— овощей — тридцать пять целых пять десятых тыс. тонн.
"В Хабаровском крае занимаются выращиванием таких культур, как пшеница (валовые сборы — 2,5 тыс. тонн, посевные площади — 1,6 тыс. га), ячмень (2,1 тыс. тонн, 1,7 тыс. га), овёс (7,3 тыс. тонн, 4,5 тыс. га), кукуруза (3,0 тыс. тонн, 1,0 тыс. га), гречиха (0,02 тыс. тонн, 0,03 тыс. га), соевые бобы (29,4 тыс. тонн, 25,0 тыс. га), картофель (17,0 тыс. тонн, 1,5 тыс. га — без учёта хозяйств населения), овощи открытого грунта (4,7 тыс. тонн, 0,7 тыс. га — без учёта хозяйств населения), бахчевые продовольственные культуры (3,5 тыс. тонн, 0,2 тыс. га — без учёта хозяйств населения).","В Хабаровском крае занимаются выращиванием таких культур, как пшеница (валовые сборы — две целых пять десятых тыс. тонн, посевные площади — одна целая шесть десятых тыс. га), ячмень (две целых одна десятая тыс. тонн, одна целая семь десятых тыс. га), овёс (семь целых три десятых тыс. тонн, четыре целых пять десятых тыс. га), кукуруза (три целых ноль десятых тыс. тонн, одна целая ноль десятых тыс. га), гречиха (ноль целых две сотых тыс. тонн, ноль целых три сотых тыс. га), соевые бобы (двадцать девять целых четыре десятых тыс. тонн, двадцать пять целых ноль десятых тыс. га), картофель (семнадцать целых ноль десятых тыс. тонн, одна целая пять десятых тыс. га — без учёта хозяйств населения), овощи открытого грунта (четыре целых семь десятых тыс. тонн, ноль целых семь десятых тыс. га — без учёта хозяйств населения), бахчевые продовольственные культуры (три целых пять десятых тыс. тонн, ноль целых две десятых тыс. га — без учёта хозяйств населения)."
"Основные параметрыВысота: 270,1 м (антенна), 216,4 м (крыша), 3,81 м (от пола до пола)","Основные параметрыВысота: двести семьдесят целых одна десятая м (антенна), двести шестнадцать целых четыре десятых м (крыша), три целых восемьдесят одна сотая м (от пола до пола)"
"Высота ракеты составляла — 54,9 м, диаметр — 3,7 м.","Высота ракеты составляла — пятидесяти четырёх целых девяти десятых м, диаметр — три целых семь десятых м."
"Высота ракеты увеличилась до 68,4 м, диаметр не изменился — 3,7 м.","Высота ракеты увеличилась до шестидесяти восьми целых четырёх десятых м, диаметр не изменился — три целых семь десятых м."
"Для одноразового варианта ракеты-носителя масса выводимого груза на НОО составит до 63,8 т, на ГПО — 26,7 т, до 16,8 т на Марс и до 3,5 т на Плутон.","Для одноразового варианта ракеты-носителя масса выводимого груза на НОО составит до шестидесяти трёх целых восьми десятых т, на ГПО — двадцать шесть целых семь десятых т, до шестнадцати целых восьми десятых т на Марс и до трёх целых пяти десятых т на Плутон."
"6,75 Махов).",шесть целых семьдесят пять сотых Махов).
"Девять двигателей ступени работали в течение 2,5 минут, что соответствует отрезку работы первой ступени при запуске.","Девять двигателей ступени работали в течение две целых пять десятых минут, что соответствует отрезку работы первой ступени при запуске."
Starlink v1.0 L28 mission to complete first “shell” of satellites for worldwide coverage (англ.).,Starlink v1.0 L28 mission to complete first “shell” of satellites for worldwide coverage (англ.).
"В фюзеляже находится расходный бак емкостью 13,5 л.",В фюзеляже находится расходный бак емкостью тринадцати целых пяти десятых л.
Длина: 8.50 м,Длина: восемь целых пятьдесят сотых м
Размах крыла: 9.40 м,Размах крыла: девять целых сорок сотых м
Площадь крыла: 15.40 м²,Площадь крыла: пятнадцать целых сорок сотых м²
"Село Новониколаевка находится на расстоянии в 0,5 км от села Марьяновка.",Село Новониколаевка находится на расстоянии в ноль целых пять десятых км от села Марьяновка.
"Площадь музея-заповедника составляет 88,7 га.",Площадь музея-заповедника составляет восьмидесяти восьми целых семи десятых га.
(CC BY-SA 3.0),(CC BY-SA три целых ноль десятых)
"Основные характеристики: полная длина составляла от шести до восьми метров, ширина — около двух метров, высота борта 0,9 метра, осадка — полметра, грузоподъёмность — около трёх тонн.","Основные характеристики: полная длина составляла от шести до восьми метров, ширина — около двух метров, высота борта ноль целых девять десятых метра, осадка — полметра, грузоподъёмность — около трёх тонн."
(CC BY-SA 3.0),(CC BY-SA три целых ноль десятых)
"Длина 4,5 мм, ширина 2,1 мм.","Длина четырёх целых пяти десятых мм, ширина двух целых одной десятой мм."
"Пронотум в 1,3 раз шире своей длины и в передней трети с почти параллельными боками.",Пронотум в одну целую три десятых раз шире своей длины и в передней трети с почти параллельными боками.
"Скутеллюм в 1,2 раз длиннее своей ширины, слегка выпуклый, грубо пунктированный.","Скутеллюм в одну целую две десятых раз длиннее своей ширины, слегка выпуклый, грубо пунктированный."
"Надкрылья в 2,5 раз длиннее переднеспинки и в 1,75 длиннее своей ширины.",Надкрылья в две целых пять десятых раз длиннее переднеспинки и в одна целая семьдесят пять сотых длиннее своей ширины.
"Расчетный пролет составляет 16,8 м.",Расчетный пролет составляет шестнадцати целых восьми десятых м.
"Масса — около 0,597 солнечной, радиус — около 0,581 солнечного, светимость — около 0,069 солнечной.","Масса — около ноль целых пятьсот девяносто семь тысячных солнечной, радиус — около ноль целых пятьсот восемьдесят одна тысячная солнечного, светимость — около ноль целых шестьдесят девять тысячных солнечной."
