q,a
"Областной закон «О статусе и границах территорий муниципальных образований в Архангельской области» (текущая редакция от 15.02.2010, возможность просмотра всех промежуточных редакций), (первоначальная редакция от 2004 года)","Областной закон «О статусе и границах территорий муниципальных образований в Архангельской области» (текущая редакция от пятнадцатого февраля две тысячи десятого года, возможность просмотра всех промежуточных редакций), (первоначальная редакция от 2004 года)"
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Гора является краевым комплексным (ландшафтным) памятником природы (Постановление бюро Ставропольского краевого комитета КПСС и исполкома краевого Совета депутатов трудящихся от 15.09.1961 г. № 676 «О мерах по охране природы в крае»).,Гора является краевым комплексным (ландшафтным) памятником природы (Постановление бюро Ставропольского краевого комитета КПСС и исполкома краевого Совета депутатов трудящихся от пятнадцатого сентября тысяча девятьсот шестьдесят первого года г. № 676 «О мерах по охране природы в крае»).
"Победителем стал Марк Уильямс, обыгравший в финале Марка Селби со счётом 9:7.","Победителем стал Марк Уильямс, обыгравший в финале Марка Селби со счётом девять:семь."
Journal of Hymenoptera Research 14:96-101.,Journal of Hymenoptera Research четырнадцать:девяносто шесть-101.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Наиболее успешный период в истории национального футбола — 1960-е и 1970-е годы, когда сборная Заира дважды выигрывала Кубок африканских наций (1968 и 1974), а в 1974 году единственный раз в своей истории приняла участие в чемпионате мира в Германии, где однако уступила все три матча в группе с общим счётом 0:14 (включая рекордное поражение 0:9 от сборной Югославии).","Наиболее успешный период в истории национального футбола — 1960-е и 1970-е годы, когда сборная Заира дважды выигрывала Кубок африканских наций (1968 и 1974), а в 1974 году единственный раз в своей истории приняла участие в чемпионате мира в Германии, где однако уступила все три матча в группе с общим счётом ноль часа четырнадцать минут (включая рекордное поражение ноль:девять от сборной Югославии)."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Герой Социалистического Труда (02.04.1948),Герой Социалистического Труда (второго апреля тысяча девятьсот сорок восьмого года)
орден Ленина (02.04.1948),орден Ленина (второго апреля тысяча девятьсот сорок восьмого года)
Соглашение об экстрадиции (01.10.2018),Соглашение об экстрадиции (первого октября две тысячи восемнадцатого года)
"Его дебютной игрой стал матч 29 мая 1921 года, в котором его команда проиграла «Леньяно» со счётом 1:2.","Его дебютной игрой стал матч 29 мая 1921 года, в котором его команда проиграла «Леньяно» со счётом один:два."
"Первый матч в составе команды Пасторе сыграл 14 октября 1923 года против «Ливорно»; в нём «бьянконери» проиграли 2:3, а первый из двух мячей своей команды забил Пасторе.","Первый матч в составе команды Пасторе сыграл 14 октября 1923 года против «Ливорно»; в нём «бьянконери» проиграли два:три, а первый из двух мячей своей команды забил Пасторе."
"Последний матч за «бьянконери» он сыграл 10 июля 1927 года, в нём «Ювентус» обыграл «Милан» 8:2, а Пасторе забил три гола.","Последний матч за «бьянконери» он сыграл 10 июля 1927 года, в нём «Ювентус» обыграл «Милан» восемь:два, а Пасторе забил три гола."
"В том же сезоне футболист дебютировал в составе второй сборной Италии в матче с Люксембургом, где итальянцы победили 5:1.","В том же сезоне футболист дебютировал в составе второй сборной Италии в матче с Люксембургом, где итальянцы победили пять:один."
"Первый матч за новый клуб он сыграл 2 октября 1927 года, в котором «россонери» победили «Наполи» 5:1, а Пасторе забил один из мячей.","Первый матч за новый клуб он сыграл 2 октября 1927 года, в котором «россонери» победили «Наполи» пять:один, а Пасторе забил один из мячей."
"6 октября 1929 года он провёл первый матч за клуб, в нём ""бьянкочелести""обыграли «Болонью» 3:0, а один из мячей забил Пьеро.","6 октября 1929 года он провёл первый матч за клуб, в нём ""бьянкочелести""обыграли «Болонью» три:ноль, а один из мячей забил Пьеро."
"Последний матч за «россонери» Пьеро провёл 26 мая 1932 года, в нём «Милан» проиграл «Про Патрии» 0:2.","Последний матч за «россонери» Пьеро провёл 26 мая 1932 года, в нём «Милан» проиграл «Про Патрии» ноль:два."
01.04.2002 — 13.05.2002 — заместитель министра внутренних дел Туркменистана по надзору за специализированными учреждениями.,первого апреля две тысячи второго года — тринадцатого мая две тысячи второго года — заместитель министра внутренних дел Туркменистана по надзору за специализированными учреждениями.
13.05.2002 — 21.02.2003 — министр внутренних дел Туркменистана.,тринадцатого мая две тысячи второго года — двадцать первого февраля две тысячи третьего года — министр внутренних дел Туркменистана.
21.02.2003 — 28.11.2003 — заместитель начальника Государственной службы Туркменистана по регистрации иностранных граждан.,двадцать первого февраля две тысячи третьего года — двадцать восьмого ноября две тысячи третьего года — заместитель начальника Государственной службы Туркменистана по регистрации иностранных граждан.
"орден «Туркменбаши» (24.01.2003) — за особые заслуги перед Туркменистаном и его народом, большие успехи в укреплении национальной безопасности государства, образцовое руководство при выполнении специального поручения Президента Туркменистана по раскрытию террористического акта, совершенного 25 ноября 2002 года.","орден «Туркменбаши» (двадцать четвёртого января две тысячи третьего года) — за особые заслуги перед Туркменистаном и его народом, большие успехи в укреплении национальной безопасности государства, образцовое руководство при выполнении специального поручения Президента Туркменистана по раскрытию террористического акта, совершенного 25 ноября 2002 года."
генерал-майор (24.01.2003),генерал-майор (двадцать четвёртого января две тысячи третьего года)
https://utro.ru/news/2003/01/02/119869.shtml,https://utro.ru/news/2003/первого февраля тысяча сто девяносто восьмого года69.shtml
Он дебютировал за сборную Панамы 3 июня 2015 года в товарищеском матче против сборной Эквадора (1:1).,Он дебютировал за сборную Панамы 3 июня 2015 года в товарищеском матче против сборной Эквадора (один:один).
Начало: 17 мая 2010 — 11:54 UTC,Начало: 17 мая 2010 — одиннадцать час пятьдесят четыре минуты UTC
Окончание: 17 мая 2010 — 19:19 UTC,Окончание: 17 мая 2010 — девятнадцать часов девятнадцать минут UTC
Начало: 19 мая 2010 — 10:38 UTC,Начало: 19 мая 2010 — десять часа тридцать восемь минуты UTC
Окончание: 19 мая 2010 — 17:47 UTC,Окончание: 19 мая 2010 — семнадцать часов сорок семь минуты UTC
Начало: 21 мая 2010 — 10:27 UTC,Начало: 21 мая 2010 — десять часа двадцать семь минуты UTC
Окончание: 21 мая 2010 — 17:13 UTC,Окончание: 21 мая 2010 — семнадцать часов тринадцать минут UTC
18:20 14 мая — 00:20 15 мая,восемнадцать часов двадцать минут 14 мая — ноль часа двадцать минут 15 мая
8:20 15 мая — 23:20 15 мая,восемь часов двадцать минут 15 мая — двадцать три часа двадцать минут 15 мая
7:20 16 мая — 22:50 16 мая,семь часов двадцать минут 16 мая — двадцать два часа пятьдесят минут 16 мая
7:20 17 мая — 22:50 17 мая,семь часов двадцать минут 17 мая — двадцать два часа пятьдесят минут 17 мая
6:50 18 мая — 22:50 18 мая,шесть часов пятьдесят минут 18 мая — двадцать два часа пятьдесят минут 18 мая
6:20 19 мая — 21:50 19 мая,шесть часов двадцать минут 19 мая — двадцать один час пятьдесят минут 19 мая
5:50 20 мая — 21:50 20 мая,пять часов пятьдесят минут 20 мая — двадцать один час пятьдесят минут 20 мая
5:50 21 мая — 21:20 21 мая,пять часов пятьдесят минут 21 мая — двадцать один час двадцать минут 21 мая
5:20 22 мая — 20:50 22 мая,пять часов двадцать минут 22 мая — двадцать часа пятьдесят минут 22 мая
4:50 23 мая — 20:50 23 мая,четыре часа пятьдесят минут 23 мая — двадцать часа пятьдесят минут 23 мая
4:50 24 мая — 20:20 24 мая,четыре часа пятьдесят минут 24 мая — двадцать часа двадцать минут 24 мая
4:20 25 мая — 20:20 25 мая,четыре часа двадцать минут 25 мая — двадцать часа двадцать минут 25 мая
4:20 26 мая — 12:48 26 мая,четыре часа двадцать минут 26 мая — двенадцать часа сорок восемь минуты 26 мая
"Эгеоном, в соотношении 6:7, который вызывает 4-летние 4-километровые колебания большой полуоси орбиты Эгеона;","Эгеоном, в соотношении шесть:семь, который вызывает 4-летние 4-километровые колебания большой полуоси орбиты Эгеона;"
"Тефией, в соотношении 4:2 (Мимас-Тефия);","Тефией, в соотношении четыре:два (Мимас-Тефия);"
"Пандорой, в соотношении 3:2 (Мимас-Пандора).","Пандорой, в соотношении три:два (Мимас-Пандора)."
Законом Пермского края от 08.12.2021 № 29-ПК к 23 декабря 2021 года упраздняется.,Законом Пермского края от восьмого декабря две тысячи двадцать первого года № 29-ПК к 23 декабря 2021 года упраздняется.
«Московский комсомолец» 13.04.1989 («Фестиваль надежд — 89»),«Московский комсомолец» тринадцатого апреля тысяча девятьсот восемьдесят девятого года («Фестиваль надежд — 89»)
"…26.05.1943 г. рота из 6-о воздушного полка (базировавшаяся в Марино-Поле — прим.ред.), под руководством офицеров Димитра Списаревского и Виктора Евстатиева (Павлова) упорно обыскивает леса в окрестностях Карлово, задерживает одного партизана и ранит другого…","…двадцать шестого мая тысяча девятьсот сорок третьего года г. рота из 6-о воздушного полка (базировавшаяся в Марино-Поле — прим.ред.), под руководством офицеров Димитра Списаревского и Виктора Евстатиева (Павлова) упорно обыскивает леса в окрестностях Карлово, задерживает одного партизана и ранит другого…"
27 января 1924 года в 16:00 первыми заступили на пост Григорий Коблов и Арсентий Кашкин.,27 января 1924 года в шестнадцать часов ноль минут первыми заступили на пост Григорий Коблов и Арсентий Кашкин.
6 октября 1993 года в 16:00 разводящий сержант Олег Замоткин увёл последнюю смену.,6 октября 1993 года в шестнадцать часов ноль минут разводящий сержант Олег Замоткин увёл последнюю смену.
12 декабря 1997 года в 8:00 первый разводящий почётного караула старший сержант М. П. Волгунов вывел на главный пост страны первую смену в составе ефрейторов Р. В. Чернобурова и А. Г. Горбашкова.,12 декабря 1997 года в восемь часов ноль минут первый разводящий почётного караула старший сержант М. П. Волгунов вывел на главный пост страны первую смену в составе ефрейторов Р. В. Чернобурова и А. Г. Горбашкова.
"Согласно Указу, подписанному Борисом Ельциным 9 декабря 1997 года, смена караула происходила ежедневно каждый час с 8:00 до 20:00.","Согласно Указу, подписанному Борисом Ельциным 9 декабря 1997 года, смена караула происходила ежедневно каждый час с восемь часов ноль минут до двадцать часа ноль минут."
"— «The Moscow Times», 06.10.2011.","— «The Moscow Times», шестого октября две тысячи одиннадцатого года."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Трудности испытала лишь «Кешля», после первого тайма оставшаяся в меньшинстве при счёте 1:1, но и в этой ситуации сумела одолеть противника во второй половине поединка, забив два мяча.","Трудности испытала лишь «Кешля», после первого тайма оставшаяся в меньшинстве при счёте один:один, но и в этой ситуации сумела одолеть противника во второй половине поединка, забив два мяча."
"В ответных встречах «Зиря» лишь в дополнительное время сумела сломить сопротивление «Сабаила», «Габала» одержала победу и в гостевом матче, хотя и пропустив на этот раз два гола, «Сумгаит» (клуб с самым маленьким бюджетом в азербайджанской Премьер-лиге на то время) сумел во второй раз подряд выбить «Нефтчи» из кубка (0:0 в ответной игре), а «Карабах» уверенно переиграл ослабленную потерями «Кешля».","В ответных встречах «Зиря» лишь в дополнительное время сумела сломить сопротивление «Сабаила», «Габала» одержала победу и в гостевом матче, хотя и пропустив на этот раз два гола, «Сумгаит» (клуб с самым маленьким бюджетом в азербайджанской Премьер-лиге на то время) сумел во второй раз подряд выбить «Нефтчи» из кубка (ноль:ноль в ответной игре), а «Карабах» уверенно переиграл ослабленную потерями «Кешля»."
"Пропустив первый матч против сборной США (0:3), затем полностью отыграл поединок с Бельгией (1:0).","Пропустив первый матч против сборной США (ноль:три), затем полностью отыграл поединок с Бельгией (один:ноль)."
"Ленский район был образован в составе Северо-Двинской губернии 1 июня 1924 года (постановлением ВЦИК от 19.04.1924, упразднившим уезды и волости и создавшим новое административное деление — районы и сельсоветы).","Ленский район был образован в составе Северо-Двинской губернии 1 июня 1924 года (постановлением ВЦИК от девятнадцатого апреля тысяча девятьсот двадцать четвёртого года, упразднившим уезды и волости и создавшим новое административное деление — районы и сельсоветы)."
Ненецкий автономный округ: карта региона:,Ненецкий автономный округ: карта региона:
"М 1:500 000, карты Новой Земли, Земли Франца-Иосифа, Соловецких островов, планы городов Архангельска, Северодвинска, Новодвинска: М 1:40 000.","М один:пятьсот 000, карты Новой Земли, Земли Франца-Иосифа, Соловецких островов, планы городов Архангельска, Северодвинска, Новодвинска: М один час сорок минут 000."
Баклажаны в армянской кухне фаршируют горохом и сыром или сочетают их с тыквой и стручковой фасолью в пропорции 2:1:1.,Баклажаны в армянской кухне фаршируют горохом и сыром или сочетают их с тыквой и стручковой фасолью в пропорции два:один:1.
Федеральный Закон Российской Федерации — России «О недрах» от 21.02.1992 N 2395-1 относит подземные воды к общераспространенным полезным ископаемым.,Федеральный Закон Российской Федерации — России «О недрах» от двадцать первого февраля тысяча девятьсот девяносто второго года N от двух тысячи трёхсот девяноста пяти до одного относит подземные воды к общераспространенным полезным ископаемым.
"Статья 10 п.4 Закон России от 21.02.1992 N 2395-1 (ред. от 28.12.2013) «О недрах» (с изм. и доп., вступ. в силу с 01.07.2014) ограничивает предоставление участков недр на определённый срок или без ограничения срока.","Статья 10 п.4 Закон России от двадцать первого февраля тысяча девятьсот девяносто второго года N от двух тысячи трёхсот девяноста пяти до одного (ред. от двадцать восьмого декабря две тысячи тринадцатого года) «О недрах» (с изм. и доп., вступ. в силу с первого июля две тысячи четырнадцатого года) ограничивает предоставление участков недр на определённый срок или без ограничения срока."
"«Справочник по бурению скважин на воду», Недра, Москва, 1979 г., 560 стр., УДК: (622.143:628.1) (031);","«Справочник по бурению скважин на воду», Недра, Москва, 1979 г., 560 стр., УДК: (622.сто сорок три:шестьсот двадцать восемь.1) (031);"
"Например, в письме от 21.12.1945 он извещает настоятеля Christ Church в Кембридже пастора Гардинера М. Дея, что его одиннадцатилетний сын Дмитрий не будет участвовать в сборе одежды для немецких детей.","Например, в письме от двадцать первого декабря тысяча девятьсот сорок пятого года он извещает настоятеля Christ Church в Кембридже пастора Гардинера М. Дея, что его одиннадцатилетний сын Дмитрий не будет участвовать в сборе одежды для немецких детей."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Благодаря применению при строительстве оптических поправок, строгой закономерности в построении каждого элемента (основные членения собора соотносятся между собой по высоте, как 3:5:8, что соответствует пропорциям золотого сечения), крутой форме арок и сводов создаётся впечатление большей высоты в храме, нежели в реальности.","Благодаря применению при строительстве оптических поправок, строгой закономерности в построении каждого элемента (основные членения собора соотносятся между собой по высоте, как три:пять:8, что соответствует пропорциям золотого сечения), крутой форме арок и сводов создаётся впечатление большей высоты в храме, нежели в реальности."
"Навроцкий Григорий Мануилович (22.03.1902, с. Нижний Рогачек, ныне Мелитопольского района Запорожской области, Украина — 22.03.1971, Одесса, Украина) - украинец; контр-адмирал (11.05.1949).","Навроцкий Григорий Мануилович (двадцать второго марта тысяча девятьсот второго года, с. Нижний Рогачек, ныне Мелитопольского района Запорожской области, Украина — двадцать второго марта тысяча девятьсот семьдесят первого года, Одесса, Украина) - украинец; контр-адмирал (одиннадцатого мая тысяча девятьсот сорок девятого года)."
Краснофлотец Учебного отряда МСЧМ (Морских Сил Черного моря) (г. Севастополь) (10.1924-10.1926).,Краснофлотец Учебного отряда МСЧМ (Морских Сил Черного моря) (г. Севастополь) (10.с тысяча девятьсот двадцать четвёртого по десять целых одну тысячу девятьсот двадцать шесть десятитысячных).
"Командир 2-го дивизиона 2-й морской бригады (7.1933-4.1935), дивизиона 3-й морской бригады (4.1935-9.1936), 3-го дивизиона (9.1936-10.1937), 7-го отдельного дивизиона Сучанского укрепрайона (10.1937-9.1938), 2-й и 3-й бригад торпедных катеров, начальник штаба Сучанского укрепрайона (9.1938-4.1940) Тихоокеанского флота.","Командир 2-го дивизиона 2-й морской бригады (7.от тысячи девятисот тридцати трёх до четырёх целых одной тысячи девятисот тридцати пяти десятитысячных), дивизиона 3-й морской бригады (4.от тысячи девятисот тридцати пяти до девяти целых одной тысячи девятисот тридцати шести десятитысячных), 3-го дивизиона (9.от тысячи девятисот тридцати шести до десяти целых одной тысячи девятисот тридцати семи десятитысячных), 7-го отдельного дивизиона Сучанского укрепрайона (10.от тысячи девятисот тридцати семи до девяти целых одной тысячи девятисот тридцати восьми десятитысячных), 2-й и 3-й бригад торпедных катеров, начальник штаба Сучанского укрепрайона (9.от тысячи девятисот тридцати восьми до четырёх целых одной тысячи девятисот сорока десятитысячных) Тихоокеанского флота."
"Сборная России по футболу впервые с 2002 года попала в финальную стадию чемпионата мира, сыграв в последнем отборочном турнире вничью со сборной Азербайджана 1:1.","Сборная России по футболу впервые с 2002 года попала в финальную стадию чемпионата мира, сыграв в последнем отборочном турнире вничью со сборной Азербайджана один:один."
"В том розыгрыше «Ведрич» дошёл до финала Кубка Белоруссии, в котором уступил со счётом 1:2 «Неману» Гродно.","В том розыгрыше «Ведрич» дошёл до финала Кубка Белоруссии, в котором уступил со счётом один:два «Неману» Гродно."
Некоторые издания альбома включают в себя скрытый трек «Jade» время которого 13:57.,Некоторые издания альбома включают в себя скрытый трек «Jade» время которого тринадцать часа пятьдесят семь минуты.
16 марта 2014 года стал победителем Лиссабонского полумарафона с результатом 59:58.,16 марта 2014 года стал победителем Лиссабонского полумарафона с результатом пятьдесят девять:пятьдесят восемь.
18 мая выиграл Полумарафон Гифу с рекордом трассы — 1:00.02.,18 мая выиграл Полумарафон Гифу с рекордом трассы — один час ноль минут.02.
"Занял 2-е место на Токийском Марафоне 2019 года с результатом 2:06,47.","Занял 2-е место на Токийском Марафоне 2019 года с результатом два часа шесть минут,47."
"Особняком стоят два матча против «Челси» в третьем раунде (1/32 финала) Кубка УЕФА 2001/2002: в первом матче израильтяне обыграли «синих» со счётом 2:0, чей состав которых был и так ослаблен из-за отказа ряда игроков от участия в матче по соображениям безопасности, а во втором матче только усилиями Элимелеха удержали ничью 1:1 — при 90 минутах штурма израильских ворот Элимелех отразил почти все удары английской команды.","Особняком стоят два матча против «Челси» в третьем раунде (1/32 финала) Кубка УЕФА 2001/2002: в первом матче израильтяне обыграли «синих» со счётом два:ноль, чей состав которых был и так ослаблен из-за отказа ряда игроков от участия в матче по соображениям безопасности, а во втором матче только усилиями Элимелеха удержали ничью один:один — при 90 минутах штурма израильских ворот Элимелех отразил почти все удары английской команды."
Орден Трудовой Славы I степени (05.12.1985);,Орден Трудовой Славы I степени (пятого декабря тысяча девятьсот восемьдесят пятого года);
Орден Трудовой Славы II степени (16.12.1980);,Орден Трудовой Славы II степени (шестнадцатого декабря тысяча девятьсот восьмидесятого года);
Орден Трудовой Славы III степени (14.02.1975).,Орден Трудовой Славы III степени (четырнадцатого февраля тысяча девятьсот семьдесят пятого года).
Победу удалось одержать лишь над командой «Звезда» (Чебаркуль) со счётом 6:5.,Победу удалось одержать лишь над командой «Звезда» (Чебаркуль) со счётом шесть:пять.
"В своём первом матче в МХЛ, который проходил 22 сентября, «Стальные Львы» в гостях не оставили никаких шансов «Кристалл-Юниору», разгромив хозяев площадки в Саратове со счётом 8:3.","В своём первом матче в МХЛ, который проходил 22 сентября, «Стальные Львы» в гостях не оставили никаких шансов «Кристалл-Юниору», разгромив хозяев площадки в Саратове со счётом восемь:три."
"В плей-офф команда дошла до четвертьфинала, где со счётом 1:3 в серии уступила будущему чемпиону лиги — команде «Октан» (Пермь).","В плей-офф команда дошла до четвертьфинала, где со счётом один:три в серии уступила будущему чемпиону лиги — команде «Октан» (Пермь)."
орден Отечественной войны I степени (11.03.1985),орден Отечественной войны I степени (одиннадцатого марта тысяча девятьсот восемьдесят пятого года)
орден Славы I степени(27.06.1945),орден Славы I степени(двадцать седьмого июня тысяча девятьсот сорок пятого года)
орден Славы II степени(30.04.1944),орден Славы II степени(тридцатого апреля тысяча девятьсот сорок четвёртого года)
орден Славы III степени (30.04.1944),орден Славы III степени (тридцатого апреля тысяча девятьсот сорок четвёртого года)
За боевые заслуги (22.11.1943),За боевые заслуги (двадцать второго ноября тысяча девятьсот сорок третьего года)
Медаль «Золотая Звезда» (30.10.1943);,Медаль «Золотая Звезда» (тридцатого октября тысяча девятьсот сорок третьего года);
Два ордена Ленина (30.10.1943;,Два ордена Ленина (тридцатого октября тысяча девятьсот сорок третьего года;
20.06.1949);,двадцатого июня тысяча девятьсот сорок девятого года);
Орден Октябрьской Революции (23.05.1983);,Орден Октябрьской Революции (двадцать третьего мая тысяча девятьсот восемьдесят третьего года);
Три ордена Красного Знамени (24.01.1943;,Три ордена Красного Знамени (двадцать четвёртого января тысяча девятьсот сорок третьего года;
03.11.1944;,третьего ноября тысяча девятьсот сорок четвёртого года;
03.11.1953);,третьего ноября тысяча девятьсот пятьдесят третьего года);
Два ордена Суворова II степени (16.09.1943;,Два ордена Суворова II степени (шестнадцатого сентября тысяча девятьсот сорок третьего года;
23.09.1944);,двадцать третьего сентября тысяча девятьсот сорок четвёртого года);
Два ордена Отечественной войны I степени (15.04.1943;,Два ордена Отечественной войны I степени (пятнадцатого апреля тысяча девятьсот сорок третьего года;
06.04.1985);,шестого апреля тысяча девятьсот восемьдесят пятого года);
Орден Красной Звезды (22.02.1942);,Орден Красной Звезды (двадцать второго февраля тысяча девятьсот сорок второго года);
Мать — Гунина Алла Дмитриевна (15.11.1940 — 26.11.2022),Мать — Гунина Алла Дмитриевна (пятнадцатого ноября тысяча девятьсот сорокового года — двадцать шестого ноября две тысячи двадцать второго года)
"Отец — Пешков Дмитрий Павлович (25.10.1908 — 23.06.1995) являлся руководителем организации Коммунистической партии Советского Союза по Нерчинскому району Читинской области, работал в администрации Нерчинского района Читинской области (Забайкальский край), мать — Пешкова Анисья Романовна (13.01.1913 — 19.04.1969) — домохозяйка.","Отец — Пешков Дмитрий Павлович (двадцать пятого октября тысяча девятьсот восьмого года — двадцать третьего июня тысяча девятьсот девяносто пятого года) являлся руководителем организации Коммунистической партии Советского Союза по Нерчинскому району Читинской области, работал в администрации Нерчинского района Читинской области (Забайкальский край), мать — Пешкова Анисья Романовна (тринадцатого января тысяча девятьсот тринадцатого года — девятнадцатого апреля тысяча девятьсот шестьдесят девятого года) — домохозяйка."
Отец — Гунин Герман Павлович (13.01.1937 — 04.04.2017),Отец — Гунин Герман Павлович (тринадцатого января тысяча девятьсот тридцать седьмого года — четвёртого апреля две тысячи семнадцатого года)
— 03.08.2011.,— третьего августа две тысячи одиннадцатого года.
Грамота Президента ПМР (14.10.2004),Грамота Президента ПМР (четырнадцатого октября две тысячи четвёртого года)
Медаль «За трудовую доблесть» (ПМР) (26.10.2009),Медаль «За трудовую доблесть» (ПМР) (двадцать шестого октября две тысячи девятого года)
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Канал открылся 9 ноября 1997 года в 17:30 под названием BBC News 24 в рамках массивного вторжения «Би-би-си» в сферу британского цифрового телевидения, составив конкуренцию Sky News, запущенному ещё в 1989 году и тех пор бывшему единственным чисто новостным телеканалом страны.","Канал открылся 9 ноября 1997 года в семнадцать часов тридцать минут под названием BBC News 24 в рамках массивного вторжения «Би-би-си» в сферу британского цифрового телевидения, составив конкуренцию Sky News, запущенному ещё в 1989 году и тех пор бывшему единственным чисто новостным телеканалом страны."
