q,a
"05.05.1990 младшему лейтенанту Литвяк Лидии Владимировне было присвоено звание Герой Советского Союза (посмертно, медаль № 11616 была передана родственникам героини).","пятого мая тысяча девятьсот девяностого года младшему лейтенанту Литвяк Лидии Владимировне было присвоено звание Герой Советского Союза (посмертно, медаль № одиннадцать тысяч шестьсот шестнадцать была передана родственникам героини)."
01.10.1993 старшему лейтенанту Будановой Екатерине Васильевне присвоено звание Герой России (посмертно).,первого октября тысяча девятьсот девяносто третьего года старшему лейтенанту Будановой Екатерине Васильевне присвоено звание Герой России (посмертно).
Герой Советского Союза (24.03.1945).,Герой Советского Союза (двадцать четвёртого марта тысяча девятьсот сорок пятого года).
Смещение применяемого времени относительно UTC составляет +2:00.,Смещение применяемого времени относительно UTC составляет +два часа ноль минут.
2 ноября он дебютировал в составе команды в матче с «Ботафого» (2:3).,Второго ноября он дебютировал в составе команды в матче с «Ботафого» (два:три).
"12 декабря он забил первые два гола за клуб, поразив ворота «Спорт Ресифи» (3:1).","Двенадцатого декабря он забил первые два гола за клуб, поразив ворота «Спорт Ресифи» (три:один)."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"6:16), исцеленный апостолами хромой «вошел с ними в храм, ходя и скача, и хваля Бога» (Деян.","шесть часов шестнадцать минут), исцеленный апостолами хромой «вошел с ними в храм, ходя и скача, и хваля Бога» (Деян."
"3:8), апостол Павел призывает молиться, воздев руки (1Тим.","три:восемь), апостол Павел призывает молиться, воздев руки (одинТим."
"2:8), он же говорит, что незнающие и неверующие, войдя на собрание верующих, могут посчитать, что они беснуются (1Кор.","два:восемь), он же говорит, что незнающие и неверующие, войдя на собрание верующих, могут посчитать, что они беснуются (одинКор."
14:23);,четырнадцать часов двадцать три минуты);
"На чемпионате мира 2010 года провёл в ранге капитана все три матча All Whites против Словакии (1:1), Италии (1:1) и Парагвая (0:0).","На чемпионате мира две тысячи десятого года провёл в ранге капитана все три матча All Whites против Словакии (один:один), Италии (один:один) и Парагвая (ноль:ноль)."
"Волынь, 26.02.2011.","Волынь, двадцать шестого февраля две тысячи одиннадцатого года."
"Советская Волынь, 24.05.1984.","Советская Волынь, двадцать четвёртого мая тысяча девятьсот восемьдесят четвёртого года."
"Волынь, 22.05.2004","Волынь, двадцать второго мая две тысячи четвёртого года"
"Волынь-нова, 29.05.2004.","Волынь-нова, двадцать девятого мая две тысячи четвёртого года."
"Волынь-новая, 19.03.2011, с. 7.","Волынь-новая, девятнадцатого марта две тысячи одиннадцатого года, с. семь."
Командир 3-го полевого жандармского эскадрона (14.07.1895-04.06.1901).,Командир третьего полевого жандармского эскадрона (четырнадцатого июля тысяча восемьсот девяносто пятого года-четвёртого июня тысяча девятьсот первого года).
Командир 33-го драгунского Изюмского полка с 04.06.1901 по 01.12.1907.,Командир тридцать третьего драгунского Изюмского полка с четвёртого июня тысяча девятьсот первого года по первого декабря тысяча девятьсот седьмого года.
Командир 2-й бригады 11-й кавалерийской дивизии (01.12.1907-07.05.1910).,Командир второй бригады одиннадцатой кавалерийской дивизии (первого декабря тысяча девятьсот седьмого года-седьмого мая тысяча девятьсот десятого года).
Командир 1-й бригады той же дивизии (с 07.05.1910).,Командир первой бригады той же дивизии (с седьмого мая тысяча девятьсот десятого года).
Начальник 11-й кавалерийской дивизии (22.10.1914-03.11.1915).,Начальник одиннадцатой кавалерийской дивизии (двадцать второго октября тысяча девятьсот четырнадцатого года-третьего ноября тысяча девятьсот пятнадцатого года).
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Если в первом чемпионате мира кореянки проиграли все три матча сборным Бразилии (0:3), Франции (0:1) и Нигерии (1:7), то в 2015 году кореянки вышли в 1/8 финала со второго места в группе, обыграв Испанию (2:1), сыграв вничью с Коста-Рикой (2:2) и уступив Бразилии (0:2).","Если в первом чемпионате мира кореянки проиграли все три матча сборным Бразилии (ноль:три), Франции (ноль:один) и Нигерии (один:семь), то в две тысячи пятнадцатом году кореянки вышли в один/восемь финала со второго места в группе, обыграв Испанию (два:один), сыграв вничью с Коста-Рикой (два:два) и уступив Бразилии (ноль:два)."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"11 февраля, 20:00","одиннадцатого февраля, двадцать часов ноль минут"
"12 февраля, 15:00","двенадцатого февраля, пятнадцать часов ноль минут"
"13 февраля, 18:00","тринадцатого февраля, восемнадцать часов ноль минут"
"1000 метров — 1:32,00 (2 марта 1940 года, Хамар)","Тысяча метров — один час тридцать две минуты,ноль (второе марта тысяча девятьсот сорокового года, Хамар)"
"Основателем группы, её бессменным лидером, вдохновителем и главной творческой силой является Билли Гиббонс (William «Billy» Frederick Gibbons, род 16.12.1949).","Основателем группы, её бессменным лидером, вдохновителем и главной творческой силой является Билли Гиббонс (William «Billy» Frederick Gibbons, род шестнадцатого декабря тысяча девятьсот сорок девятого года)."
"11.06.1949), формально члены групп The Cellar Dwellers и American Blues.","одиннадцатого июня тысяча девятьсот сорок девятого года), формально члены групп The Cellar Dwellers и American Blues."
19.05.1949).,девятнадцатого мая тысяча девятьсот сорок девятого года).
"Хилл вспоминал: «Я перебрался в Хьюстон, даже не зная, что Фрэнк [Бирд] тоже здесь же.","Хилл вспоминал: «Я перебрался в Хьюстон, даже не зная, что Фрэнк [Бирд] тоже здесь же."
"15 сентября 1991 года в стелу была заложена капсула с посланием к потомкам, которую предполагается вскрыть 15.09.2091 года (по другим сведениям — 15.09.2041 года).","Пятнадцатого сентября тысяча девятьсот девяносто первого года в стелу была заложена капсула с посланием к потомкам, которую предполагается вскрыть пятнадцатого сентября две тысячи девяносто первого года (по другим сведениям — пятнадцатого сентября две тысячи сорок первого года)."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Установлено, что атмосфера планеты и сейчас теряет водород и кислород в соотношении 2:1.","Установлено, что атмосфера планеты и сейчас теряет водород и кислород в соотношении два к одному."
"3 июня 2023 года дебютировал в чемпионате России против «Пари Нижнего Новгорода» (0:2), выйдя на 80-й минуте встречи вместо Александра Руденко.","Третьего июня две тысячи двадцать третьего года дебютировал в чемпионате России против «Пари Нижнего Новгорода» (ноль:два), выйдя на восьмидесятой минуте встречи вместо Александра Руденко."
— 20.06.2013.,— двадцатого июня две тысячи тринадцатого года.
Орден Святой Анны 4-й ст. с надписью «За храбрость» (ВП 21.11.1905),Орден Святой Анны четвертой ст. с надписью «За храбрость» (ВП двадцать первого ноября тысяча девятьсот пятого года)
Орден Святого Станислава 3-й ст. с мечами и бантом (ВП 18.12.1905),Орден Святого Станислава третьей ст. с мечами и бантом (ВП восемнадцатого декабря тысяча девятьсот пятого года)
Орден Святого Владимира 4-й ст. (ВП 28.02.1913),Орден Святого Владимира четвертой ст. (ВП двадцать восьмого февраля тысяча девятьсот тринадцатого года)
мечи и бант к ордену Св.,мечи и бант к ордену Св.
Владимира 4-й ст. (ВП 17.12.1914),Владимира четвертой ст. (ВП семнадцатого декабря тысяча девятьсот четырнадцатого года)
"Дебютировал в составе сборной в матче кубка Ньютона с командой Уругвая в Монтевидео, где Боссио отбил пенальти от уругвайцев, а игра завершилась победой аргентинцев 1:0.","Дебютировал в составе сборной в матче кубка Ньютона с командой Уругвая в Монтевидео, где Боссио отбил пенальти от уругвайцев, а игра завершилась победой аргентинцев один:ноль."
"В первой игре турнира NCAA «Уэбфутс» обыграли «Техас Лонгхорнс» ос счётом 56:41, а затем «Оклахому Сунерс» со счётом 55:37.","В первой игре турнира NCAA «Уэбфутс» обыграли «Техас Лонгхорнс» ос счётом пятьдесят шесть:сорок один, а затем «Оклахому Сунерс» со счётом пятьдесят пять:тридцать семь."
В матче «Уэбфутс» одержали победу со счётом 46:33 и стали первыми в истории победителями турнира NCAA.,В матче «Уэбфутс» одержали победу со счётом сорок шесть:тридцать три и стали первыми в истории победителями турнира NCAA.
Дані про загиблих станом на 17:00.,Дані про загиблих станом на семнадцать часов ноль минут.
"В 1989—1992 годах выступал за «Эребру», 9 апреля 1989 года дебютировал в чемпионате Швеции в игре против «Хальмстада» (2:1).","В тысяча девятьсот восемьдесят девятом по тысяча девятьсот девяносто второй годах выступал за «Эребру», девятого апреля тысяча девятьсот восемьдесят девятого года дебютировал в чемпионате Швеции в игре против «Хальмстада» (два:один)."
младший лейтенант государственной безопасности (19.12.1936),младший лейтенант государственной безопасности (девятнадцатого декабря тысяча девятьсот тридцать шестого года)
старший лейтенант государственной безопасности (19.06.1939),старший лейтенант государственной безопасности (девятнадцатого июня тысяча девятьсот тридцать девятого года)
капитан государственной безопасности (18.05.1942),капитан государственной безопасности (восемнадцатого мая тысяча девятьсот сорок второго года)
Орден Красной Звезды (28.11.1936) — за «особые заслуги в борьбе за упрочение социалистической законности»,Орден Красной Звезды (двадцать восьмого ноября тысяча девятьсот тридцать шестого года) — за «особые заслуги в борьбе за упрочение социалистической законности»
8:14 по Мф.,восемь часов четырнадцать минут по Мф.
"10:15 и пропущено 5 глав, начиная с Мф.","десять часов пятнадцать минут и пропущено пять глав, начиная с Мф."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
В 08:43 рейс 901A вылетел из Окленда и в 09:11 приземлился в Салинасе.,В восемь часов сорок три минуты рейс девятьсот один A вылетел из Окленда и в девять часов одиннадцать минут приземлился в Салинасе.
"Салинас был покинут в 09:27, а в 09:46 была выполнена посадка в Сан-Хосе.","Салинас был покинут в девять часов двадцать семь минут, а в девять часов сорок шесть минут была выполнена посадка в Сан-Хосе."
В 10:40 авиалайнер вылетел из Сан-Хосе в Саут-Лейк-Тахо по правилам визуальных полётов; расчётное время посадки — 11:29.,В десять часов сорок минут авиалайнер вылетел из Сан-Хосе в Саут-Лейк-Тахо по правилам визуальных полётов; расчётное время посадки — одиннадцать часов двадцать девять минут.
"В 10:57 экипаж связался с рейсом 802, который возвращался из аэропорта Тахо-Валлей и спросил о погоде в районе Тахо.","В десять часов пятьдесят семь минут экипаж связался с рейсом восемьсот два, который возвращался из аэропорта Тахо-Валлей и спросил о погоде в районе Тахо."
"В 11:14, когда самолёт находился примерно в 25 милях юго-западнее радиомаяка Тахо, его засветка из-за сложных погодных условий пропала с экрана радиолокатора в диспетчерском центре управления воздушным движения в Окленде.","В одиннадцать часов четырнадцать минут, когда самолёт находился примерно в двадцати пяти милях юго-западнее радиомаяка Тахо, его засветка из-за сложных погодных условий пропала с экрана радиолокатора в диспетчерском центре управления воздушным движения в Окленде."
Ещё через 4 минуты диспетчер в Окленде дал указание рейсу 901A после прохода радиомаяка озера Тахо сохранять курс на юго-запад и ждать дальнейших указаний в 11:31.,Ещё через четыре минуты диспетчер в Окленде дал указание рейсу девятьсот один А после прохода радиомаяка озера Тахо сохранять курс на юго-запад и ждать дальнейших указаний в одиннадцать часов тридцать один минута.
"Также было запрошено разрешение на выполнение захода по приводам, если они будут вынуждены вернуться к радиомаяку Тахо, но в 11:21 экипаж отменил решение о таком заходе, заявив, что наблюдает южный берег.","Также было запрошено разрешение на выполнение захода по приводам, если они будут вынуждены вернуться к радиомаяку Тахо, но в одиннадцать часов двадцать один минута экипаж отменил решение о таком заходе, заявив, что наблюдает южный берег."
"В 11:29 диспетчер услышал радиосигнал, но не смог установить связь.","В одиннадцать часов двадцать девять минут диспетчер услышал радиосигнал, но не смог установить связь."
"Согласно показаниям ряда свидетелей, в промежутке между 11:00 и 11:30 они видели, либо слышали самолёт Constellation, который попытался в условиях метели приземлиться в аэропорту Тахо-Валлей, но прервал заход, после чего севернее аэропорта выполнил разворот по часовой стрелке на северо-западный курс, и затем исчез в снегопаде.","Согласно показаниям ряда свидетелей, в промежутке между одиннадцатью часов ноль минут и одиннадцатью часов тридцати минут они видели, либо слышали самолёт Constellation, который попытался в условиях метели приземлиться в аэропорту Тахо-Валлей, но прервал заход, после чего севернее аэропорта выполнил разворот по часовой стрелке на северо-западный курс, и затем исчез в снегопаде."
"Арафат был перезахоронен утром 13 ноября, около 3:00.","Арафат был перезахоронен утром тринадцатого ноября, около три часа ноль минут."
"Александр Коган, 09.12.2004 (недоступная ссылка)","Александр Коган, девятого декабря две тысячи четвёртого года (недоступная ссылка)"
"«Арафат сказал, что палестинское государство будет провалом», Ади Грасиэль, 06.03.2005","«Арафат сказал, что палестинское государство будет провалом», Ади Грасиэль, шестого марта две тысячи пятого года"
"Yasir Arafat — Psychological Profile and Strategic Analysis, Shaul Kimhi, Shmuel Even and Jerrold Post, 01/01/2001","Yasir Arafat — Psychological Profile and Strategic Analysis, Shaul Kimhi, Shmuel Even and Jerrold Post, первого января две тысячи первого года"
Лейтенант (11.02.1808),Лейтенант (одиннадцатого февраля тысяча восемьсот восьмого года)
Коммандер (01.01.1821),Коммандер (первого января тысяча восемьсот двадцать первого года)
Капитан (20.11.1822),Капитан (двадцатого ноября тысяча восемьсот двадцать второго года)
Надежда Дмитриевна (08.06.1846.,Надежда Дмитриевна (восьмого июня тысяча восемьсот сорок шестого года.
В 7:30 24 декабря корпус атаковал станицу и аэродром неподалёку.,В семь часов тридцать минут двадцать четвертого декабря корпус атаковал станицу и аэродром неподалёку.
"«Казанские ведомости», 24.03.2011, Выпуск № 41","«Казанские ведомости», двадцать четвёртого марта две тысячи одиннадцатого года, Выпуск № сорок один"
Орлик Игорь Иванович : [арх. 17.06.2020].,Орлик Игорь Иванович : [арх. семнадцатого июня две тысячи двадцатого года].
—,—
Дата обращения: 17.06.2020.,Дата обращения: семнадцатого июня две тысячи двадцатого года.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Является участником системы страхования вкладов (с 20.01.2005 г.).,Является участником системы страхования вкладов (с двадцатого января две тысячи пятого года г.).
Алекса́ндр Вике́нтьевич Гадо́мский (30.11.1885 — 12.04.1918) — инструктор команды разведчиков Варшавского революционного красного полка.,Алекса́ндр Вике́нтьевич Гадо́мский (тридцатого ноября тысяча восемьсот восемьдесят пятого года — двенадцатого апреля тысяча девятьсот восемнадцатого года) — инструктор команды разведчиков Варшавского революционного красного полка.
11.04.1918 года было решено на заседании ВЧК ликвидировать банды анархистов.,одиннадцатого апреля тысяча девятьсот восемнадцатого года было решено на заседании ВЧК ликвидировать банды анархистов.
"Юрий Мамин на Ленфильме  (недоступная ссылка с 25-05-2013 [3987 дней] — история, копия)","Юрий Мамин на Ленфильме  (недоступная ссылка с от двадцати пяти до пяти-две тысячи тринадцать [три тысячи девятьсот восемьдесят семь дней] — история, копия)"
"Юрий Мамин в гостях у «Живого ТВ» на YouTube, 13.04.2011","Юрий Мамин в гостях у «Живого ТВ» на YouTube, тринадцатого апреля две тысячи одиннадцатого года"
"Королев, 30.06.2009 г. (видео) Архивная копия от 10 июля 2009 на Wayback Machine","Королев, тридцатого июня две тысячи девятого года г. (видео) Архивная копия от десятого июля две тысячи девятого на Wayback Machine"
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
20.10.2003.,двадцатого октября две тысячи третьего года.
"Радио Свобода, 18.11.2010","Радио Свобода, восемнадцатого ноября две тысячи десятого года"
"Архивная копия от 4 марта 2016 на Wayback Machine «Коммерсантъ-Online», 14.02.2011","Архивная копия от четвертого марта две тысячи шестнадцатого на Wayback Machine «Коммерсантъ-Online», четырнадцатого февраля две тысячи одиннадцатого года"
"Архивная копия от 4 марта 2016 на Wayback Machine Росбалт, 07.12.2010","Архивная копия от четвертого марта две тысячи шестнадцатого на Wayback Machine Росбалт, седьмого декабря две тысячи десятого года"
"Архивная копия от 21 августа 2012 на Wayback Machine Росбалт, 20.08.2012","Архивная копия от двадцать первого августа две тысячи двенадцатого на Wayback Machine Росбалт, двадцатого августа две тысячи двенадцатого года"
В Иркутской обсерватории (970 км к югу от вывала леса) начало землетрясения зафиксировано примерно в 0:19 по Гринвичу.,В Иркутской обсерватории (девятьсот семьдесят км к югу от вывала леса) начало землетрясения зафиксировано примерно в ноль часов девятнадцать минут по Гринвичу.
"По мнению И. П. Пасечника, проводившего эти исследования, время начала землетрясения в предполагаемом эпицентре было примерно 0:14 по Гринвичу.","По мнению И. П. Пасечника, проводившего эти исследования, время начала землетрясения в предполагаемом эпицентре было примерно ноль часов четырнадцать минут по Гринвичу."
"В сериале «Секретные материалы» есть серия под названием «Тунгуска» (4-й сезон, 8-я серия, «Tunguska» 01.12.1996), где описывается вирус, выделенный русскими учёными из фрагментов упавшего метеорита.","В сериале «Секретные материалы» есть серия под названием «Тунгуска» (четвертый сезон, восьмая серия, «Tunguska» первого декабря тысяча девятьсот девяносто шестого года), где описывается вирус, выделенный русскими учёными из фрагментов упавшего метеорита."
Справочник Союза писателей СССР [по состоянию на 01.12.1963],Справочник Союза писателей СССР [по состоянию на первого декабря тысяча девятьсот шестьдесят третьего года]
/ Ред. К. В. Воронков; сост.,/ Ред. К. В. Воронков; сост.
Справочник Союза писателей СССР [по состоянию на 01.11.1965],Справочник Союза писателей СССР [по состоянию на первого ноября тысяча девятьсот шестьдесят пятого года]
/ Ред. К. В. Воронков; сост.,/ Ред. К. В. Воронков; сост.
Справочник Союза писателей СССР [по состоянию на 01.01.1970] / Ред. М. В. Горбачёв; сост.,Справочник Союза писателей СССР [по состоянию на первого января тысяча девятьсот семидесятого года] / Ред. М. В. Горбачёв; сост.
10.03.1861).,десятого марта тысяча восемьсот шестьдесят первого года).
01.04.1876).,первого апреля тысяча восемьсот семьдесят шестого года).
10.04.1879).,десятого апреля тысяча восемьсот семьдесят девятого года).
11.09.1862).,одиннадцатого сентября тысяча восемьсот шестьдесят второго года).
21.03.1864).,двадцать первого марта тысяча восемьсот шестьдесят четвёртого года).
17.12.1870).,семнадцатого декабря тысяча восемьсот семидесятого года).
"Первый официальный матч за сборную СССР провёл 8 сентября 1954 года против Швеции, в котором сборная СССР победила со счётом 7:0.","Первый официальный матч за сборную СССР провёл восьмого сентября тысяча девятьсот пятьдесят четвертого года против Швеции, в котором сборная СССР победила со счётом семь:ноль."
"19 июня 1958 года там же провёл последний официальный матч за сборную против Швеции, в котором советская сборная уступила со счётом 0:2.","девятнадцатого июня тысяча девятьсот пятьдесят восьмого года там же провёл последний официальный матч за сборную против Швеции, в котором советская сборная уступила со счётом ноль:два."
