q,a
"В январе 2020 года на очередном чемпионате Европы в Херенвене он трижды поднялся на высшую ступень пьедестала на дистанциях 500, 1000 м и в командной гонке, а 16 февраля 2020 на чемпионате мира в Солт-Лейк-Сити Павел установил мировой рекорд на дистанции 1000 м (1:05,69) и стал первым человеком, выбежавшим из 1 минуты 6 секунд. и победил на дистанции 500 м.","В январе 2020 года на очередном чемпионате Европы в Херенвене он трижды поднялся на высшую ступень пьедестала на дистанциях 500, 1000 м и в командной гонке, а 16 февраля 2020 на чемпионате мира в Солт-Лейк-Сити Павел установил мировой рекорд на дистанции 1000 м (один час пять минут,69) и стал первым человеком, выбежавшим из 1 минуты 6 секунд. и победил на дистанции 500 м."
"6:16), исцеленный апостолами хромой «вошел с ними в храм, ходя и скача, и хваля Бога» (Деян.","шесть часов шестнадцать минут), исцеленный апостолами хромой «вошел с ними в храм, ходя и скача, и хваля Бога» (Деян."
"3:8), апостол Павел призывает молиться, воздев руки (1Тим.","три:восемь), апостол Павел призывает молиться, воздев руки (1Тим."
"2:8), он же говорит, что незнающие и неверующие, войдя на собрание верующих, могут посчитать, что они беснуются (1Кор.","два:восемь), он же говорит, что незнающие и неверующие, войдя на собрание верующих, могут посчитать, что они беснуются (1Кор."
14:23);,четырнадцать часа двадцать три минуты);
"На чемпионате мира 2010 года провёл в ранге капитана все три матча All Whites против Словакии (1:1), Италии (1:1) и Парагвая (0:0).","На чемпионате мира 2010 года провёл в ранге капитана все три матча All Whites против Словакии (один:один), Италии (один:один) и Парагвая (ноль:ноль)."
"17 февраля 2013 года в матче чемпионата Паулисты Серия А3 (Campeonato Paulista Série A3) дебютировал в профессиональном футболе за бразильский «Фламенго-СП», уступив «Новуризонтино» со счетом 1:2.","17 февраля 2013 года в матче чемпионата Паулисты Серия А3 (Campeonato Paulista Série A3) дебютировал в профессиональном футболе за бразильский «Фламенго-СП», уступив «Новуризонтино» со счетом один:два."
"26 июля он дебютировал за новую команду, а 14 августа в матче с донецким «Олимпиком» впервые забил за харьковчан, оформив дубль, причём его голы помогли «Металлисту» одержать победу над соперником со счётом 2:1.","26 июля он дебютировал за новую команду, а 14 августа в матче с донецким «Олимпиком» впервые забил за харьковчан, оформив дубль, причём его голы помогли «Металлисту» одержать победу над соперником со счётом два:один."
"Волынь, 26.02.2011.","Волынь, двадцать шестого февраля две тысячи одиннадцатого года."
"Советская Волынь, 24.05.1984.","Советская Волынь, двадцать четвёртого мая тысяча девятьсот восемьдесят четвёртого года."
"Волынь, 22.05.2004","Волынь, двадцать второго мая две тысячи четвёртого года"
"Волынь-нова, 29.05.2004.","Волынь-нова, двадцать девятого мая две тысячи четвёртого года."
"Волынь-новая, 19.03.2011, с. 7.","Волынь-новая, девятнадцатого марта две тысячи одиннадцатого года, с. 7."
Командир 3-го полевого жандармского эскадрона (14.07.1895-04.06.1901).,Командир 3-го полевого жандармского эскадрона (четырнадцатого июля тысяча восемьсот девяносто пятого года-четвёртого июня тысяча девятьсот первого года).
Командир 33-го драгунского Изюмского полка с 04.06.1901 по 01.12.1907.,Командир 33-го драгунского Изюмского полка с четвёртого июня тысяча девятьсот первого года по первого декабря тысяча девятьсот седьмого года.
Генерал-майор (пр. 1907; ст. 01.12.1907; за отличие).,Генерал-майор (пр. 1907; ст. первого декабря тысяча девятьсот седьмого года; за отличие).
Командир 2-й бригады 11-й кавалерийской дивизии (01.12.1907-07.05.1910).,Командир 2-й бригады 11-й кавалерийской дивизии (первого декабря тысяча девятьсот седьмого года-седьмого мая тысяча девятьсот десятого года).
Командир 1-й бригады той же дивизии (с 07.05.1910).,Командир 1-й бригады той же дивизии (с седьмого мая тысяча девятьсот десятого года).
Начальник 11-й кавалерийской дивизии (22.10.1914-03.11.1915).,Начальник 11-й кавалерийской дивизии (двадцать второго октября тысяча девятьсот четырнадцатого года-третьего ноября тысяча девятьсот пятнадцатого года).
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Впервые сборная появилась в 1990 году и в первом же матче потерпела самое крупное поражение в своей истории со счётом 1:13 от японок.,Впервые сборная появилась в 1990 году и в первом же матче потерпела самое крупное поражение в своей истории со счётом один час тринадцать минут от японок.
"Если в первом чемпионате мира кореянки проиграли все три матча сборным Бразилии (0:3), Франции (0:1) и Нигерии (1:7), то в 2015 году кореянки вышли в 1/8 финала со второго места в группе, обыграв Испанию (2:1), сыграв вничью с Коста-Рикой (2:2) и уступив Бразилии (0:2).","Если в первом чемпионате мира кореянки проиграли все три матча сборным Бразилии (ноль:три), Франции (ноль:один) и Нигерии (один:семь), то в 2015 году кореянки вышли в 1/8 финала со второго места в группе, обыграв Испанию (два:один), сыграв вничью с Коста-Рикой (два:два) и уступив Бразилии (ноль:два)."
В 1/8 финала кореянки проиграли Франции со счётом 0:3.,В 1/8 финала кореянки проиграли Франции со счётом ноль:три.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"11 февраля, 20:00","11 февраля, двадцать часа ноль минут"
"12 февраля, 15:00","12 февраля, пятнадцать часов ноль минут"
"13 февраля, 18:00","13 февраля, восемнадцать часов ноль минут"
"3 марта 1940 года Матисен установил мировой рекорд на дистанции 10000 метров — 17:01,5.","3 марта 1940 года Матисен установил мировой рекорд на дистанции 10000 метров — семнадцать часов один минута,5."
"1000 метров — 1:32,00 (2 марта 1940 года, Хамар)","1000 метров — один час тридцать два минуты,00 (2 марта 1940 года, Хамар)"
"1500 метров — 2:15,60 (29 января 1939 года, Давос)","1500 метров — два часа пятнадцать минут,60 (29 января 1939 года, Давос)"
"3000 метров — 4:50,60 (10 февраля 1940 года, Берген)","3000 метров — четыре часа пятьдесят минут,60 (10 февраля 1940 года, Берген)"
"5000 метров — 8:18,70 (2 марта 1940 года, Хамар)","5000 метров — восемь часов восемнадцать минут,70 (2 марта 1940 года, Хамар)"
"10000 метров — 17:01,50 (3 марта 1940 года, Хамар)","10000 метров — семнадцать часов один минута,50 (3 марта 1940 года, Хамар)"
"Основателем группы, её бессменным лидером, вдохновителем и главной творческой силой является Билли Гиббонс (William «Billy» Frederick Gibbons, род 16.12.1949).","Основателем группы, её бессменным лидером, вдохновителем и главной творческой силой является Билли Гиббонс (William «Billy» Frederick Gibbons, род шестнадцатого декабря тысяча девятьсот сорок девятого года)."
"11.06.1949), формально члены групп The Cellar Dwellers и American Blues.","одиннадцатого июня тысяча девятьсот сорок девятого года), формально члены групп The Cellar Dwellers и American Blues."
19.05.1949).,девятнадцатого мая тысяча девятьсот сорок девятого года).
"Хилл вспоминал: «Я перебрался в Хьюстон, даже не зная, что Фрэнк [Бирд] тоже здесь же.","Хилл вспоминал: «Я перебрался в Хьюстон, даже не зная, что Фрэнк [Бирд] тоже здесь же."
"15 сентября 1991 года в стелу была заложена капсула с посланием к потомкам, которую предполагается вскрыть 15.09.2091 года (по другим сведениям — 15.09.2041 года).","15 сентября 1991 года в стелу была заложена капсула с посланием к потомкам, которую предполагается вскрыть пятнадцатого сентября две тысячи девяносто первого года года (по другим сведениям — пятнадцатого сентября две тысячи сорок первого года года)."
"Показанное им время 27:59,8 до сих пор считается рекордом Украины в беге на 10 000 метров.","Показанное им время двадцать семь:пятьдесят девять,8 до сих пор считается рекордом Украины в беге на 10 000 метров."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Карты северного полушария планеты (треть поверхности) составлены в 1989 году в масштабе 1:5 000 000 совместно Американской геологической службой и советским Институтом геохимии и аналитической химии им. В. И. Вернадского.,Карты северного полушария планеты (треть поверхности) составлены в 1989 году в масштабе один:пять 000 000 совместно Американской геологической службой и советским Институтом геохимии и аналитической химии им. В. И. Вернадского.
Полная (кроме южных полярных областей) и более детальная карта поверхности Венеры составлена в 1997 году в масштабах 1:10 000 000 и 1:50 000 000 Американской геологической службой.,Полная (кроме южных полярных областей) и более детальная карта поверхности Венеры составлена в 1997 году в масштабах один час десять минут 000 000 и один час пятьдесят минут 000 000 Американской геологической службой.
"Установлено, что атмосфера планеты и сейчас теряет водород и кислород в соотношении 2:1.","Установлено, что атмосфера планеты и сейчас теряет водород и кислород в соотношении два:один."
"В феврале 2018 года перебрался в клуб «Химки», за который дебютировал 10 марта в матче 27-го тура Футбольной национальной лигой против «Шинника» (0:2), выйдя на 80-й минуте встречи вместо Сергея Веркашанского.","В феврале 2018 года перебрался в клуб «Химки», за который дебютировал 10 марта в матче 27-го тура Футбольной национальной лигой против «Шинника» (ноль:два), выйдя на 80-й минуте встречи вместо Сергея Веркашанского."
"3 июня 2023 года дебютировал в чемпионате России против «Пари Нижнего Новгорода» (0:2), выйдя на 80-й минуте встречи вместо Александра Руденко.","3 июня 2023 года дебютировал в чемпионате России против «Пари Нижнего Новгорода» (ноль:два), выйдя на 80-й минуте встречи вместо Александра Руденко."
"Дебютировал за новую команду 6 августа в матче 3-го тура второй лиги (дивизион «Б») против обнинского «Кванта» (7:0), выйдя на 58-й минуте.","Дебютировал за новую команду 6 августа в матче 3-го тура второй лиги (дивизион «Б») против обнинского «Кванта» (семь:ноль), выйдя на 58-й минуте."
— 20.06.2013.,— двадцатого июня две тысячи тринадцатого года.
Орден Святой Анны 4-й ст. с надписью «За храбрость» (ВП 21.11.1905),Орден Святой Анны 4-й ст. с надписью «За храбрость» (ВП двадцать первого ноября тысяча девятьсот пятого года)
Орден Святого Станислава 3-й ст. с мечами и бантом (ВП 18.12.1905),Орден Святого Станислава 3-й ст. с мечами и бантом (ВП восемнадцатого декабря тысяча девятьсот пятого года)
Орден Святого Владимира 4-й ст. (ВП 28.02.1913),Орден Святого Владимира 4-й ст. (ВП двадцать восьмого февраля тысяча девятьсот тринадцатого года)
мечи и бант к ордену Св.,мечи и бант к ордену Св.
Владимира 4-й ст. (ВП 17.12.1914),Владимира 4-й ст. (ВП семнадцатого декабря тысяча девятьсот четырнадцатого года)
Орден Святого Владимира 3-й ст. с мечами (ВП 23.05.1915),Орден Святого Владимира 3-й ст. с мечами (ВП двадцать третьего мая тысяча девятьсот пятнадцатого года)
мечи к ордену Св. Анны 2-й ст. (ВП 23.10.1915),мечи к ордену Св. Анны 2-й ст. (ВП двадцать третьего октября тысяча девятьсот пятнадцатого года)
"Дебютировал в составе сборной в матче кубка Ньютона с командой Уругвая в Монтевидео, где Боссио отбил пенальти от уругвайцев, а игра завершилась победой аргентинцев 1:0.","Дебютировал в составе сборной в матче кубка Ньютона с командой Уругвая в Монтевидео, где Боссио отбил пенальти от уругвайцев, а игра завершилась победой аргентинцев один:ноль."
"В первой игре турнира NCAA «Уэбфутс» обыграли «Техас Лонгхорнс» ос счётом 56:41, а затем «Оклахому Сунерс» со счётом 55:37.","В первой игре турнира NCAA «Уэбфутс» обыграли «Техас Лонгхорнс» ос счётом пятьдесят шесть:сорок один, а затем «Оклахому Сунерс» со счётом пятьдесят пять:тридцать семь."
В матче «Уэбфутс» одержали победу со счётом 46:33 и стали первыми в истории победителями турнира NCAA.,В матче «Уэбфутс» одержали победу со счётом сорок шесть:тридцать три и стали первыми в истории победителями турнира NCAA.
Дані про загиблих станом на 17:00.,Дані про загиблих станом на семнадцать часов ноль минут.
"Список погибших на Майдане (ОБНОВЛЯЕТСЯ, 76 человек) — 21 февраля 2014, 10:45 (сайт «LB.ua») (рус.)","Список погибших на Майдане (ОБНОВЛЯЕТСЯ, 76 человек) — 21 февраля 2014, десять часа сорок пять минуты (сайт «LB.ua») (рус.)"
"«Список погибших в Киеве 18 февраля 2014 года» (20-02-2014), «LiveJournal» gadsjl_7 (41 мітингувальник) (рус.)","«Список погибших в Киеве 18 февраля 2014 года» (с двадцатого по второй-2014), «LiveJournal» gadsjl_7 (41 мітингувальник) (рус.)"
"Список погибших на Майдане (ОБНОВЛЯЕТСЯ, 58 человек) / LB.ua, 20 февраля 2014, 21:13 (рус.)","Список погибших на Майдане (ОБНОВЛЯЕТСЯ, 58 человек) / LB.ua, 20 февраля 2014, двадцать один час тринадцать минут (рус.)"
"У Києві за день загинуло понад 70 осіб, — Медслужба Майдану (20.02.2014) — сайт «gigamir.net» (укр.)","У Києві за день загинуло понад 70 осіб, — Медслужба Майдану (двадцатого февраля две тысячи четырнадцатого года) — сайт «gigamir.net» (укр.)"
"У Києві за день загинуло понад 70 осіб, — Медслужба Майдану (20.02.2014) — сайт «news.rambler.ru» | (укр.)","У Києві за день загинуло понад 70 осіб, — Медслужба Майдану (двадцатого февраля две тысячи четырнадцатого года) — сайт «news.rambler.ru» | (укр.)"
"Життя, 21.02.2014 (укр.)","Життя, двадцать первого февраля две тысячи четырнадцатого года (укр.)"
"В 1989—1992 годах выступал за «Эребру», 9 апреля 1989 года дебютировал в чемпионате Швеции в игре против «Хальмстада» (2:1).","В тысяча девятьсот восемьдесят девятом по тысяча девятьсот девяносто второй годах выступал за «Эребру», 9 апреля 1989 года дебютировал в чемпионате Швеции в игре против «Хальмстада» (два:один)."
младший лейтенант государственной безопасности (19.12.1936),младший лейтенант государственной безопасности (девятнадцатого декабря тысяча девятьсот тридцать шестого года)
старший лейтенант государственной безопасности (19.06.1939),старший лейтенант государственной безопасности (девятнадцатого июня тысяча девятьсот тридцать девятого года)
капитан государственной безопасности (18.05.1942),капитан государственной безопасности (восемнадцатого мая тысяча девятьсот сорок второго года)
Орден Красной Звезды (28.11.1936) — за «особые заслуги в борьбе за упрочение социалистической законности»,Орден Красной Звезды (двадцать восьмого ноября тысяча девятьсот тридцать шестого года) — за «особые заслуги в борьбе за упрочение социалистической законности»
8:14 по Мф.,восемь часов четырнадцать минут по Мф.
"10:15 и пропущено 5 глав, начиная с Мф.","десять часа пятнадцать минут и пропущено 5 глав, начиная с Мф."
"Именно исправленная редакция текста была опубликована в Патрологии Миня (PG 56:611-946), поэтому данное издание является неудовлетворительным.","Именно исправленная редакция текста была опубликована в Патрологии Миня (PG пятьдесят шесть:шестьсот одиннадцать-946), поэтому данное издание является неудовлетворительным."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Наибольшая разница между забитыми и пропущенными мячами: +114 (146:32) — «Бавария Мюнхен» в сезоне 1964/65 после 36 игр.,Наибольшая разница между забитыми и пропущенными мячами: +114 (сто сорок шесть:тридцать два) — «Бавария Мюнхен» в сезоне 1964/65 после 36 игр.
Наибольшая разница между забитыми и пропущенными мячами за сезон: +91 (120:29) — «Ганновер 96» в сезоне 1997/98 после 34 игр),Наибольшая разница между забитыми и пропущенными мячами за сезон: +91 (сто двадцать:двадцать девять) — «Ганновер 96» в сезоне 1997/98 после 34 игр)
В 08:43 рейс 901A вылетел из Окленда и в 09:11 приземлился в Салинасе.,В восемь часов сорок три минуты рейс 901A вылетел из Окленда и в девять часов одиннадцать минут приземлился в Салинасе.
"Салинас был покинут в 09:27, а в 09:46 была выполнена посадка в Сан-Хосе.","Салинас был покинут в девять часов двадцать семь минуты, а в девять часов сорок шесть минуты была выполнена посадка в Сан-Хосе."
В 10:40 авиалайнер вылетел из Сан-Хосе в Саут-Лейк-Тахо по правилам визуальных полётов; расчётное время посадки — 11:29.,В десять часа сорок минут авиалайнер вылетел из Сан-Хосе в Саут-Лейк-Тахо по правилам визуальных полётов; расчётное время посадки — одиннадцать час двадцать девять минуты.
"В 10:57 экипаж связался с рейсом 802, который возвращался из аэропорта Тахо-Валлей и спросил о погоде в районе Тахо.","В десять часа пятьдесят семь минуты экипаж связался с рейсом 802, который возвращался из аэропорта Тахо-Валлей и спросил о погоде в районе Тахо."
"В 11:14, когда самолёт находился примерно в 25 милях юго-западнее радиомаяка Тахо, его засветка из-за сложных погодных условий пропала с экрана радиолокатора в диспетчерском центре управления воздушным движения в Окленде.","В одиннадцать час четырнадцать минут, когда самолёт находился примерно в 25 милях юго-западнее радиомаяка Тахо, его засветка из-за сложных погодных условий пропала с экрана радиолокатора в диспетчерском центре управления воздушным движения в Окленде."
Ещё через 4 минуты диспетчер в Окленде дал указание рейсу 901A после прохода радиомаяка озера Тахо сохранять курс на юго-запад и ждать дальнейших указаний в 11:31.,Ещё через 4 минуты диспетчер в Окленде дал указание рейсу 901A после прохода радиомаяка озера Тахо сохранять курс на юго-запад и ждать дальнейших указаний в одиннадцать час тридцать один минута.
"Также было запрошено разрешение на выполнение захода по приводам, если они будут вынуждены вернуться к радиомаяку Тахо, но в 11:21 экипаж отменил решение о таком заходе, заявив, что наблюдает южный берег.","Также было запрошено разрешение на выполнение захода по приводам, если они будут вынуждены вернуться к радиомаяку Тахо, но в одиннадцать час двадцать один минута экипаж отменил решение о таком заходе, заявив, что наблюдает южный берег."
"Следующий радиообмен рейса 901A с диспетчером состоялся в 11:27, в ходе которого последний передал экипажу информацию о погоде в аэропорту Тахо-Валлей за 11:00: сплошная облачность с примерной нижней границей 2000 футов (600 метров), видимость 3 мили (5,5 км), снег, температура воздуха 32° F (0° C), ветер 10 узлов (5 м/с), настройка высотомера 29.97.","Следующий радиообмен рейса 901A с диспетчером состоялся в одиннадцать час двадцать семь минуты, в ходе которого последний передал экипажу информацию о погоде в аэропорту Тахо-Валлей за одиннадцать час ноль минут: сплошная облачность с примерной нижней границей 2000 футов (600 метров), видимость 3 мили (5,5 км), снег, температура воздуха 32° F (0° C), ветер 10 узлов (5 м/с), настройка высотомера 29.97."
