q,a
"0,4 % — другие (португальцы, китайцы, арабы).Языки:","четыре целых четыре десятых % — другие (португальцы, китайцы, арабы).Языки:"
"Христианство — 57,4 %:",Христианство — пятьдесят семь целых четыре десятых %:
"пятидесятники — 16,9 % (Ассамблеи Бога и др.);",пятидесятники — шестнадцать целых девять десятых % (Ассамблеи Бога и др.);
"католики — 8,1 %;",католики — восемь целых одна десятая %;
"англикане — 6,9 %;",англикане — шесть целых девять десятых %;
"методисты — 1,7 %;",методисты — одна целая семь десятых %;
"свидетели Иеговы — 1,1 %;",свидетели Иеговы — одна целая одна десятая %;
"другие христиане — 17,7 %;",другие христиане — семнадцать целых семь десятых %;
"Индуизм — 28,4 %;",Индуизм — двадцать восемь целых четыре десятых %;
"Ислам — 7,2 %;",Ислам — семь целых две десятых %;
"атеисты — 4,3 %;",атеисты — четыре целых три десятых %;
"прочие — 2,7 %.",прочие — две целых семь десятых %.
"Таким образом было подготовлено к эвакуации только 7,5 тысячи живописных работ.",Таким образом было подготовлено к эвакуации только семи с половиной тысячи живописных работ.
"Среднегодовая температура воздуха — +3,5 °C. Средняя температура воздуха самого холодного месяца (января) — −11,1 °C (абсолютный минимум — −46 °C); самого тёплого месяца (июля) — +18,2 °C (абсолютный максимум — +38 °C).",Среднегодовая температура воздуха — плюс три с половиной C. Средняя температура воздуха — плюс три с половиной C. Средняя температура воздуха самого холодного месяца (января) — минус одиннадцать с половиной C (абсолютный минимум — минус сорок шесть с половиной C); самого тёплого месяца (июля) — плюс восемнадцать целых две десятых C (абсолютный максимум — плюс восемнадцать целых две десятых C (абсолютный максимум — плюс тридцать восемь с половиной C).
"Среднегодовая скорость ветра — 4,7 м/с.",Среднегодовая скорость ветра — четыре целых семь десятых м/с.
"Активы фонда оцениваются в 1,5 млрд долларов.",Активы фонда оцениваются в один с половиной млрд долларов.
"Длина от 1,6 до 2,1 мм, переднее крыло до 2,3 мм.","Длина от одной целой шести десятых до двух целых одой десятой мм, переднее крыло до двух целых трех десятых мм."
"Среднегодовая температура — 4,9 °C. Средняя температура воздуха самого тёплого месяца (июля) — 16 — 20 °C (абсолютный максимум — 40 °C); самого холодного (января) — −12 — −5 °C (абсолютный минимум — −37 °C).",Среднегодовая температура — четыре целых девять десятых C. Средняя температура воздуха самого тёплого месяца (июля) — шестнадцать целых двадцать сотых C (абсолютный максимум — сорок с половиной C); самого холодного (января) — минус двенадцать с половиной — 5 C (абсолютный минимум — 37 C).
"Административный центр — деревня Слохтерен (с населением около 2,5 тыс.жителей).",Административный центр — деревня Слохтерен (с населением около двух с половиной тыс.жителей).
"Жемчужный астрильд достигает длины до 12,5 см. У самца верхушка головы, спина и крылья красновато-бурые.","Жемчужный астрильд достигает длины до двенадцати с половиной см. У самца верхушка головы, спина и крылья красновато-бурые."
"Жемчужный астрильд достигает длины до 12,5 см. У самца верхушка головы, спина и крылья красновато-бурые.","Жемчужный астрильд достигает длины до двенадцати с половиной см. У самца верхушка головы, спина и крылья красновато-бурые."
"Занимает площадь 3,144 км².",Занимает площадь три целых сто сорок четыре тысячных км2.
"Среднегодовая температура воздуха — 4,5 °C. Средняя многолетняя температура самого холодного месяца (января) составляет −9°С (абсолютный минимум — −50 °C), средняя температура самого тёплого (июля) — 17 °С (абсолютный максимум — 36 °С).","Среднегодовая температура воздуха — четыре с половиной C. Средняя многолетняя температура воздуха — четыре с половиной C (абсолютный минимум — 50 C), средняя температура самого тёплого (июля) — семнадцать С (абсолютный максимум — тридцать шесть с половиной С)."
В некоторых версиях игры противник может сдаться (эта возможность была возвращена в версии 1.02).,В некоторых версиях игры противник может сдаться (эта возможность была возвращена в версии одна целая две сотых).
В патче 1.01 была добавлена возможность продолжить игру после потопления «Черной Жемчужины».,В патче одна целая одна сотая была добавлена возможность продолжить игру после потопления «Черной Жемчужины».
"Патч 1.02 возвращает в игру некоторые возможности: сдачу в плен вражеского капитана и команды, потерю мачт в морском бою.","Патч одна целая две сотых возвращает в игру некоторые возможности: сдачу в плен вражеского капитана и команды, потерю мачт в морском бою."
В патче 1.03 корабли управляемые АИ теперь более точно анализируют ситуацию.,В патче одна целая три сотых корабли управляемые АИ теперь более точно анализируют ситуацию.
"Среднегодовая температура — 2,7 °C. Средняя температура воздуха самого тёплого месяца (июля) — 17,9 °C (абсолютный максимум — 37 °C); самого холодного (января) — −12,3 °C (абсолютный минимум — −46 °C).",Среднегодовая температура — две целых семь десятых C. Средняя температура воздуха самого тёплого месяца (июля) — семнадцать целых девять десятых C (абсолютный максимум — тридцать семь целых две десятых C); самого холодного (января) — минус двенадцать целых три десятых C (абсолютный минимум — сорок шесть C (абсолютный минимум — сорок шесть C).
"В расовом отношении белые и метисы составляли 99,9 % от населения города; негры, мулаты и райсальцы — 0,1 %.","В расовом отношении белые и метисы составляли девяносто девять целых девять десятых % от населения города; негры, мулаты и райсальцы — ноль целых одна десятая %."
"Уровень грамотности среди всего населения составлял 87,2 %.",Уровень грамотности среди всего населения составлял восемьдесят семь целых две десятых %.
"56,6 % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, 32,5 % — предприятия сферы обслуживания, 8,4 % — промышленные предприятия, 2,5 % — предприятия иных отраслей экономики.","пятьдесят шесть целых шесть десятых % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, тридцать два с половиной % — предприятия сферы обслуживания, восемь целых четыре десятых % — промышленные предприятия, две с половиной % — предприятия иных отраслей экономики."
"Занимает площадь 771,77 км².",Занимает площадь семьсот семьдесят одна целая семьдесят семь сотых км2.
"Её длина составляет 27,1 км, из которых 25,4 км проложены по эстакадам.","Её длина составляет двадцать семь целых одна десятая км, из которых двадцать пять целых четыре десятых км проложены по эстакадам."
"Занимает площадь 101,6 км².",Занимает площадь сто одна целая шесть десятых км2.
"В «Стране Игр» была принята десятибалльная система оценок с шагом в 0,5 балла.",В «Стране Игр» была принята десятибалльная система оценок с шагом в ноль с половиной балла.
https://web.archive.org/web/20110720112751/http://training.ce.washington.edu/WSDOT/Modules/07_construction/07-2_body.htm глава 2.2.3.2 Milling,https://web.archive.org/web/20110720112751/http://training.ce.washington.edu/WSDOT/Modules/07_construction/07-2_body.htm глава две целых две десятых Milling
"Среднегодовая температура воздуха — 2,5 °С. Средняя температура воздуха самого тёплого месяца (июля) — 18,7 °C; самого холодного (января) — −14,2 °C. Среднегодовое количество атмосферных осадков составляет 400—450 мм, из которых до 300 мм выпадает в тёплый период.","Среднегодовая температура воздуха — две с половиной С. Средняя температура воздуха самого тёплого месяца (июля) — восемнадцать целых семь десятых C; самого холодного (января) — минус четырнадцать целых две десятых C. Среднегодовое количество атмосферных осадков составляет четыреста пятьдесят целых четыреста пятьдесят тысячных мм, из которых до 300 мм выпадает в тёплый период."
"Среднегодовая температура воздуха — 2,5 °С. Средняя температура воздуха самого тёплого месяца (июля) — 18,7 °C; самого холодного (января) — −14,2 °C. Среднегодовое количество атмосферных осадков составляет 400—450 мм, из которых до 300 мм выпадает в тёплый период.","Среднегодовая температура воздуха — две с половиной С. Средняя температура воздуха самого тёплого месяца (июля) — восемнадцать целых семь десятых C; самого холодного (января) — минус четырнадцать целых две десятых C. Среднегодовое количество атмосферных осадков составляет четыреста пятьдесят целых четыреста пятьдесят тысячных мм, из которых до 300 мм выпадает в тёплый период."
"Наиболее раннее погребение Homo Sapiens, обнаруженное археологами в Африке, датируется 78,3±4,1 тысяч лет назад.","Наиболее раннее погребение Homo Sapiens, обнаруженное археологами в Африке, датируется семьдесят восемь целых три десятых4 тысяч лет назад."
"Занимает площадь 95,02 км².",Занимает площадь девяносто пять целых две сотых км2.
"Непосредственно на нижней панели находится mini-USB порт, слот для карты памяти стандарта microSD, разъемы для подключения зарядного устройства и наушников (3,5 мм).","Непосредственно на нижней панели находится mini-USB порт, слот для карты памяти стандарта microSD, разъемы для подключения зарядного устройства и наушников (трех с половиной мм)."
"Из измерений параллакса, полученных во время миссии Hipparcos, известно, что звезда удалена на приблизительное расстояние в 57,3 св.г.","Из измерений параллакса, полученных во время миссии Hipparcos, известно, что звезда удалена на приблизительное расстояние в пятьдесят семь целых три десятых св.г."
"HD 165185 является аналогом Солнца, ещё не вышедшим на главную последовательность, имеющую спектральный класс G1 V. Она быстро вращается: её скорость вращения — 7,53 км/с, а период вращения — 5,9 дня.","HD одна тысяча двести восемьдесят пять целых восемьдесят пять тысячных является аналогом Солнца, ещё не вышедшим на главную последовательность, имеющую спектральный класс G1 V. Она быстро вращается: её скорость вращения — семь целых пятьдесят три сотых км/с, а период вращения — пять целых девять десятых дня."
"HD 165185 является аналогом Солнца, ещё не вышедшим на главную последовательность, имеющую спектральный класс G1 V. Она быстро вращается: её скорость вращения — 7,53 км/с, а период вращения — 5,9 дня.","HD одна тысяча двести восемьдесят пять целых восемьдесят пять тысячных является аналогом Солнца, ещё не вышедшим на главную последовательность, имеющую спектральный класс G1 V. Она быстро вращается: её скорость вращения — семь целых пятьдесят три сотых км/с, а период вращения — пять целых девять десятых дня."
"Длина самой маленькой самки этого вида составила 7,9 мм, а самого крупного известного представителя — 10,3 мм.","Длина самой маленькой самки этого вида составила семь целых девять десятых мм, а самого крупного известного представителя — десять целых три десятых мм."
"Является самым длинным городом Европы — линейное расстояние от крайней северной точки до южной по прямой составляет 66,1 км.",Является самым длинным городом Европы — линейное расстояние от крайней северной точки до южной по прямой составляет шестьдесят шесть целых одна десятая км.
"Они обеспечены питательными веществами, содержат 4,5—4,9 % гумуса и распространены на водоразделах.","Они обеспечены питательными веществами, содержат четыре с половиной—четыре целых девять десятых % гумуса и распространены на водоразделах."
"Лугово-чернозёмные почвы характеризуются высокими показателями содержания гумуса (5,9 %) и распространены на пойменных террасах рек.",Лугово-чернозёмные почвы характеризуются высокими показателями содержания гумуса (пять целых девять десятых %) и распространены на пойменных террасах рек.
"Из восьми кандидатов он занял второе место с 20,1 % голосов.",Из восьми кандидатов он занял второе место с двадцатью целыми одной десятой % голосов.
"Высота истока — 124,1 м над уровнем моря.",Высота истока — сто двадцать четыре целых одна десятая м над уровнем моря.
"Продвижение займа оказалось успешным, было собрано 26,3 миллиарда долларов, вдвое больше намеченного.","Продвижение займа оказалось успешным, было собрано двадцать шесть целых три десятых миллиарда долларов, вдвое больше намеченного."
"Тело очень мелкое (около 0,65 мм), коричневое.","Тело очень мелкое (около ноля целых шестьдесят пять сотых мм), коричневое."
"Семенная продуктивность высока (по 2—2,5 тысяч семян в каждой коробочке).",Семенная продуктивность высока (по две с половиной тысяч семян в каждой коробочке).
"Среднегодовая скорость ветра составляет 3,6 м/с.",Среднегодовая скорость ветра составляет три целых шесть десятых м/с.
Чрезвычайный и Полномочный Посол Республики Казахстан в Турецкой Республике (10.2010-10.2016);,Чрезвычайный и Полномочный Посол Республики Казахстан в Турецкой Республике (десять целых две сотых-десять целых 2016);
Чрезвычайный и Полномочный Посол Республики Казахстан в Республике Албания по совместительству (03.2011-10.2016);,Чрезвычайный и Полномочный Посол Республики Казахстан в Республике Албания по совместительству (03-2011-102016);
"Hodes, C. E. Beautiful Jay (Cyanolyca pulchra) // version 1.0.","Hodes, C. E. Beautiful Jay (Cyanolyca pulchra) // version одна целая ноль десятых."
"Поправка была одобрена 52,0% голосов избирателей.",Поправка была одобрена пятьдесят две целых ноль десятых голосов избирателей.
— Версия 3.0.,— Версия три целых ноль десятых — Версия три целых ноль десятых
"Комета обладает довольно коротким периодом обращения вокруг Солнца — чуть более 9,81 года.",Комета обладает довольно коротким периодом обращения вокруг Солнца — чуть более девяти целых восемьдесят одна сотая года.
"Текущие позиции кометы указывали, что прогноз требовал корректировки всего на −1,2 суток.","Текущие позиции кометы указывали, что прогноз требовал корректировки всего на одну целую две десятых суток."
"Занимает площадь 830,41 км².",Занимает площадь восемьсот тридцать целых сорок одна сотая км2.
"(97,14 %)",(девяносто семь целых четырнадцать сотых %)
"(2,39 %)",(две целых тридцать девять сотых %)
"(0,27 %)",(ноль целых двадцать семь сотых %)
"(97,49 %)",(девяносто семь целых сорок девять сотых %)
"(0,48 %)",(ноль целых сорок восемь сотых %)
"(0,15 %)",(ноль целых пятнадцать сотых %)
"(0,13 %)",(ноль целых тринадцать сотых %)
"(1,75 %)",(одна целая семьдесят пять сотых %)
"Три самца были пойманы на мёртвых растениях вдоль русла ручья на высоте не более 0,5 метра над землёй.",Три самца были пойманы на мёртвых растениях вдоль русла ручья на высоте не более ноль с половиной метра над землёй.
"Вес новорождённой составлял 3,2 килограмма.",Вес новорождённой составлял три целых две десятых килограмма.
"Среднегодовая температура воздуха — 2,6 °C. Средняя температура воздуха самого холодного месяца (января) — −12,1 °C (абсолютный минимум — −39 °C); самого тёплого месяца (июля) — 17,7 °C (абсолютный максимум — 30 °С).",Среднегодовая температура воздуха — две целых шесть десятых C. Средняя температура воздуха самого холодного месяца (января) — минус двенадцать целых одна десятая C (абсолютный минимум — 39 C); самого тёплого месяца (июля) — семнадцать целых семь десятых C (абсолютный максимум — двадцать с половиной С).
"выше по течению на расстоянии в 0,5 км расположено село Ивановка,","выше по течению на расстоянии в ноль с половиной км расположено село Ивановка,"
"ниже по течению на расстоянии в 1,5 км расположен посёлок Правда,",ниже по течению на расстоянии в одном с половиной км расположен посёлок Правда.
"сиро-палестинский: 8,8 млн человек на западе Сирии, вдоль средиземноморского побережья.","сиро-палестинский: восемь целых восемь десятых млн человек на западе Сирии, вдоль средиземноморского побережья."
"месопотамский: 1,8 млн человек в основном в мухафазах Алеппо и Эр-Ракка.",месопотамский: одна целая восемь десятых млн человек в основном в мухафазах Алеппо и Эр-Ракка.
"На чемпионате мира в Турции баскетболистка показала второй командный результат, после Елены Левченко, по очкам (14,2), подборам (4,0) и передачам (2,8).","На чемпионате мира в Турции баскетболистка показала второй командный результат после Елены Левченко, по очкам ( четырнадцать целых две десятых), подборам (четыре целых0) и передачам (две целых восемь десятых)."
"Молекула является правильным тетраэдром, длина связи C—I составляет 2,155 Å. Образует кристаллы тетрагональной сингонии, пространственная группа I42m, параметры ячейки a = 0,6409 нм, b = 0,9558 нм, Z = 2 (не изоструктурен с  CBr4, образующим гранецентрированную кубическую решётку).","Молекула является правильным тетраэдром, длина связи C—I составляет две целых сто пятьдесят пять тысячных нм, b = ноль целых девятьсот пятьдесят восемь тысячных нм,  = две (не изоструктурен с CBr4, образующим гранецентрированную кубическую решётку)."
"Занимает площадь 2043,699 км².",Занимает площадь двести сорок три целых шестьсот девяносто девять тысячных км2.
"Плотность населения — 6,0 чел./км².",Плотность населения — шесть целых ноль десятых чел./км2.
"Тем не менее, во втором туре победил с результатом 54,78 %.","Тем не менее, во втором туре победил с результатом пятьдесят четыре целых семьдесят восемь сотых %."
"Водные ресурсы — 1084,75 га.",Водные ресурсы — одна тысяча двести восемьдесят четыре целых семьдесят пять сотых га.
"Занимает площадь 4,41 км².",Занимает площадь четыре целых сорок одна сотая км2.
"сельское хозяйство — 19,6 %",сельское хозяйство — девятнадцать целых шесть десятых %
"промышленность — 9,6 %",промышленность — девять целых шесть десятых %
"строительство — 9,5 %",строительство — девять с половиной %
"торговля, транспорт и сфера услуг — 25,2 %","торговля, транспорт и сфера услуг — двадцать пять целых две десятых %"
(CC BY-SA 3.0),(CC BSA три целых0)
"Занимает площадь 0,112 км².",Занимает площадь ноль целых девятнадцать сотых км2.
"Занимает площадь 3,239 км².",Занимает площадь три целых двести сорок девять тысячных км2.
"Президент — Педру Верона Пиреш (46,5 % голосов).",Президент — Педру Верона Пиреш (сорок шесть с половиной % голосов).
"США) превышает объём экспорта (95,5 млн долл.",США) превышает объём экспорта (девяносто пять с половиной млн долл.
"77,3 % населения — католики;",семьдесят семь целых три десятых % населения — католики;
"4,6 % — протестанты (включая Церковь Назарянина);",четыре целых шесть десятых % — протестанты (включая Церковь Назарянина);
"4,5 % жителей придерживаются традиционных африканских верований;",четыре с половиной % жителей придерживаются традиционных африканских верований;
"1,8 % — мусульмане;",одна целая восемь десятых % — мусульмане;
"10,8 % — члены прочих религиозных объединений (мормоны и др.).",десять целых восемь десятых % — члены прочих религиозных объединений (мормоны и др.).
"На традиционном январском супертурнире в Вейк-ан-Зее Магнус одержал победу, на 0,5 очка обойдя лидировавших по ходу турнира Алексея Широва и Владимира Крамника.","На традиционном январском супертурнире в Вейк-ан-Зее Магнус одержал победу, на ноль с половиной очка обойдя лидировавших по ходу турнира Алексея Широва и Владимира Крамника."
"Среднегодовая температура воздуха — 3,9 °C. Средняя температура воздуха самого холодного месяца (января) — −10,2 °C (абсолютный минимум — −48 °C); самого тёплого месяца (июля) — 16,9 °C (абсолютный максимум — 35 °C).",Среднегодовая температура воздуха — три целых девять десятых C. Средняя температура воздуха самого холодного месяца (января) — минус десять целых две десятых C (абсолютный минимум — 48 C); самого тёплого месяца (июля) — шестнадцать целых девять десятых C (абсолютный максимум — тридцать пять целых девять десятых C (абсолютный максимум — тридцать пять десятых C).
"Среднегодовая скорость ветра варьирует в пределах от 3,1 до 4,1 м/с.",Среднегодовая скорость ветра варьирует в пределах от трех целых одой десятой до четырех целых одой десятой м/с.
"Подготовка исполнительной документации может осуществляться как в бумажном так и электронном виде, но приёмка органами государственного строительного надзора ведётся только в бумажном виде. - спорная информация, 1 сентября 2023 года вступают в силу приказы Минстроя России от 16.05.2023 № 344/пр и от 02.12.2022 № 1026/пр которыми утверждены состав и порядок ведения исполнительной документации и общего журнала работ при строительстве, реконструкции, капитальном ремонте объектов капитального строительства.","Подготовка исполнительной документации может осуществляться как в бумажном так и электронном виде, но приёмка органами государственного строительного надзора ведётся только в бумажном виде. - спорная информация, 1 сентября 2023 года вступают в силу приказы Минстроя России от 16.05.2023 No триста сорок четыре целых двести двадцать три сотых No триста сорок четыре сотых/пр и от 02.12.2022 No 1026/пр которыми утверждены состав и порядок ведения исполнительной документации и общего журнала работ при строительстве, реконструкции, капитальном ремонте объектов капитального строительства."
"Среднегодовая температура воздуха — 5,5 °С. Средняя температура воздуха самого тёплого месяца (июля) — 18,7 °C (абсолютный максимум — 37 °С); самого холодного (января) — −9,3 °C (абсолютный минимум — −35 °С).",Среднегодовая температура воздуха — пять с половиной С. Средняя температура воздуха — восемнадцать с половиной С (абсолютный максимум — тридцать семь с половиной С); самого холодного (января) — минус девять целых три десятых C (абсолютный минимум — 35 С).
"Занимает площадь 26,13 км².",Занимает площадь двадцать шесть целых тринадцать сотых км2.
"   — коэффициент шероховатости, характеризующий состояние поверхности русла, для случая канализационных труб принимается в диапазоне (0,012…0,015); для других случаев информация приведена в литературе;","— коэффициент шероховатости, характеризующий состояние поверхности русла, для случая канализационных труб принимается в диапазоне (ноль целых одна тысяча двести двадцать две тысячных...ноль целых двести пятьдесят пять тысячных); для других случаев информация приведена в литературе;"
"    {\displaystyle y=2,5{\sqrt {n}}-0,13-0,75{\sqrt {R}}\left({\sqrt {n}}-0,1\right)~.}",\displaystyle y=две с половиной\sqrt night-ноль целых тринадцать сотых-ноль целых семьдесят пять сотых\sqrt R\left (\sqrt n-ноль целых две десятых\right).
"    {\displaystyle y=2,5{\sqrt {n}}-0,13-0,75{\sqrt {R}}\left({\sqrt {n}}-0,1\right)~.}",\displaystyle y=две с половиной\sqrt night-ноль целых тринадцать сотых-ноль целых семьдесят пять сотых\sqrt R\left (\sqrt n-ноль целых две десятых\right).
"Победив в праймериз (его поддержали 58,35 % пришедших на голосование однопартийцев) Амелию Фраскароли из партии «Левые Экология Свобода» и ЛГБТ-активиста из ДП Бенедетто Заккироли, был выдвинут официальным кандидатом.","Победив в праймериз (его поддержали пятьдесят восемь целых тридцать пять сотых % пришедших на голосование однопартийцев) Амелию Фраскароли из партии «Левые Экология Свобода» и ЛГБТ-активиста из ДП Бенедетто Заккироли, был выдвинут официальным кандидатом."
