q,a
"Видимая звёздная величина звезды — от +12m до +10,9m.",Видимая звёздная величина звезды — от плюс двенадцать тысячных до плюсдесяти целых девяти десятыхm.
"Аэродром и база гидросамолетов подверглись бомбардировке союзников во время Второй мировой войны, и немцы открыли ещё один аэродром в 4,5 милях к западу от города, который был переименован в Ольбию в 1945 году.","Аэродром и база гидросамолетов подверглись бомбардировке союзников во время Второй мировой войны, и немцы открыли ещё один аэродром в четыре с половиной милях к западу от города, который был переименован в Ольбию в 1945 году."
"После 3 лет строительства, 6 июня 2004 года был открыт новый терминал площадью 42 000 м², способный обслуживать 4,5 миллиона пассажиров в год.","После трех лет строительства, шесть июня 2004 года был открыт новый терминал площадью сорок две тысячи двести сорок тысяч м2, способный обслуживать четыре с половиной миллиона пассажиров в год."
"В 0,5 к северу от деревни протекает река Шувойка.",В ноль с половиной к северу от деревни протекает река Шувойка.
"Селенографические координаты центра кратера 13°11′ с. ш. 52°47′ в. д.13,18° с. ш. 52,79° в. д.﻿ / 13.18;",Селенографические координаты центра кратера тринадцать целых одиннадцать сотых с. ш. пятьдесят две целых сорок семь сотых в. д. пятьдесят две целых семьдесят семь сотых в. д. пятьдесят две целых семьдесят семь сотых в. д. пятьдесят две целых семьдесят семь сотых;
"52.79, диаметр 14,3 км, глубина 2,41 км.","две целых семьдесят девять сотых, диаметр четырнадцать целых три десятых км, глубина две целых сорок одна сотая км."
"Татьяна Анатольевна Гуськова (12 января 1941 — 14 сентября 2022) — советский и российский учёный, специалист в области токсикологии лекарственных средств, член-корреспондент РАМН (12.02.1999), член-корреспондент РАН (27.VI.2014, Отделение физиологических наук; медико-биологические науки).","Татьяна Анатольевна Гуськова (две целых 1941 — четырнадцать сентября двести двадцать две тысячных) — советский и российский учёный, специалист в области токсикологии лекарственных средств, член-корреспондент РАМН (две целых девятнадцать сотых), член-корреспондент РАМН (две целых девятнадцать сотых), член-корреспондент РАН (двадцать семь целых четырнадцать сотых.2014 Отделение физиологических наук; медико-биологические науки)."
"Система включает 100 станций на трёх ветвящихся линиях, общая протяжённость которых составляет 105,7 км. 48 станций подземные, 52 станции наземные или надземные.","Система включает сто станций на трёх ветвящихся линиях, общая протяжённость которых составляет сто пятьдесят пять целых семь десятых км. пятьдесят станций на трёх ветвящихся линиях, общая протяжённость которых составляет сто пятьдесят пять целых семь десятых км. пятьдесят восемь станций подземные, пятьдесят две станции наземные, пятьдесят две станции наземные или надземные."
"Длина линии будет 4,6 км, на ней расположится 3 станции.","Длина линии будет четыре целых шесть десятых км, на ней расположится три станции."
Дело Департамента Герольдии Правительствующего Сената о гербе Ф.Дубасова от 18.12.1889.,Дело Департамента Герольдии Правительствующего Сената о гербе Ф.Дубасова от восемнадцати целых восемнадцати сотых.
"Занимает площадь 1,46 км².",Занимает площадь одна целая сорок шесть сотых км2.
"Фёдор Владимирович Кулик (1928 — 12.08.2011) — советский передовик сельскохозяйственного производства, Герой Социалистического Труда (1966).","Фёдор Владимирович Кулик (сто девяносто восемь целых двести двадцать восемь сотых — двенадцать.08.2011) — советский передовик сельскохозяйственного производства, Герой Социалистического Труда (1966)."
"Занимает площадь 6,15 км².",Занимает площадь шесть целых пятнадцать сотых км2.
"Площадь озера — 1,2 км².",Площадь озера — одна целая две десятых км2.
"Располагается на высоте 132,9 метров над уровнем моря.",Располагается на высоте сто тридцать две целых девять десятых метров над уровнем моря.
орден Ленина (13.03.1967),орден Ленина (тринадцать целых девятнадцать сотых)
орден Отечественной войны II степени (06.04.1985),орден Отечественной войны II степени (06.04.1985)
2 ордена Трудового Красного Знамени (06.1962;,две ордена Трудового Красного Знамени (девяносто шесть целых одна тысяча двести шестьдесят две тысячных);
26.08.1971),двадцать шесть целых девятнадцать сотых.
2 ордена Дружбы народов (27.12.1977;,"две ордена Дружбы народов, двадцать семь целых девятнадцать сотых;"
11.06.1982),одиннадцать целых девятнадцать сотых)
медаль «За трудовую доблесть» (11.07.1960),медаль «За трудовую доблесть» (одна целая девятнадцать сотых)
Сергеев С. Загадочный метеорит из ЦК // «Известия» 30.11.2006,"Сергеев С, Загадочный метеорит из ЦК // «Известия» тридцать целых 2006 год."
"До версии 7.0 был доступен в двух вариантах: условно-бесплатной ограниченной community edition, и платного пакета для профессиональной разработки, включающую в частности возможность публикации приложений, отчуждаемых от smalltalk-среды.","До версии семь целых ноль десятых был доступен в двух вариантах: условно-бесплатной ограниченной community edition, и платного пакета для профессиональной разработки, включающую в частности возможность публикации приложений, отчуждаемых от smalltalk-среды."
"Занимает площадь 30,1 км².",Занимает площадь тридцать целых одна десятая км2.
"Занимает площадь 17,55 км² (по занимаемой площади 68 место из 116 коммун).",Занимает площадь семнадцать целых пятьдесят пять сотых км2 (по занимаемой площади шестьдесят восемь целых шестьдесят пять сотых км2 (по занимаемой площади шестьдесят восемь сотых место из сто шестнадцать коммун).
"Площадь посёлка составляет 212,21 км², население — 8338 человек (1 июля 2014), плотность населения — 39,29 чел./км².","Площадь посёлка составляет двести двенадцать целых двадцать одна сотая км2, население — восемьдесят восемь целых двадцать восемь сотых человек (одна тысяча двести тридцать восемь тысячных человек (одна тысяча двести тридцать восемь тысячных чел./км2."
"Население посёлка составляет 8338 человек (1 июля 2014), а плотность — 39,29 чел./км².","Население посёлка составляет восемь тысячи триста тридцать восемь человек (одна целая 2014), а плотность — тридцать девять целых двадцать девять сотых чел./км2."
Округ занимает площадь 652.7 км2.,Вкруг занимает площадь семьсот пятьдесят две целых семь десятых км2.
Плотность населения составляла 26.8 человек на квадратный километр.,Плотность населения составляла двадцать шесть целых восемь десятых человек на квадратный километр.
"полковник Мельников Александр Васильевич (16.11.1985 - 17.05.1942), за бои 26-28.06.1941г. в Минском УРе награжден орденом Красного Знамени (31.08.1941г.).","Полковник Мельников Александр Васильевич (шестьдесят целых девяносто пять сотых - семнадцать целых двести сорок две тысячных), за бои двадцать шесть целых двадцать восемь сотых г. в Минском УРе награжден орденом Красного Знамени (тридцать одна целая девяносто одна сотаяг.)."
"Среднегодовая температура — 2,7 °C. Средняя температура воздуха самого тёплого месяца (июля) — 17,9 °C (абсолютный максимум — 37 °C); самого холодного (января) — −12,3 °C (абсолютный минимум — −46 °C).",Среднегодовая температура — две целых семь десятых C. Средняя температура воздуха самого тёплого месяца (июля) — семнадцать целых девять десятых C (абсолютный максимум — тридцать семь целых две десятых C); самого холодного (января) — минус двенадцать целых три десятых C (абсолютный минимум — сорок шесть C (абсолютный минимум — сорок шесть C).
"Скорость течения в межень от 0,5 до 1 метра в секунду, в сезонное половодье — до 2 метров в секунду.","Скорость течения в межень от ноля с половиной до одного с половиной метра в секунду, в сезонное половодье — до двух с половиной метров в секунду."
69. — P. 317—321. — doi:10.1086/143192.,шестьдесят девять целых шестьдесят девять сотых. — P. триста семнадцать целых двести девяносто одна сотая— двести девяносто одна тысячная. — doi:10: одна тысяча двести восемьдесят шесть тысячных.
"По оценкам президентской комиссии, доклад которой президент Румынии Траян Бэсеску представил парламенту в 2006 году, число жертв репрессий в Румынии составило от 0,5 до 2 млн. ","По оценкам президентской комиссии, доклад которой президент Румынии Траян Бэсеску представил парламенту в 2006 году, число жертв репрессий в Румынии составило от ноля с половиной до двух с половиной млн."
"NGC 6197 (другие обозначения — IC 4616, MCG 6-36-59, ZWG 196.89, PGC 58655) — галактика в созвездии Геркулес.","NGC шестьдесят семьсот девяносто семь (другие обозначения — IC четыреста шестнадцать целых двести шестнадцать тысячных, MCG 6-тридцать шесть целых пятьдесят девять сотых, PGC пятьсот пятьдесят пять тысячных — галактика в созвездии Геркулес."
"Морской район A2 — район в пределах зоны действия по крайней мере одной береговой ПВ-радиостанции, обеспечивающей непрерывное наблюдение на частоте 2187,5 кГц (ЦИВ) и радиообмен в режиме телефонии на частоте 2182 кГц (150 морских миль), за исключением района А1.","Морской район A2 — район в пределах зоны действия по крайней мере одной береговой ПВ-радиостанции, обеспечивающей непрерывное наблюдение на частоте двести двадцать восемь с половиной кГц (ЦИВ) и радиообмен в режиме телефонии на частоте двести восемьдесят две целых двести восемьдесят две сотых кГц (сто девяносто две сотых морских миль), за исключением района А2."
"Телескоп VEGA — Ричи-Критьен (D = 0.7 м, F = 5.831 м)","Телескоп VEGA — Ричи-Критьен (D = ноль целых семь десятых м, F = пятьсот восемьдесят одна тысячная м)"
"Рефлектор D = 25-см, f/4.9","Рефлектор D = двадцать пять с половиной см, f/4.9"
"На президентских выборах 2022 г. жители кантона отдали в 1-м туре Эмманюэлю Макрону 32,2 % голосов против 23,5 % у Марин Ле Пен и 18,5 % у Жана-Люка Меланшона; во 2-м туре в кантоне победил Макрон, получивший 62,6 % голосов.","На президентских выборах двести двадцать две целых две десятых % голосов против двадцати трех с половиной % у Марин Ле Пен и девятнадцати с половиной % у Жана-Люка Меланшона; во 2-м туре в кантоне победил Макрон, получивший шестьдесят две целых шесть десятых % голосов."
"1 тур: Эмманюэль Макрон – 25,6 %, Франсуа Фийон – 21,0 %, Марин Ле Пен – 19,0 %, Жан-Люк Меланшон – 18,1 %;","Эмманюэль Макрон – двадцать пять целых шесть десятых %, Франсуа Фийон – двадцать одна целая ноль десятых %, Марин Ле Пен – девятнадцать целых ноль десятых %, Жан-Люк Меланшон – восемнадцать целых одна десятая %;"
"2 тур: Макрон – 70,4 %.",две тур: Макрон – семьдесят целых четыре десятых %.
"1 тур: Николя Саркози — 27,9 %, Франсуа Олланд — 26,7 %, Марин Ле Пен — 15,6 %;","Николя Саркози — двадцать восемь целых девять десятых %, Франсуа Олланд — двадцать шесть целых семь десятых %, Марин Ле Пен — пятнадцать целых шесть десятых %;"
"2 тур: Саркози — 50,3 %).",две тур: Саркози — пятьдесят целых три десятых %).
"Общая длина тела может достигать 110 см, но обычно она около 40 см. Масса до 3,4 кг.","Общая длина тела может достигать сто двадцать сотых см, но обычно она около сорока с половиной см. Масса до трех целых четырех десятых кг."
"Устье реки находится в 0,3 км по левому берегу реки Малой Цемы.",Устье реки находится в ноль целых три десятых км по левому берегу реки Малой Цемы.
"Стебли растения содержат 0,11-0,83 % бета-карболинов, с гармином и тетрагидрогармином как основными компонентами.","Стебли растения содержат ноль целых девятнадцать сотых % бета-карболинов, с гармином и тетрагидрогармином как основными компонентами."
"U.S. Patent PP5,751, Miller, June 17, 1986, Banisteriopsis caapi (cv) `Da Vine`","U.S. Patent PP5, семьсот пятьдесят одна целая семьсот пятьдесят одна тысячная, Miller, June семнадцать целых восемьдесят шесть сотых, Banisteriopsis caapi (cv) Da Vine"
"Занимает площадь 83,17 км².",Занимает площадь восемьдесят три целых семнадцать сотых км2.
"2000 (газета), 12.12.2013","девяносто целых газета (газета), двенадцать целых три десятых2014"
"Наклонение: 51,5°.",Наклонение: пятьдесят один с половиной.
Период обращения: 5921.5 мин.,Период обращения: девятьсот двадцать одна с половиной мин.
"Установленный в фокальной плоскости телескопа ультрафиолетовый спектрометр имел три отверстия для измерения излучения трёх типов объектов: ярких звезд (центральное отверстие размером 40 мкм), слабых звёзд и внегалактических объектов (отверстие 0,4 мм), туманностей и галактического фона (отверстие 3 мм).","Установленный в фокальной плоскости телескопа ультрафиолетовый спектрометр имел три отверстия для измерения излучения трёх типов объектов: ярких звезд (центральное отверстие размером сорок с половиной мкм), слабых звёзд и внегалактических объектов (отверстие ноль целых четыре десятых мм), туманностей и галактического фона (отверстие три с половиной мм)."
"двигатель: Volkswagen, четырёхцилиндровый с воздушным охлаждением, объём 1192 см³, уровень компрессии 7.0 и мощностью 40 л. с.","двигатель: Volkswagen, четырёхцилиндровый с воздушным охлаждением, объём одна тысяча двести девяносто две тысячных см3, уровень компрессии семь целых ноль десятых и мощностью сорок л. с."
"ёмкость топливного бака: 8,8 имперских галлонов",ёмкость топливного бака: восемь целых восемь десятых имперских галлонов
"Это ортопедическое устройство было изобретено в начале 70-х годов XX века бывшим военным французским врачом-ортопедом Жан Жаком Шено (14.05.1927–14.07.2022)  (фр. Jean Jacgues Cheneau)   и получило всемирное признание лишь в последние годы уже в XXI веке ,  как единственно лечебное средство при сколиозе (среди таких, как массаж, гимнастика, физиотерапия, остеопатия, мануальная медицина), чья эффективность была подтверждена современной доказательной медициной.","Это ортопедическое устройство было изобретено в начале 70-х годов XX века бывшим военным французским врачом-ортопедом Жан Жаком Шено (14.05.1927– четырнадцать целых двести двадцать две тысячных) (фр. Jean Jacgues Cheneau) и получило всемирное признание лишь в последние годы уже в XXI веке , как единственно лечебное средство при сколиозе (среди таких, как массаж, гимнастика, физиотерапия, остеопатия, мануальная медицина), чья эффективность была подтверждена современной доказательной медициной."
"Диаметр и размер PAR 16, PAR 30(3,75""),PAR 38(4,75"") PAR 46(5,75""), PAR 56 (7""), PAR 64(8"") определяются мощностью применяемых ламп (100, 200, 250, 300, 500, 1000 Вт).","Диаметр и размер PAR шестнадцать, PAR тридцать (трех целых семьдесят сотых""),PAR тридцать восемь целых семьдесят пять сотых""),PAR сорок восемь целых семьдесят пять сотых""), PAR сорок шесть сотых (сорок шесть сотых""), PAR пятьдесят шесть сотых""), PAR пятьдесят шесть сотых""), PAR пятьдесят шесть сотых""), PAR пятьдесят шесть сотых""), PAR шестьдесят шесть сотых""), PAR шестьдесят шесть сотых""), PAR шестьдесят шесть сотых""), PAR шестьдесят шесть сотых""), PAR шестьдесят четыре целых восемь сотых"") определяются мощностью применяемых ламп (сто девяносто целых двести пятьдесят сотых, двести пятьдесят целых двести пятьдесят сотых, двести пятьдесят сотых, двести пятьдесят целых двести пятьдесят сотых, ноль целых двести пятьдесят сотых Вт)."
"2000 — Burr-Brown Corporation, $7,6 млрд;","2000 — Burr-Brown Corporation, $семь целых шесть десятых млрд;"
Capital Research Global Investors — (8.30 %),Capital Research Global Investors — (восемь целых тридцать сотых %)
"BlackRock Institutional Trust Company, N.A. — (5.55 %)","BlackRock Institutional Trust Company, N.A. — (пять целых пятьдесят пять сотых %)"
State Street Global Advisors — (4.09 %),State Street Global Advisors — (четыре целых девять сотых %)
Wellington Management Company — (2.99 %),Wellington Management Company — (две целых девяносто девять сотых %)
Geode Capital Management — (2.18 %),Geode Capital Management — (две целых восемнадцать сотых %)
Charles Schwab Corporation — (1.93 %),Charles Schwab Corporation — (одна целая девяносто три сотых %)
PRIMECAP Management Company — (1.88 %),PRIMECAP Management Company — (одна целая восемьдесят восемь сотых %)
"T. Rowe Price Associates, Inc. — (1.83 %)","T. Rowe Price Associates, Inc. — (одна целая восемьдесят три сотых %)"
Massachusetts Financial Services Co. — (1.75 %),Massachusetts Financial Services Co — (одна целая семьдесят пять сотых %)
Managed Account Advisors LLC — (1.70 %)Ключевые руководители (2022):,Managed Account Advisors LLC — (одна целая семьдесят сотых %)Ключевые руководители (ста двадцать две целых двести двадцать две тысячных):
"Деревня находится в западной части Ульяновской области, в лесостепной зоне, в пределах Приволжской возвышенности, в вершине Барского дола, на расстоянии примерно 6,5 километров (по прямой) к югу от поселка Барыш.","Деревня находится в западной части Ульяновской области, в лесостепной зоне, в пределах Приволжской возвышенности, в вершине Барского дола, на расстоянии примерно шесть с половиной километров (по прямой) к югу от поселка Барыш."
Исключена из учётных данных в 2002 году постановлением заксобрания Ульяновской области от 10.12.2002 г. № 066-ЗО,"Исключена из учётных данных в 2002 году постановлением заксобрания Ульяновской области от десяти.12.2002 г., No ноль целых двести шестьдесят шесть тысячных-ЗО"
"Домашние матчи команда проводит на стадионе «Виллем II», его вместимость составляет 14,7 тысяч зрителей.","Домашние матчи команда проводит на стадионе «Виллем II», его вместимость составляет четырнадцать целых семь десятых тысяч зрителей."
"По данным переписи 2006 года, численность населения Пергамоса составляла 3450 человека, из которых мужчины составляли 51,2 %, женщины — соответственно 48,8 %.","По данным переписи 2006 года, численность населения Пергамоса составляла четыреста пятьдесят человек, из которых мужчины составляли пятьдесят одну целую две десятых %, женщины — соответственно сорок восемь целых восемь десятых %."
"Блестяще-чёрные жуки длиной около 9,4 мм.",Блестяще-чёрные жуки длиной около девяти целых четырех десятых мм.
"Альбом был 15-м самым продаваемым альбомом в мае 2019 года с 24,423 проданными физическими копиями.",Альбом был пятнадцать целых четыреста двадцать три тысячных самым продаваемым альбомом в мае 2019 года с двадцатью целыми четыреста двадцать три тысячных проданными физическими копиями.
В 09.1992 выведен на полевой аэродром станицы Егорлыкская Ростовской области.,В 09 целых одна тысяча двести девяносто две тысячных выведен на полевой аэродром станицы Егорлыкская Ростовской области.
"На июнь 2016 года в Румынии насчитывалось 18,8 млн.",На июнь 2016 года в Румынии насчитывалось восемнадцать целых восемь десятых млн.
"Благодаря активному использованию торрент-клиента Pando с сентября 2011 года Румыния занимает 2-е место по максимальной скорости передачи данных (15,27 Мбит/с), уступая только Южной Корее (17,62 Мбит/с) и опережая такие страны, как Болгария, Литва, Латвия (входят в первую пятёрку) и даже США (26-е место).","Благодаря активному использованию торрент-клиента Pando с сентября 2011 года Румыния занимает второе место по максимальной скорости передачи данных (восемнадцать целых двадцать семь сотых Мбит/с), уступая только Южной Корее (восемнадцать целых шестьдесят две сотых Мбит/с) и даже США (тридцать шесть сотых место)."
"По состоянию на 31 декабря 2007 года на каждые 100 человек населения Румынии приходилось в среднем 14,8 широкополосных соединений.",По состоянию на 31 декабря 2007 года на каждые сто человек населения Румынии приходилось в среднем четырнадцать целых восемь десятых широкополосных соединений.
"ISDN: 0,003 %",ISDN: ноль целых три сотых %
"Мобильная связь (EDGE, CDMA/EVDO, 3G): 33,1 %","Мобильная связь (EDGE, CDMA/EVDO, триG): тридцать три целых одна десятая %"
"Кабельные сети: 14,9 %",Кабельные сети: четырнадцать целых девять десятых %
"Оптоволоконные сети: 2,9 %",Оптоволоконные сети: две целых девять десятых %
Беспроводной Интернет: 1 % (0.7 % Wi-Fi),Беспроводной Интернет: одна целая две десятых % (ноль целых семь десятых % Wi-Fi)
"xDSL: 11,4 %",xDSL: одиннадцать целых четыре десятых %
"Ethernet и спутниковый Интернет: 36,7 %Доступ к широкополосным соединениям в Румынии открылся в 2000 году с началом использования коаксиальных кабелей.",Ethernet и спутниковый Интернет: тридцать шесть целых семь десятых %Доступ к широкополосным соединениям в Румынии открылся в 2000 году с началом использования коаксиальных кабелей.
"5 Мбит/с приём, 512 Кбит/с отправка (сеть основана на технологии DOCSIS 2.0)","пять Мбит/с приём, пятьсот двенадцать тысячных Кбит/с отправка (сеть основана на технологии DOCSIS две целых две десятых0)"
"10 Мбит/с приём, 1024 Кбит/с отправка (сеть основана на технологии DOCSIS 2.0)","десять Мбит/с приём, одна тысяча двести двадцать четыре Кбит/с отправка (сеть основана на технологии DOCSIS две целых две десятых)"
"С 2006 года активно развиваются соединения по технологии DOCSIS 2.0 для тех, кто проживает в многоквартирных домах.","С 2006 года активно развиваются соединения по технологии DOCSIS две целых ноль десятых для тех, кто проживает в многоквартирных домах."
С 2011 года используется технология DOCSIS 3.0.,С 2011 года используется технология DOCSIS три целых ноль десятых
"• Digi Net Fiberlink 1: 50 Мбит/с, цена 6,5 евро/месяц","Digi Net Fiberlink одна целая пятьдесят сотых Мбит/с, цена шесть с половиной евро/месяц"
"• Digi Net Fiberlink 2: 100 Мбит/с, цена 8,5 евро/месяц","Digi Net Fiberlink две: сто Мбит/с, цена восемь с половиной евро/месяц"
"Orange Romania: услуга 3G/3G+, скорость до 43,2 Мбит/с в крупных городах и 14,4 Мбит/с вне крупных городов (частоты 900 и 2100 МГц).",Orange Romania: услуга три целых две десятых Мбит/с в крупных городах и четырнадцать целых четыре десятых Мбит/с вне крупных городов (частоты девятьсот и двести девяносто одна тысячная МГц).
"Vodafone Romania: услуга 3G/3G+, скорость до 21,6 Mбит/с в крупных городах и 7,2 Мбит/с в сельской местности (частоты 900 и 2100 МГц).",Vodafone Romania: услуга три целых шесть десятых Mбит/с в крупных городах и семь целых две десятых Мбит/с в сельской местности (частоты ноль целых две десятых МГц).
